q1,q2,q3a,q3b,q3c,q4,q5a,q5b,q6,q7,q8,q9,q10,q11,q12a,q12b,q12c
68.881,3600,247.131,227.57,228.362,3600,3600,402.388,3600,3600,281.684,805.582,157.806,35.298,80.206,3600,15.965
75.251,3600,246.98,228.473,228.607,3600,3600,398.549,3600,3600,285.677,869.227,157.872,36.882,83.304,3600,15.986
74.477,3600,246.981,228.644,229.603,3600,3600,393.338,3600,3600,302.45,808.053,158.432,37.695,430.444,3600,15.954
77.256,3600,246.747,228.263,228.445,3600,3600,395.09,3600,3600,280.215,809.937,158.206,34.958,170.154,3600,15.952
76.85,3600,246.493,228.753,228.906,3600,3600,396.741,3600,3600,284.147,817.171,161.434,37.176,3600,3600,15.991
77.351,3600,246.988,228.681,228.721,3600,3600,405.639,3600,3600,281.244,809.689,158.121,37.755,3600,3600,15.96
76.404,3600,247.648,228.317,228.035,3600,3600,406.832,3600,3600,269.937,808.537,157.844,35.118,3600,3600,16.01
76.592,3600,247.08,228.428,228.458,3600,3600,406.08,3600,3600,275.465,848.539,160.592,34.998,3600,3600,15.983
75.74,3600,246.838,228.103,228.332,3600,3600,381.068,3600,3600,273.819,836.697,158.468,35.655,3600,3600,15.97
75.07,3600,247.62,228.315,229.613,3600,3600,396.577,3600,3600,258.669,879.333,158.25,35.302,3600,3600,15.982
