Process, Parameter, Value
MEASUREMENT, START, 2024-01-27 02:49:21.493665+00
MEASUREMENT, SCRIPT, /tmp/benchmark/main.sh
MEASUREMENT, BASEDIR, /tmp/benchmark
MEASUREMENT, CWD, /tmp/benchmark
MEASUREMENT, INPUT, 125000000
MEASUREMENT, PID, 11037
SP2B, START, 2024-01-27 02:49:21.503292+00
SP2B, DIR, /tmp/benchmark/sp2b/bin
SP2B, TRIPLES, 125000176
SP2B, FILESIZE, 13658339KB
SP2B, END, 2024-01-27 02:58:34.550199+00
SP2B, EXECTIME, d:h:m:s.ms | 0:0:9:13.46
RDF2RAPSQL, RAPSQLMODEL, yars
RDF2RAPSQL, START, 2024-01-27 02:58:34.561409+00
RDF2RAPSQL, INSTANCE, /tmp/benchmark/data/sp125my1/sp125my1.n3
RDF2RAPSQL, PID, 11215
RDF2PG, START, 2024-01-27 02:58:34.566865+00
RDF2PG, END, 2024-01-27 03:10:22.841888+00
RDF2PG, EXECTIME, d:h:m:s.ms | 0:0:11:48.275
EDGEPARTITIONING, START, 2024-01-27 03:10:22.987587+00
EDGEPARTITIONING, END, 2024-01-27 03:10:44.449921+00
EDGEPARTITIONING, EXECTIME, d:h:m:s.ms | 0:0:0:21.462
DBIMPORT-NODES, START, 2024-01-27 03:10:44.455168+00
DBIMPORT-NODES, END, 2024-01-27 03:19:24.528968+00
DBIMPORT-NODES, EXECTIME, d:h:m:s.ms | 0:0:8:40.73
DBIMPORT-EDGES, START, 2024-01-27 03:19:24.534384+00
DBIMPORT-EDGES, END, 2024-01-27 03:28:11.583393+00
DBIMPORT-EDGES, EXECTIME, d:h:m:s.ms | 0:0:8:47.49
RDF2RAPSQL, END, 2024-01-27 03:28:11.589187+00
RDF2RAPSQL, EXECTIME, d:h:m:s.ms | 0:0:29:37.27
WRITECYPHER, RAPSQLTRANSPILER, cpo1
WRITECYPHER, START, 2024-01-27 03:28:11.598042+00
WRITECYPHER, END, 2024-01-27 03:28:12.514882+00
WRITECYPHER, EXECTIME, d:h:m:s.ms | 0:0:0:0.916
RAPSQLTRIPLES-CNT, START, 2024-01-27 03:28:17.524219+00
RAPSQLTRIPLES-CNT, END, 2024-01-27 03:29:18.592534+00
RAPSQLTRIPLES-CNT, EXECTIME, d:h:m:s.ms | 0:0:1:1.68
RUNQUERIES, START, 2024-01-27 03:29:23.601994+00
QUERY-EXEC | loop-1 | a1-q1, START, 2024-01-27 03:29:26.612396+00
QUERY-EXEC | loop-1 | a1-q1, END, 2024-01-27 03:30:35.541306+00
QUERY-EXEC | loop-1 | a1-q1, EXECTIME, d:h:m:s.ms | 0:0:1:8.928
QUERY-EXEC | loop-1 | b2-q2, START, 2024-01-27 03:30:38.549132+00
QUERY-EXEC | loop-1 | b2-q2, END, 2024-01-27 04:01:08.447691+00
QUERY-EXEC | loop-1 | b2-q2, EXECTIME, d:h:m:s.ms | 0:0:30:29.898
QUERY-EXEC | loop-1 | c3-q3a, START, 2024-01-27 04:01:11.463195+00
QUERY-EXEC | loop-1 | c3-q3a, END, 2024-01-27 04:05:24.009093+00
QUERY-EXEC | loop-1 | c3-q3a, EXECTIME, d:h:m:s.ms | 0:0:4:12.545
QUERY-EXEC | loop-1 | d4-q3b, START, 2024-01-27 04:05:27.017043+00
QUERY-EXEC | loop-1 | d4-q3b, END, 2024-01-27 04:09:14.671191+00
QUERY-EXEC | loop-1 | d4-q3b, EXECTIME, d:h:m:s.ms | 0:0:3:47.654
QUERY-EXEC | loop-1 | e5-q3c, START, 2024-01-27 04:09:17.679222+00
QUERY-EXEC | loop-1 | e5-q3c, END, 2024-01-27 04:13:06.087671+00
QUERY-EXEC | loop-1 | e5-q3c, EXECTIME, d:h:m:s.ms | 0:0:3:48.408
QUERY-EXEC | loop-1 | f6-q4, START, 2024-01-27 04:13:09.095559+00
QUERY-EXEC | loop-1 | f6-q4, END, 2024-01-27 04:43:38.850358+00
QUERY-EXEC | loop-1 | f6-q4, EXECTIME, d:h:m:s.ms | 0:0:30:29.754
QUERY-EXEC | loop-1 | g7-q5a, START, 2024-01-27 04:43:41.858411+00
QUERY-EXEC | loop-1 | g7-q5a, END, 2024-01-27 05:14:00.074760+00
QUERY-EXEC | loop-1 | g7-q5a, EXECTIME, d:h:m:s.ms | 0:0:30:18.216
QUERY-EXEC | loop-1 | h8-q5b, START, 2024-01-27 05:14:03.089306+00
QUERY-EXEC | loop-1 | h8-q5b, END, 2024-01-27 05:20:52.660374+00
QUERY-EXEC | loop-1 | h8-q5b, EXECTIME, d:h:m:s.ms | 0:0:6:49.571
QUERY-EXEC | loop-1 | i9-q6, START, 2024-01-27 05:20:55.669023+00
QUERY-EXEC | loop-1 | i9-q6, END, 2024-01-27 05:27:15.842428+00
QUERY-EXEC | loop-1 | i9-q6, EXECTIME, d:h:m:s.ms | 0:0:6:20.173
QUERY-EXEC | loop-1 | j10-q7, START, 2024-01-27 05:27:18.850362+00
QUERY-EXEC | loop-1 | j10-q7, END, 2024-01-27 05:28:56.391254+00
QUERY-EXEC | loop-1 | j10-q7, EXECTIME, d:h:m:s.ms | 0:0:1:37.540
QUERY-EXEC | loop-1 | k11-q8, START, 2024-01-27 05:28:59.399096+00
