q1,q2,q3a,q3b,q3c,q4,q5a,q5b,q6,q7,q8,q9,q10,q11,q12a,q12b,q12c
74.394,3600,248.539,230.727,230.411,3600,3600,413.352,3600,3600,308.176,880.784,161.546,29.939,3600,3600,17.221
74.874,3600,247.991,229.682,230.076,3600,3600,402.751,3600,3600,310.823,895.192,159.388,31.484,3600,3600,17.265
75.853,3600,247.963,230.013,229.962,3600,3600,392.861,3600,3600,295.834,875.061,154.546,33.307,3600,3600,17.382
76.301,3600,247.616,229.77,229.89,3600,3600,390.386,3600,3600,292.08,873.676,160.115,32.031,3600,3600,17.235
77.578,3600,247.933,229.991,230.185,3600,3600,400.373,3600,3600,288.455,1034.04,165.787,32.667,3600,3600,17.326
87.926,3600,248.929,244.846,230.123,3600,3600,406.883,3600,3600,286.827,1030.48,161.674,29.736,3600,3600,17.268
78.246,3600,247.939,229.889,229.978,3600,3600,403.278,3600,3600,282.663,998.756,160.054,30.054,3600,3600,17.258
76.474,3600,247.937,229.872,230.136,3600,3600,388.791,3600,3600,290.191,889.457,154.625,29.746,3600,3600,17.231
75.808,3600,247.496,229.625,229.869,3600,3600,379.531,3600,3600,286.272,887.81,160.268,31.114,3600,3600,17.238
76.248,3600,247.951,229.868,229.894,3600,3600,395.7,3600,3600,282.242,868.772,160.925,29.717,3600,3600,17.223
