Process, Parameter, Value
MEASUREMENT, START, 2024-01-26 23:11:51.497449+00
MEASUREMENT, SCRIPT, /tmp/benchmark/main.sh
MEASUREMENT, BASEDIR, /tmp/benchmark
MEASUREMENT, CWD, /tmp/benchmark
MEASUREMENT, INPUT, 125000000
MEASUREMENT, PID, 11042
SP2B, START, 2024-01-26 23:11:51.507051+00
SP2B, DIR, /tmp/benchmark/sp2b/bin
SP2B, TRIPLES, 125000176
SP2B, FILESIZE, 13658339KB
SP2B, END, 2024-01-26 23:21:06.204700+00
SP2B, EXECTIME, d:h:m:s.ms | 0:0:9:14.697
RDF2RAPSQL, RAPSQLMODEL, rdfid
RDF2RAPSQL, START, 2024-01-26 23:21:06.215832+00
RDF2RAPSQL, INSTANCE, /tmp/benchmark/data/sp125mr1/sp125mr1.n3
RDF2RAPSQL, PID, 11148
RDF2PG, START, 2024-01-26 23:21:06.221197+00
RDF2PG, END, 2024-01-26 23:32:41.002389+00
RDF2PG, EXECTIME, d:h:m:s.ms | 0:0:11:34.781
EDGEPARTITIONING, START, 2024-01-26 23:32:41.992406+00
EDGEPARTITIONING, END, 2024-01-26 23:33:03.410989+00
EDGEPARTITIONING, EXECTIME, d:h:m:s.ms | 0:0:0:21.418
DBIMPORT-NODES, START, 2024-01-26 23:33:03.416083+00
DBIMPORT-NODES, END, 2024-01-26 23:41:43.546285+00
DBIMPORT-NODES, EXECTIME, d:h:m:s.ms | 0:0:8:40.130
DBIMPORT-EDGES, START, 2024-01-26 23:41:43.551594+00
DBIMPORT-EDGES, END, 2024-01-26 23:50:38.756537+00
DBIMPORT-EDGES, EXECTIME, d:h:m:s.ms | 0:0:8:55.204
RDF2RAPSQL, END, 2024-01-26 23:50:38.762197+00
RDF2RAPSQL, EXECTIME, d:h:m:s.ms | 0:0:29:32.546
WRITECYPHER, RAPSQLTRANSPILER, cpo1
WRITECYPHER, START, 2024-01-26 23:50:38.770906+00
WRITECYPHER, END, 2024-01-26 23:50:39.635700+00
WRITECYPHER, EXECTIME, d:h:m:s.ms | 0:0:0:0.864
RAPSQLTRIPLES-CNT, START, 2024-01-26 23:50:44.644929+00
RAPSQLTRIPLES-CNT, END, 2024-01-26 23:51:46.045619+00
RAPSQLTRIPLES-CNT, EXECTIME, d:h:m:s.ms | 0:0:1:1.400
RUNQUERIES, START, 2024-01-26 23:51:51.054729+00
QUERY-EXEC | loop-1 | a1-q1, START, 2024-01-26 23:51:54.064823+00
QUERY-EXEC | loop-1 | a1-q1, END, 2024-01-26 23:53:08.505653+00
QUERY-EXEC | loop-1 | a1-q1, EXECTIME, d:h:m:s.ms | 0:0:1:14.440
QUERY-EXEC | loop-1 | b2-q2, START, 2024-01-26 23:53:11.513413+00
QUERY-EXEC | loop-1 | b2-q2, END, 2024-01-27 00:23:42.386236+00
QUERY-EXEC | loop-1 | b2-q2, EXECTIME, d:h:m:s.ms | 0:0:30:30.872
QUERY-EXEC | loop-1 | c3-q3a, START, 2024-01-27 00:23:45.401480+00
QUERY-EXEC | loop-1 | c3-q3a, END, 2024-01-27 00:28:01.270781+00
QUERY-EXEC | loop-1 | c3-q3a, EXECTIME, d:h:m:s.ms | 0:0:4:15.869
QUERY-EXEC | loop-1 | d4-q3b, START, 2024-01-27 00:28:04.278355+00
QUERY-EXEC | loop-1 | d4-q3b, END, 2024-01-27 00:31:55.088740+00
QUERY-EXEC | loop-1 | d4-q3b, EXECTIME, d:h:m:s.ms | 0:0:3:50.810
QUERY-EXEC | loop-1 | e5-q3c, START, 2024-01-27 00:31:58.096613+00
QUERY-EXEC | loop-1 | e5-q3c, END, 2024-01-27 00:35:48.552989+00
QUERY-EXEC | loop-1 | e5-q3c, EXECTIME, d:h:m:s.ms | 0:0:3:50.456
QUERY-EXEC | loop-1 | f6-q4, START, 2024-01-27 00:35:51.560701+00
QUERY-EXEC | loop-1 | f6-q4, END, 2024-01-27 01:06:22.114424+00
QUERY-EXEC | loop-1 | f6-q4, EXECTIME, d:h:m:s.ms | 0:0:30:30.553
QUERY-EXEC | loop-1 | g7-q5a, START, 2024-01-27 01:06:25.122127+00
QUERY-EXEC | loop-1 | g7-q5a, END, 2024-01-27 01:36:43.486122+00
QUERY-EXEC | loop-1 | g7-q5a, EXECTIME, d:h:m:s.ms | 0:0:30:18.363
QUERY-EXEC | loop-1 | h8-q5b, START, 2024-01-27 01:36:46.503034+00
QUERY-EXEC | loop-1 | h8-q5b, END, 2024-01-27 01:43:47.043069+00
QUERY-EXEC | loop-1 | h8-q5b, EXECTIME, d:h:m:s.ms | 0:0:7:0.540
QUERY-EXEC | loop-1 | i9-q6, START, 2024-01-27 01:43:50.050815+00
QUERY-EXEC | loop-1 | i9-q6, END, 2024-01-27 02:14:27.159525+00
QUERY-EXEC | loop-1 | i9-q6, EXECTIME, d:h:m:s.ms | 0:0:30:37.108
QUERY-EXEC | loop-1 | j10-q7, START, 2024-01-27 02:14:30.167152+00
QUERY-EXEC | loop-1 | j10-q7, END, 2024-01-27 02:16:53.868265+00
QUERY-EXEC | loop-1 | j10-q7, EXECTIME, d:h:m:s.ms | 0:0:2:23.701
QUERY-EXEC | loop-1 | k11-q8, START, 2024-01-27 02:16:56.875825+00
QUERY-EXEC | loop-1 | k11-q8, END, 2024-01-27 02:22:05.097637+00
QUERY-EXEC | loop-1 | k11-q8, EXECTIME, d:h:m:s.ms | 0:0:5:8.221
QUERY-EXEC | loop-1 | l12-q9, START, 2024-01-27 02:22:08.105373+00
QUERY-EXEC | loop-1 | l12-q9, END, 2024-01-27 02:36:48.935890+00
QUERY-EXEC | loop-1 | l12-q9, EXECTIME, d:h:m:s.ms | 0:0:14:40.830
QUERY-EXEC | loop-1 | m13-q10, START, 2024-01-27 02:36:51.943693+00
QUERY-EXEC | loop-1 | m13-q10, END, 2024-01-27 02:39:33.543230+00
QUERY-EXEC | loop-1 | m13-q10, EXECTIME, d:h:m:s.ms | 0:0:2:41.599
QUERY-EXEC | loop-1 | n14-q11, START, 2024-01-27 02:39:36.550800+00
QUERY-EXEC | loop-1 | n14-q11, END, 2024-01-27 02:40:06.535792+00
QUERY-EXEC | loop-1 | n14-q11, EXECTIME, d:h:m:s.ms | 0:0:0:29.984
QUERY-EXEC | loop-1 | o15-q12a, START, 2024-01-27 02:40:09.543405+00
QUERY-EXEC | loop-1 | o15-q12a, END, 2024-01-27 03:10:11.838375+00
QUERY-EXEC | loop-1 | o15-q12a, EXECTIME, d:h:m:s.ms | 0:0:30:2.294
QUERY-EXEC | loop-1 | p16-q12b, START, 2024-01-27 03:10:14.846176+00
QUERY-EXEC | loop-1 | p16-q12b, END, 2024-01-27 03:40:22.533570+00
QUERY-EXEC | loop-1 | p16-q12b, EXECTIME, d:h:m:s.ms | 0:0:30:7.687
QUERY-EXEC | loop-1 | q17-q12c, START, 2024-01-27 03:40:25.541258+00
QUERY-EXEC | loop-1 | q17-q12c, END, 2024-01-27 03:40:42.808234+00
QUERY-EXEC | loop-1 | q17-q12c, EXECTIME, d:h:m:s.ms | 0:0:0:17.266
QUERY-PENALTY | loop-1 | p16-q12b.sql, PENALTY-TIME, 3600000.000 ms
QUERY-PENALTY | loop-1 | b2-q2.sql, PENALTY-TIME, 3600000.000 ms
QUERY-PENALTY | loop-1 | i9-q6.sql, PENALTY-TIME, 3600000.000 ms
QUERY-PENALTY | loop-1 | o15-q12a.sql, PENALTY-TIME, 3600000.000 ms
QUERY-PENALTY | loop-1 | g7-q5a.sql, PENALTY-TIME, 3600000.000 ms
QUERY-PENALTY | loop-1 | f6-q4.sql, PENALTY-TIME, 3600000.000 ms
QUERY-PENALTY | loop-1 | j10-q7.sql, PENALTY-TIME, 3600000.000 ms
QUERY-EXEC | loop-2 | a1-q1, START, 2024-01-27 03:40:46.745551+00
QUERY-EXEC | loop-2 | a1-q1, END, 2024-01-27 03:42:01.664370+00
QUERY-EXEC | loop-2 | a1-q1, EXECTIME, d:h:m:s.ms | 0:0:1:14.918
QUERY-EXEC | loop-2 | c3-q3a, START, 2024-01-27 03:42:04.672023+00
QUERY-EXEC | loop-2 | c3-q3a, END, 2024-01-27 03:46:18.034158+00
QUERY-EXEC | loop-2 | c3-q3a, EXECTIME, d:h:m:s.ms | 0:0:4:13.362
QUERY-EXEC | loop-2 | d4-q3b, START, 2024-01-27 03:46:21.041755+00
QUERY-EXEC | loop-2 | d4-q3b, END, 2024-01-27 03:50:10.806401+00
QUERY-EXEC | loop-2 | d4-q3b, EXECTIME, d:h:m:s.ms | 0:0:3:49.764
QUERY-EXEC | loop-2 | e5-q3c, START, 2024-01-27 03:50:13.813981+00
QUERY-EXEC | loop-2 | e5-q3c, END, 2024-01-27 03:54:03.937030+00
QUERY-EXEC | loop-2 | e5-q3c, EXECTIME, d:h:m:s.ms | 0:0:3:50.123
QUERY-EXEC | loop-2 | h8-q5b, START, 2024-01-27 03:54:06.944981+00
QUERY-EXEC | loop-2 | h8-q5b, END, 2024-01-27 04:00:56.800547+00
QUERY-EXEC | loop-2 | h8-q5b, EXECTIME, d:h:m:s.ms | 0:0:6:49.855
QUERY-EXEC | loop-2 | k11-q8, START, 2024-01-27 04:00:59.809143+00
QUERY-EXEC | loop-2 | k11-q8, END, 2024-01-27 04:06:10.679143+00
QUERY-EXEC | loop-2 | k11-q8, EXECTIME, d:h:m:s.ms | 0:0:5:10.870
QUERY-EXEC | loop-2 | l12-q9, START, 2024-01-27 04:06:13.686888+00
QUERY-EXEC | loop-2 | l12-q9, END, 2024-01-27 04:21:08.925071+00
QUERY-EXEC | loop-2 | l12-q9, EXECTIME, d:h:m:s.ms | 0:0:14:55.238
QUERY-EXEC | loop-2 | m13-q10, START, 2024-01-27 04:21:11.932999+00
QUERY-EXEC | loop-2 | m13-q10, END, 2024-01-27 04:23:51.369633+00
QUERY-EXEC | loop-2 | m13-q10, EXECTIME, d:h:m:s.ms | 0:0:2:39.436
QUERY-EXEC | loop-2 | n14-q11, START, 2024-01-27 04:23:54.377370+00
QUERY-EXEC | loop-2 | n14-q11, END, 2024-01-27 04:24:25.906842+00
QUERY-EXEC | loop-2 | n14-q11, EXECTIME, d:h:m:s.ms | 0:0:0:31.529
QUERY-EXEC | loop-2 | q17-q12c, START, 2024-01-27 04:24:28.914572+00
QUERY-EXEC | loop-2 | q17-q12c, END, 2024-01-27 04:24:46.224090+00
QUERY-EXEC | loop-2 | q17-q12c, EXECTIME, d:h:m:s.ms | 0:0:0:17.309
QUERY-SKIP | loop-2 | p16-q12b, PENALTY, 3600000.000 ms
QUERY-SKIP | loop-2 | b2-q2, PENALTY, 3600000.000 ms
QUERY-SKIP | loop-2 | i9-q6, PENALTY, 3600000.000 ms
QUERY-SKIP | loop-2 | o15-q12a, PENALTY, 3600000.000 ms
QUERY-SKIP | loop-2 | g7-q5a, PENALTY, 3600000.000 ms
QUERY-SKIP | loop-2 | f6-q4, PENALTY, 3600000.000 ms
QUERY-SKIP | loop-2 | j10-q7, PENALTY, 3600000.000 ms
QUERY-EXEC | loop-3 | a1-q1, START, 2024-01-27 04:24:49.558427+00
QUERY-EXEC | loop-3 | a1-q1, END, 2024-01-27 04:26:05.455662+00
QUERY-EXEC | loop-3 | a1-q1, EXECTIME, d:h:m:s.ms | 0:0:1:15.897
QUERY-EXEC | loop-3 | c3-q3a, START, 2024-01-27 04:26:08.463605+00
QUERY-EXEC | loop-3 | c3-q3a, END, 2024-01-27 04:30:21.799437+00
QUERY-EXEC | loop-3 | c3-q3a, EXECTIME, d:h:m:s.ms | 0:0:4:13.335
QUERY-EXEC | loop-3 | d4-q3b, START, 2024-01-27 04:30:24.807107+00
QUERY-EXEC | loop-3 | d4-q3b, END, 2024-01-27 04:34:14.902239+00
QUERY-EXEC | loop-3 | d4-q3b, EXECTIME, d:h:m:s.ms | 0:0:3:50.95
QUERY-EXEC | loop-3 | e5-q3c, START, 2024-01-27 04:34:17.910195+00
QUERY-EXEC | loop-3 | e5-q3c, END, 2024-01-27 04:38:07.917625+00
QUERY-EXEC | loop-3 | e5-q3c, EXECTIME, d:h:m:s.ms | 0:0:3:50.7
QUERY-EXEC | loop-3 | h8-q5b, START, 2024-01-27 04:38:10.925395+00
QUERY-EXEC | loop-3 | h8-q5b, END, 2024-01-27 04:44:50.892754+00
QUERY-EXEC | loop-3 | h8-q5b, EXECTIME, d:h:m:s.ms | 0:0:6:39.967
QUERY-EXEC | loop-3 | k11-q8, START, 2024-01-27 04:44:53.900516+00
QUERY-EXEC | loop-3 | k11-q8, END, 2024-01-27 04:49:49.780339+00
QUERY-EXEC | loop-3 | k11-q8, EXECTIME, d:h:m:s.ms | 0:0:4:55.879
QUERY-EXEC | loop-3 | l12-q9, START, 2024-01-27 04:49:52.788172+00
QUERY-EXEC | loop-3 | l12-q9, END, 2024-01-27 05:04:27.895357+00
QUERY-EXEC | loop-3 | l12-q9, EXECTIME, d:h:m:s.ms | 0:0:14:35.107
QUERY-EXEC | loop-3 | m13-q10, START, 2024-01-27 05:04:30.902958+00
QUERY-EXEC | loop-3 | m13-q10, END, 2024-01-27 05:07:05.498301+00
QUERY-EXEC | loop-3 | m13-q10, EXECTIME, d:h:m:s.ms | 0:0:2:34.595
QUERY-EXEC | loop-3 | n14-q11, START, 2024-01-27 05:07:08.506015+00
QUERY-EXEC | loop-3 | n14-q11, END, 2024-01-27 05:07:41.861045+00
QUERY-EXEC | loop-3 | n14-q11, EXECTIME, d:h:m:s.ms | 0:0:0:33.355
QUERY-EXEC | loop-3 | q17-q12c, START, 2024-01-27 05:07:44.868757+00
QUERY-EXEC | loop-3 | q17-q12c, END, 2024-01-27 05:08:02.298991+00
QUERY-EXEC | loop-3 | q17-q12c, EXECTIME, d:h:m:s.ms | 0:0:0:17.430
QUERY-SKIP | loop-3 | p16-q12b, PENALTY, 3600000.000 ms
QUERY-SKIP | loop-3 | b2-q2, PENALTY, 3600000.000 ms
QUERY-SKIP | loop-3 | i9-q6, PENALTY, 3600000.000 ms
QUERY-SKIP | loop-3 | o15-q12a, PENALTY, 3600000.000 ms
QUERY-SKIP | loop-3 | g7-q5a, PENALTY, 3600000.000 ms
QUERY-SKIP | loop-3 | f6-q4, PENALTY, 3600000.000 ms
QUERY-SKIP | loop-3 | j10-q7, PENALTY, 3600000.000 ms
QUERY-EXEC | loop-4 | a1-q1, START, 2024-01-27 05:08:05.633707+00
QUERY-EXEC | loop-4 | a1-q1, END, 2024-01-27 05:09:21.978467+00
QUERY-EXEC | loop-4 | a1-q1, EXECTIME, d:h:m:s.ms | 0:0:1:16.344
QUERY-EXEC | loop-4 | c3-q3a, START, 2024-01-27 05:09:24.986124+00
QUERY-EXEC | loop-4 | c3-q3a, END, 2024-01-27 05:13:37.965763+00
