Process, Parameter, Value
MEASUREMENT, START, 2024-01-24 20:50:17.984946+00
MEASUREMENT, SCRIPT, /tmp/benchmark/main.sh
MEASUREMENT, BASEDIR, /tmp/benchmark
MEASUREMENT, CWD, /tmp/benchmark
MEASUREMENT, INPUT, 250000
MEASUREMENT, PID, 11026
SP2B, START, 2024-01-24 20:50:17.994569+00
SP2B, DIR, /tmp/benchmark/sp2b/bin
SP2B, TRIPLES, 250128
SP2B, FILESIZE, 26673KB
SP2B, END, 2024-01-24 20:50:18.517292+00
SP2B, EXECTIME, d:h:m:s.ms | 0:0:0:0.522
RDF2RAPSQL, RAPSQLMODEL, yars
RDF2RAPSQL, START, 2024-01-24 20:50:18.528367+00
RDF2RAPSQL, INSTANCE, /tmp/benchmark/data/sp250k4y3/sp250k4y3.n3
RDF2RAPSQL, PID, 11084
RDF2PG, START, 2024-01-24 20:50:18.533761+00
RDF2PG, END, 2024-01-24 20:50:20.878794+00
RDF2PG, EXECTIME, d:h:m:s.ms | 0:0:0:2.345
EDGEPARTITIONING, START, 2024-01-24 20:50:21.005267+00
EDGEPARTITIONING, END, 2024-01-24 20:50:21.189089+00
EDGEPARTITIONING, EXECTIME, d:h:m:s.ms | 0:0:0:0.183
DBIMPORT-NODES, START, 2024-01-24 20:50:21.194209+00
DBIMPORT-NODES, END, 2024-01-24 20:50:21.939534+00
DBIMPORT-NODES, EXECTIME, d:h:m:s.ms | 0:0:0:0.745
DBIMPORT-EDGES, START, 2024-01-24 20:50:21.944777+00
DBIMPORT-EDGES, END, 2024-01-24 20:50:23.062304+00
DBIMPORT-EDGES, EXECTIME, d:h:m:s.ms | 0:0:0:1.117
RDF2RAPSQL, END, 2024-01-24 20:50:23.067933+00
RDF2RAPSQL, EXECTIME, d:h:m:s.ms | 0:0:0:4.539
WRITECYPHER, START, 2024-01-24 20:50:23.075698+00
WRITECYPHER, END, 2024-01-24 20:50:23.967654+00
WRITECYPHER, EXECTIME, d:h:m:s.ms | 0:0:0:0.891
RAPSQLTRIPLES-CNT, START, 2024-01-24 20:50:28.977287+00
RAPSQLTRIPLES-CNT, END, 2024-01-24 20:50:29.533698+00
RAPSQLTRIPLES-CNT, EXECTIME, d:h:m:s.ms | 0:0:0:0.556
RUNQUERIES, START, 2024-01-24 20:50:34.542850+00
QUERY-EXEC | loop-1 | a1-q1, START, 2024-01-24 20:50:37.553032+00
QUERY-EXEC | loop-1 | a1-q1, END, 2024-01-24 20:50:38.569810+00
QUERY-EXEC | loop-1 | a1-q1, EXECTIME, d:h:m:s.ms | 0:0:0:1.16
QUERY-EXEC | loop-1 | b2-q2, START, 2024-01-24 20:50:41.577258+00
QUERY-EXEC | loop-1 | b2-q2, END, 2024-01-24 20:55:56.065425+00
QUERY-EXEC | loop-1 | b2-q2, EXECTIME, d:h:m:s.ms | 0:0:5:14.488
