q1,q2,q3a,q3b,q3c,q4,q5a,q5b,q6,q7,q8,q9,q10,q11,q12a,q12b,q12c
319.986,3600,495.919,458.148,458.197,3600,3600,935.471,3600,3600,899.8,3600,371.8,75.777,1612.1,1128.23,45.482
244.826,3600,496.471,461.789,462.427,3600,3600,905.73,3600,3600,907.956,3600,373.691,75.178,1593.75,1040.11,45.428
245.421,3600,496.505,460.687,461.527,3600,3600,907.987,3600,3600,909.277,3600,368.407,74.791,1574.24,1024.69,45.462
251.013,3600,496.382,459.577,460.432,3600,3600,891.97,3600,3600,902.513,3600,365.448,74.832,1580.43,1029.87,45.465
251.078,3600,496.127,462.183,460.898,3600,3600,904.346,3600,3600,908.19,3600,367.939,74.358,1589.72,1062.23,45.407
258.504,3600,500.688,461.57,459.214,3600,3600,912.742,3600,3600,875.72,3600,367.247,73.875,1439.2,1039.34,45.6
250.753,3600,495.997,459.631,459.555,3600,3600,895.43,3600,3600,903.644,3600,368.389,73.763,1438.53,1137.12,45.456
250.793,3600,497.903,460.103,461.281,3600,3600,892.288,3600,3600,902.634,3600,367.493,73.757,1487.75,1065.46,45.461
256.378,3600,496.935,459.899,460.883,3600,3600,912.168,3600,3600,927.125,3600,440.199,74.64,1435.48,1063.79,45.469
256.297,3600,498.302,460.14,459.793,3600,3600,913.993,3600,3600,907.531,3600,370.499,74.495,1436.07,1027.53,45.497
