Process, Parameter, Value
MEASUREMENT, START, 2024-01-24 12:19:59.660446+00
MEASUREMENT, SCRIPT, /tmp/benchmark/main.sh
MEASUREMENT, BASEDIR, /tmp/benchmark
MEASUREMENT, CWD, /tmp/benchmark
MEASUREMENT, INPUT, 50000
MEASUREMENT, PID, 10984
SP2B, START, 2024-01-24 12:19:59.670070+00
SP2B, DIR, /tmp/benchmark/sp2b/bin
SP2B, TRIPLES, 50168
SP2B, FILESIZE, 5225KB
SP2B, END, 2024-01-24 12:19:59.812086+00
RDF2RAPSQL, RAPSQLMODEL, yars
RDF2RAPSQL, START, 2024-01-24 12:19:59.821648+00
RDF2RAPSQL, INSTANCE, /tmp/benchmark/data/sp50k2y1/sp50k2y1.n3
RDF2RAPSQL, PID, 11040
RDF2PG, START, 2024-01-24 12:19:59.827064+00
RDF2PG, END, 2024-01-24 12:20:00.839377+00
RDF2PG, EXECTIME, d:h:m:s.ms | 0:0:0:1.12
EDGEPARTITIONING, START, 2024-01-24 12:20:00.973781+00
EDGEPARTITIONING, END, 2024-01-24 12:20:01.117982+00
EDGEPARTITIONING, EXECTIME, d:h:m:s.ms | 0:0:0:0.144
DBIMPORT-NODES, START, 2024-01-24 12:20:01.123204+00
DBIMPORT-NODES, END, 2024-01-24 12:20:01.296605+00
DBIMPORT-NODES, EXECTIME, d:h:m:s.ms | 0:0:0:0.173
DBIMPORT-EDGES, START, 2024-01-24 12:20:01.301919+00
DBIMPORT-EDGES, END, 2024-01-24 12:20:01.788999+00
DBIMPORT-EDGES, EXECTIME, d:h:m:s.ms | 0:0:0:0.487
RDF2RAPSQL, END, 2024-01-24 12:20:01.794566+00
RDF2RAPSQL, EXECTIME, d:h:m:s.ms | 0:0:0:1.972
WRITECYPHER, START, 2024-01-24 12:20:01.802283+00
WRITECYPHER, END, 2024-01-24 12:20:02.694567+00
WRITECYPHER, EXECTIME, d:h:m:s.ms | 0:0:0:0.892
RAPSQLTRIPLES-CNT, START, 2024-01-24 12:20:07.703663+00
RAPSQLTRIPLES-CNT, END, 2024-01-24 12:20:08.159807+00
RAPSQLTRIPLES-CNT, EXECTIME, d:h:m:s.ms | 0:0:0:0.456
RUNQUERIES, START, 2024-01-24 12:20:13.169044+00
QUERY-EXEC | loop-1 | a1-q1, START, 2024-01-24 12:20:16.179264+00
QUERY-EXEC | loop-1 | a1-q1, END, 2024-01-24 12:20:16.250194+00
QUERY-EXEC | loop-1 | a1-q1, EXECTIME, d:h:m:s.ms | 0:0:0:0.70
QUERY-EXEC | loop-1 | b2-q2, START, 2024-01-24 12:20:19.257774+00
QUERY-EXEC | loop-1 | b2-q2, END, 2024-01-24 12:20:20.572550+00
QUERY-EXEC | loop-1 | b2-q2, EXECTIME, d:h:m:s.ms | 0:0:0:1.314
QUERY-EXEC | loop-1 | c3-q3a, START, 2024-01-24 12:20:23.580134+00
QUERY-EXEC | loop-1 | c3-q3a, END, 2024-01-24 12:20:24.917608+00
QUERY-EXEC | loop-1 | c3-q3a, EXECTIME, d:h:m:s.ms | 0:0:0:1.337
QUERY-EXEC | loop-1 | d4-q3b, START, 2024-01-24 12:20:27.925314+00
QUERY-EXEC | loop-1 | d4-q3b, END, 2024-01-24 12:20:29.242598+00
QUERY-EXEC | loop-1 | d4-q3b, EXECTIME, d:h:m:s.ms | 0:0:0:1.317
QUERY-EXEC | loop-1 | e5-q3c, START, 2024-01-24 12:20:32.250268+00
QUERY-EXEC | loop-1 | e5-q3c, END, 2024-01-24 12:20:33.558686+00
QUERY-EXEC | loop-1 | e5-q3c, EXECTIME, d:h:m:s.ms | 0:0:0:1.308
QUERY-EXEC | loop-1 | f6-q4, START, 2024-01-24 12:20:36.566395+00
QUERY-EXEC | loop-1 | f6-q4, END, 2024-01-24 12:50:12.679045+00
QUERY-EXEC | loop-1 | f6-q4, EXECTIME, d:h:m:s.ms | 0:0:29:36.112
QUERY-EXEC | loop-1 | g7-q5a, START, 2024-01-24 12:50:15.686800+00
QUERY-EXEC | loop-1 | g7-q5a, END, 2024-01-24 12:52:26.025635+00
QUERY-EXEC | loop-1 | g7-q5a, EXECTIME, d:h:m:s.ms | 0:0:2:10.338
QUERY-EXEC | loop-1 | h8-q5b, START, 2024-01-24 12:52:29.033226+00
