Process, Parameter, Value
MEASUREMENT, START, 2024-01-26 15:11:50.968590+00
MEASUREMENT, SCRIPT, /tmp/benchmark/main.sh
MEASUREMENT, BASEDIR, /tmp/benchmark
MEASUREMENT, CWD, /tmp/benchmark
MEASUREMENT, INPUT, 250000
MEASUREMENT, PID, 10965
SP2B, START, 2024-01-26 15:11:50.978271+00
SP2B, DIR, /tmp/benchmark/sp2b/bin
SP2B, TRIPLES, 250128
SP2B, FILESIZE, 26673KB
SP2B, END, 2024-01-26 15:11:51.496106+00
SP2B, EXECTIME, d:h:m:s.ms | 0:0:0:0.517
RDF2RAPSQL, RAPSQLMODEL, rdfid
RDF2RAPSQL, START, 2024-01-26 15:11:51.507105+00
RDF2RAPSQL, INSTANCE, /tmp/benchmark/data/sp250k72r21/sp250k72r21.n3
RDF2RAPSQL, PID, 11023
RDF2PG, START, 2024-01-26 15:11:51.512519+00
RDF2PG, END, 2024-01-26 15:11:53.851433+00
RDF2PG, EXECTIME, d:h:m:s.ms | 0:0:0:2.338
EDGEPARTITIONING, START, 2024-01-26 15:11:53.978892+00
EDGEPARTITIONING, END, 2024-01-26 15:11:54.165516+00
EDGEPARTITIONING, EXECTIME, d:h:m:s.ms | 0:0:0:0.186
DBIMPORT-NODES, START, 2024-01-26 15:11:54.170664+00
DBIMPORT-NODES, END, 2024-01-26 15:11:55.306914+00
DBIMPORT-NODES, EXECTIME, d:h:m:s.ms | 0:0:0:1.136
DBIMPORT-EDGES, START, 2024-01-26 15:11:55.312205+00
DBIMPORT-EDGES, END, 2024-01-26 15:11:56.798444+00
DBIMPORT-EDGES, EXECTIME, d:h:m:s.ms | 0:0:0:1.486
RDF2RAPSQL, END, 2024-01-26 15:11:56.804074+00
RDF2RAPSQL, EXECTIME, d:h:m:s.ms | 0:0:0:5.296
WRITECYPHER, RAPSQLTRANSPILER, cpo2
WRITECYPHER, START, 2024-01-26 15:11:56.812822+00
WRITECYPHER, END, 2024-01-26 15:11:57.671306+00
WRITECYPHER, EXECTIME, d:h:m:s.ms | 0:0:0:0.858
RAPSQLTRIPLES-CNT, START, 2024-01-26 15:12:02.680645+00
RAPSQLTRIPLES-CNT, END, 2024-01-26 15:12:03.215493+00
RAPSQLTRIPLES-CNT, EXECTIME, d:h:m:s.ms | 0:0:0:0.534
RUNQUERIES, START, 2024-01-26 15:12:08.224556+00
QUERY-EXEC | loop-1 | a1-q1, START, 2024-01-26 15:12:11.234723+00
QUERY-EXEC | loop-1 | a1-q1, END, 2024-01-26 15:12:12.215783+00
QUERY-EXEC | loop-1 | a1-q1, EXECTIME, d:h:m:s.ms | 0:0:0:0.981
QUERY-EXEC | loop-1 | b2-q2, START, 2024-01-26 15:12:15.223457+00
QUERY-EXEC | loop-1 | b2-q2, END, 2024-01-26 15:17:03.761914+00
QUERY-EXEC | loop-1 | b2-q2, EXECTIME, d:h:m:s.ms | 0:0:4:48.538
QUERY-EXEC | loop-1 | c3-q3a, START, 2024-01-26 15:17:06.769576+00
QUERY-EXEC | loop-1 | c3-q3a, END, 2024-01-26 15:17:09.341003+00
