Process, Parameter, Value
MEASUREMENT, START, 2024-01-24 12:32:31.387324+00
MEASUREMENT, SCRIPT, /tmp/benchmark/main.sh
MEASUREMENT, BASEDIR, /tmp/benchmark
MEASUREMENT, CWD, /tmp/benchmark
MEASUREMENT, INPUT, 50000
MEASUREMENT, PID, 10945
SP2B, START, 2024-01-24 12:32:31.396944+00
SP2B, DIR, /tmp/benchmark/sp2b/bin
SP2B, TRIPLES, 50168
SP2B, FILESIZE, 5225KB
SP2B, END, 2024-01-24 12:32:31.539743+00
RDF2RAPSQL, RAPSQLMODEL, yars
RDF2RAPSQL, START, 2024-01-24 12:32:31.549231+00
RDF2RAPSQL, INSTANCE, /tmp/benchmark/data/sp50k3y2/sp50k3y2.n3
RDF2RAPSQL, PID, 11001
RDF2PG, START, 2024-01-24 12:32:31.554662+00
RDF2PG, END, 2024-01-24 12:32:32.658291+00
RDF2PG, EXECTIME, d:h:m:s.ms | 0:0:0:1.103
EDGEPARTITIONING, START, 2024-01-24 12:32:32.787523+00
EDGEPARTITIONING, END, 2024-01-24 12:32:32.927177+00
EDGEPARTITIONING, EXECTIME, d:h:m:s.ms | 0:0:0:0.139
DBIMPORT-NODES, START, 2024-01-24 12:32:32.932208+00
DBIMPORT-NODES, END, 2024-01-24 12:32:33.096121+00
DBIMPORT-NODES, EXECTIME, d:h:m:s.ms | 0:0:0:0.163
DBIMPORT-EDGES, START, 2024-01-24 12:32:33.101394+00
DBIMPORT-EDGES, END, 2024-01-24 12:32:33.511200+00
DBIMPORT-EDGES, EXECTIME, d:h:m:s.ms | 0:0:0:0.409
RDF2RAPSQL, END, 2024-01-24 12:32:33.516744+00
RDF2RAPSQL, EXECTIME, d:h:m:s.ms | 0:0:0:1.967
WRITECYPHER, START, 2024-01-24 12:32:33.524390+00
WRITECYPHER, END, 2024-01-24 12:32:34.424455+00
WRITECYPHER, EXECTIME, d:h:m:s.ms | 0:0:0:0.900
RAPSQLTRIPLES-CNT, START, 2024-01-24 12:32:39.433658+00
RAPSQLTRIPLES-CNT, END, 2024-01-24 12:32:39.887681+00
RAPSQLTRIPLES-CNT, EXECTIME, d:h:m:s.ms | 0:0:0:0.454
RUNQUERIES, START, 2024-01-24 12:32:44.896593+00
QUERY-EXEC | loop-1 | a1-q1, START, 2024-01-24 12:32:47.906679+00
QUERY-EXEC | loop-1 | a1-q1, END, 2024-01-24 12:32:47.976556+00
QUERY-EXEC | loop-1 | a1-q1, EXECTIME, d:h:m:s.ms | 0:0:0:0.69
QUERY-EXEC | loop-1 | b2-q2, START, 2024-01-24 12:32:50.984086+00
QUERY-EXEC | loop-1 | b2-q2, END, 2024-01-24 12:32:52.291503+00
QUERY-EXEC | loop-1 | b2-q2, EXECTIME, d:h:m:s.ms | 0:0:0:1.307
QUERY-EXEC | loop-1 | c3-q3a, START, 2024-01-24 12:32:55.299103+00
QUERY-EXEC | loop-1 | c3-q3a, END, 2024-01-24 12:32:56.613722+00
QUERY-EXEC | loop-1 | c3-q3a, EXECTIME, d:h:m:s.ms | 0:0:0:1.314
QUERY-EXEC | loop-1 | d4-q3b, START, 2024-01-24 12:32:59.621187+00
QUERY-EXEC | loop-1 | d4-q3b, END, 2024-01-24 12:33:00.914545+00
QUERY-EXEC | loop-1 | d4-q3b, EXECTIME, d:h:m:s.ms | 0:0:0:1.293
QUERY-EXEC | loop-1 | e5-q3c, START, 2024-01-24 12:33:03.922096+00
QUERY-EXEC | loop-1 | e5-q3c, END, 2024-01-24 12:33:05.217138+00
QUERY-EXEC | loop-1 | e5-q3c, EXECTIME, d:h:m:s.ms | 0:0:0:1.295
QUERY-EXEC | loop-1 | f6-q4, START, 2024-01-24 12:33:08.224744+00
QUERY-EXEC | loop-1 | f6-q4, END, 2024-01-24 12:34:27.493114+00
QUERY-EXEC | loop-1 | f6-q4, EXECTIME, d:h:m:s.ms | 0:0:1:19.268
QUERY-EXEC | loop-1 | g7-q5a, START, 2024-01-24 12:34:30.500752+00
QUERY-EXEC | loop-1 | g7-q5a, END, 2024-01-24 12:35:19.135267+00
QUERY-EXEC | loop-1 | g7-q5a, EXECTIME, d:h:m:s.ms | 0:0:0:48.634
QUERY-EXEC | loop-1 | h8-q5b, START, 2024-01-24 12:35:22.142912+00
QUERY-EXEC | loop-1 | h8-q5b, END, 2024-01-24 12:35:22.481255+00
QUERY-EXEC | loop-1 | h8-q5b, EXECTIME, d:h:m:s.ms | 0:0:0:0.338
QUERY-EXEC | loop-1 | i9-q6, START, 2024-01-24 12:35:25.488737+00
QUERY-EXEC | loop-1 | i9-q6, END, 2024-01-24 12:36:07.550705+00
QUERY-EXEC | loop-1 | i9-q6, EXECTIME, d:h:m:s.ms | 0:0:0:42.61
QUERY-EXEC | loop-1 | j10-q7, START, 2024-01-24 12:36:10.558219+00
QUERY-EXEC | loop-1 | j10-q7, END, 2024-01-24 12:36:17.999354+00
QUERY-EXEC | loop-1 | j10-q7, EXECTIME, d:h:m:s.ms | 0:0:0:7.441
QUERY-EXEC | loop-1 | k11-q8, START, 2024-01-24 12:36:21.006933+00
QUERY-EXEC | loop-1 | k11-q8, END, 2024-01-24 12:36:21.172750+00
QUERY-EXEC | loop-1 | k11-q8, EXECTIME, d:h:m:s.ms | 0:0:0:0.165
QUERY-EXEC | loop-1 | l12-q9, START, 2024-01-24 12:36:24.180282+00
QUERY-EXEC | loop-1 | l12-q9, END, 2024-01-24 12:36:24.400410+00
QUERY-EXEC | loop-1 | l12-q9, EXECTIME, d:h:m:s.ms | 0:0:0:0.220
QUERY-EXEC | loop-1 | m13-q10, START, 2024-01-24 12:36:27.407898+00
QUERY-EXEC | loop-1 | m13-q10, END, 2024-01-24 12:36:27.529220+00
QUERY-EXEC | loop-1 | m13-q10, EXECTIME, d:h:m:s.ms | 0:0:0:0.121
QUERY-EXEC | loop-1 | n14-q11, START, 2024-01-24 12:36:30.536702+00
QUERY-EXEC | loop-1 | n14-q11, END, 2024-01-24 12:36:30.607645+00
QUERY-EXEC | loop-1 | n14-q11, EXECTIME, d:h:m:s.ms | 0:0:0:0.70
