Process, Parameter, Value
MEASUREMENT, START, 2024-01-26 06:53:00.175294+00
MEASUREMENT, SCRIPT, /tmp/benchmark/main.sh
MEASUREMENT, BASEDIR, /tmp/benchmark
MEASUREMENT, CWD, /tmp/benchmark
MEASUREMENT, INPUT, 250000
MEASUREMENT, PID, 10958
SP2B, START, 2024-01-26 06:53:00.184930+00
SP2B, DIR, /tmp/benchmark/sp2b/bin
SP2B, TRIPLES, 250128
SP2B, FILESIZE, 26673KB
SP2B, END, 2024-01-26 06:53:00.713565+00
SP2B, EXECTIME, d:h:m:s.ms | 0:0:0:0.528
RDF2RAPSQL, RAPSQLMODEL, rdfid
RDF2RAPSQL, START, 2024-01-26 06:53:00.724368+00
RDF2RAPSQL, INSTANCE, /tmp/benchmark/data/sp250k72r2/sp250k72r2.n3
RDF2RAPSQL, PID, 11016
RDF2PG, START, 2024-01-26 06:53:00.729769+00
RDF2PG, END, 2024-01-26 06:53:03.124303+00
RDF2PG, EXECTIME, d:h:m:s.ms | 0:0:0:2.394
EDGEPARTITIONING, START, 2024-01-26 06:53:03.269571+00
EDGEPARTITIONING, END, 2024-01-26 06:53:03.454891+00
EDGEPARTITIONING, EXECTIME, d:h:m:s.ms | 0:0:0:0.185
DBIMPORT-NODES, START, 2024-01-26 06:53:03.460000+00
DBIMPORT-NODES, END, 2024-01-26 06:53:04.443337+00
DBIMPORT-NODES, EXECTIME, d:h:m:s.ms | 0:0:0:0.983
DBIMPORT-EDGES, START, 2024-01-26 06:53:04.448520+00
DBIMPORT-EDGES, END, 2024-01-26 06:53:05.750451+00
DBIMPORT-EDGES, EXECTIME, d:h:m:s.ms | 0:0:0:1.301
RDF2RAPSQL, END, 2024-01-26 06:53:05.756048+00
RDF2RAPSQL, EXECTIME, d:h:m:s.ms | 0:0:0:5.31
WRITECYPHER, RAPSQLTRANSPILER, cpo2
WRITECYPHER, START, 2024-01-26 06:53:05.764814+00
WRITECYPHER, END, 2024-01-26 06:53:06.626658+00
WRITECYPHER, EXECTIME, d:h:m:s.ms | 0:0:0:0.861
RAPSQLTRIPLES-CNT, START, 2024-01-26 06:53:11.635773+00
RAPSQLTRIPLES-CNT, END, 2024-01-26 06:53:12.177763+00
RAPSQLTRIPLES-CNT, EXECTIME, d:h:m:s.ms | 0:0:0:0.541
RUNQUERIES, START, 2024-01-26 06:53:17.187062+00
QUERY-EXEC | loop-1 | a1-q1, START, 2024-01-26 06:53:20.197162+00
QUERY-EXEC | loop-1 | a1-q1, END, 2024-01-26 06:53:21.187388+00
QUERY-EXEC | loop-1 | a1-q1, EXECTIME, d:h:m:s.ms | 0:0:0:0.990
QUERY-EXEC | loop-1 | b2-q2, START, 2024-01-26 06:53:24.194938+00
QUERY-EXEC | loop-1 | b2-q2, END, 2024-01-26 06:58:19.827686+00
QUERY-EXEC | loop-1 | b2-q2, EXECTIME, d:h:m:s.ms | 0:0:4:55.632
QUERY-EXEC | loop-1 | c3-q3a, START, 2024-01-26 06:58:22.835351+00
QUERY-EXEC | loop-1 | c3-q3a, END, 2024-01-26 06:58:25.422198+00
QUERY-EXEC | loop-1 | c3-q3a, EXECTIME, d:h:m:s.ms | 0:0:0:2.586
QUERY-EXEC | loop-1 | d4-q3b, START, 2024-01-26 06:58:28.429717+00
QUERY-EXEC | loop-1 | d4-q3b, END, 2024-01-26 06:58:30.915124+00
QUERY-EXEC | loop-1 | d4-q3b, EXECTIME, d:h:m:s.ms | 0:0:0:2.485
QUERY-EXEC | loop-1 | e5-q3c, START, 2024-01-26 06:58:33.922600+00
QUERY-EXEC | loop-1 | e5-q3c, END, 2024-01-26 06:58:36.406046+00
QUERY-EXEC | loop-1 | e5-q3c, EXECTIME, d:h:m:s.ms | 0:0:0:2.483
QUERY-EXEC | loop-1 | f6-q4, START, 2024-01-26 06:58:39.413535+00
QUERY-EXEC | loop-1 | f6-q4, END, 2024-01-26 07:28:39.466567+00
QUERY-EXEC | loop-1 | f6-q4, EXECTIME, d:h:m:s.ms | 0:0:30:0.53
QUERY-EXEC | loop-1 | g7-q5a, START, 2024-01-26 07:28:42.474098+00
QUERY-EXEC | loop-1 | g7-q5a, END, 2024-01-26 07:38:39.234838+00
QUERY-EXEC | loop-1 | g7-q5a, EXECTIME, d:h:m:s.ms | 0:0:9:56.760
QUERY-EXEC | loop-1 | h8-q5b, START, 2024-01-26 07:38:42.242691+00
QUERY-EXEC | loop-1 | h8-q5b, END, 2024-01-26 07:38:43.026755+00
QUERY-EXEC | loop-1 | h8-q5b, EXECTIME, d:h:m:s.ms | 0:0:0:0.784
QUERY-EXEC | loop-1 | i9-q6, START, 2024-01-26 07:38:46.034311+00
QUERY-EXEC | loop-1 | i9-q6, END, 2024-01-26 08:09:02.555897+00
QUERY-EXEC | loop-1 | i9-q6, EXECTIME, d:h:m:s.ms | 0:0:30:16.521
QUERY-EXEC | loop-1 | j10-q7, START, 2024-01-26 08:09:05.563599+00
QUERY-EXEC | loop-1 | j10-q7, END, 2024-01-26 08:39:05.889461+00
QUERY-EXEC | loop-1 | j10-q7, EXECTIME, d:h:m:s.ms | 0:0:30:0.325
QUERY-EXEC | loop-1 | k11-q8, START, 2024-01-26 08:39:08.897760+00
QUERY-EXEC | loop-1 | k11-q8, END, 2024-01-26 08:39:09.359350+00
QUERY-EXEC | loop-1 | k11-q8, EXECTIME, d:h:m:s.ms | 0:0:0:0.461
QUERY-EXEC | loop-1 | l12-q9, START, 2024-01-26 08:39:12.367051+00
QUERY-EXEC | loop-1 | l12-q9, END, 2024-01-26 08:39:13.542438+00
QUERY-EXEC | loop-1 | l12-q9, EXECTIME, d:h:m:s.ms | 0:0:0:1.175
QUERY-EXEC | loop-1 | m13-q10, START, 2024-01-26 08:39:16.550152+00
QUERY-EXEC | loop-1 | m13-q10, END, 2024-01-26 08:39:17.072151+00
QUERY-EXEC | loop-1 | m13-q10, EXECTIME, d:h:m:s.ms | 0:0:0:0.521
QUERY-EXEC | loop-1 | n14-q11, START, 2024-01-26 08:39:20.079704+00
QUERY-EXEC | loop-1 | n14-q11, END, 2024-01-26 08:39:20.194239+00
QUERY-EXEC | loop-1 | n14-q11, EXECTIME, d:h:m:s.ms | 0:0:0:0.114
QUERY-EXEC | loop-1 | o15-q12a, START, 2024-01-26 08:39:23.201953+00
QUERY-EXEC | loop-1 | o15-q12a, END, 2024-01-26 08:39:49.851780+00
QUERY-EXEC | loop-1 | o15-q12a, EXECTIME, d:h:m:s.ms | 0:0:0:26.649
QUERY-EXEC | loop-1 | p16-q12b, START, 2024-01-26 08:39:52.859312+00
QUERY-EXEC | loop-1 | p16-q12b, END, 2024-01-26 08:39:53.216948+00
QUERY-EXEC | loop-1 | p16-q12b, EXECTIME, d:h:m:s.ms | 0:0:0:0.357
QUERY-EXEC | loop-1 | q17-q12c, START, 2024-01-26 08:39:56.224358+00
QUERY-EXEC | loop-1 | q17-q12c, END, 2024-01-26 08:39:56.296434+00
QUERY-EXEC | loop-1 | q17-q12c, EXECTIME, d:h:m:s.ms | 0:0:0:0.72
QUERY-PENALTY | loop-1 | i9-q6.sql, PENALTY-TIME, 3600000.000 ms
QUERY-PENALTY | loop-1 | f6-q4.sql, PENALTY-TIME, 3600000.000 ms
QUERY-PENALTY | loop-1 | j10-q7.sql, PENALTY-TIME, 3600000.000 ms
RUNQUERIES, END, 2024-01-26 08:39:56.350360+00
RUNQUERIES, EXECTIME, d:h:m:s.ms | 0:1:46:39.163
CALCPERFORMANCE, START, 2024-01-26 08:39:56.357892+00
CALCPERFORMANCE, END, 2024-01-26 08:39:56.372697+00
CALCPERFORMANCE, EXECTIME, d:h:m:s.ms | 0:0:0:0.14
MEASUREMENT, END, 2024-01-26 08:39:56.380157+00
MEASUREMENT, EXECTIME, d:h:m:s.ms | 0:1:46:56.204
