Process, Parameter, Value
MEASUREMENT, START, 2024-01-24 20:49:03.517507+00
MEASUREMENT, SCRIPT, /tmp/benchmark/main.sh
MEASUREMENT, BASEDIR, /tmp/benchmark
MEASUREMENT, CWD, /tmp/benchmark
MEASUREMENT, INPUT, 250000
MEASUREMENT, PID, 10996
SP2B, START, 2024-01-24 20:49:03.527228+00
SP2B, DIR, /tmp/benchmark/sp2b/bin
SP2B, TRIPLES, 250128
SP2B, FILESIZE, 26673KB
SP2B, END, 2024-01-24 20:49:04.051206+00
SP2B, EXECTIME, d:h:m:s.ms | 0:0:0:0.523
RDF2RAPSQL, RAPSQLMODEL, yars
RDF2RAPSQL, START, 2024-01-24 20:49:04.062227+00
RDF2RAPSQL, INSTANCE, /tmp/benchmark/data/sp250k3y2/sp250k3y2.n3
RDF2RAPSQL, PID, 11054
RDF2PG, START, 2024-01-24 20:49:04.067741+00
RDF2PG, END, 2024-01-24 20:49:06.453056+00
RDF2PG, EXECTIME, d:h:m:s.ms | 0:0:0:2.385
EDGEPARTITIONING, START, 2024-01-24 20:49:06.588051+00
EDGEPARTITIONING, END, 2024-01-24 20:49:06.775625+00
EDGEPARTITIONING, EXECTIME, d:h:m:s.ms | 0:0:0:0.187
DBIMPORT-NODES, START, 2024-01-24 20:49:06.780816+00
DBIMPORT-NODES, END, 2024-01-24 20:49:07.880256+00
DBIMPORT-NODES, EXECTIME, d:h:m:s.ms | 0:0:0:1.99
DBIMPORT-EDGES, START, 2024-01-24 20:49:07.885661+00
DBIMPORT-EDGES, END, 2024-01-24 20:49:09.352239+00
DBIMPORT-EDGES, EXECTIME, d:h:m:s.ms | 0:0:0:1.466
RDF2RAPSQL, END, 2024-01-24 20:49:09.357966+00
RDF2RAPSQL, EXECTIME, d:h:m:s.ms | 0:0:0:5.295
WRITECYPHER, START, 2024-01-24 20:49:09.365654+00
WRITECYPHER, END, 2024-01-24 20:49:10.255842+00
WRITECYPHER, EXECTIME, d:h:m:s.ms | 0:0:0:0.890
RAPSQLTRIPLES-CNT, START, 2024-01-24 20:49:15.265104+00
RAPSQLTRIPLES-CNT, END, 2024-01-24 20:49:15.820625+00
RAPSQLTRIPLES-CNT, EXECTIME, d:h:m:s.ms | 0:0:0:0.555
RUNQUERIES, START, 2024-01-24 20:49:20.829959+00
QUERY-EXEC | loop-1 | a1-q1, START, 2024-01-24 20:49:23.840133+00
QUERY-EXEC | loop-1 | a1-q1, END, 2024-01-24 20:49:24.854103+00
QUERY-EXEC | loop-1 | a1-q1, EXECTIME, d:h:m:s.ms | 0:0:0:1.13
QUERY-EXEC | loop-1 | b2-q2, START, 2024-01-24 20:49:27.861652+00
QUERY-EXEC | loop-1 | b2-q2, END, 2024-01-24 20:54:49.399213+00
QUERY-EXEC | loop-1 | b2-q2, EXECTIME, d:h:m:s.ms | 0:0:5:21.537
QUERY-EXEC | loop-1 | c3-q3a, START, 2024-01-24 20:54:52.406996+00
QUERY-EXEC | loop-1 | c3-q3a, END, 2024-01-24 20:54:55.311818+00
QUERY-EXEC | loop-1 | c3-q3a, EXECTIME, d:h:m:s.ms | 0:0:0:2.904
QUERY-EXEC | loop-1 | d4-q3b, START, 2024-01-24 20:54:58.319436+00
QUERY-EXEC | loop-1 | d4-q3b, END, 2024-01-24 20:55:02.346907+00
QUERY-EXEC | loop-1 | d4-q3b, EXECTIME, d:h:m:s.ms | 0:0:0:4.27
QUERY-EXEC | loop-1 | e5-q3c, START, 2024-01-24 20:55:05.354496+00
QUERY-EXEC | loop-1 | e5-q3c, END, 2024-01-24 20:55:08.170331+00
QUERY-EXEC | loop-1 | e5-q3c, EXECTIME, d:h:m:s.ms | 0:0:0:2.815
QUERY-EXEC | loop-1 | f6-q4, START, 2024-01-24 20:55:11.177973+00
QUERY-EXEC | loop-1 | f6-q4, END, 2024-01-24 21:25:11.236690+00
