Process, Parameter, Value
MEASUREMENT, START, 2024-01-26 15:15:28.654197+00
MEASUREMENT, SCRIPT, /tmp/benchmark/main.sh
MEASUREMENT, BASEDIR, /tmp/benchmark
MEASUREMENT, CWD, /tmp/benchmark
MEASUREMENT, INPUT, 250000
MEASUREMENT, PID, 10998
SP2B, START, 2024-01-26 15:15:28.664135+00
SP2B, DIR, /tmp/benchmark/sp2b/bin
SP2B, TRIPLES, 250128
SP2B, FILESIZE, 26673KB
SP2B, END, 2024-01-26 15:15:29.197793+00
SP2B, EXECTIME, d:h:m:s.ms | 0:0:0:0.533
RDF2RAPSQL, RAPSQLMODEL, yars
RDF2RAPSQL, START, 2024-01-26 15:15:29.209163+00
RDF2RAPSQL, INSTANCE, /tmp/benchmark/data/sp250k32y21/sp250k32y21.n3
RDF2RAPSQL, PID, 11056
RDF2PG, START, 2024-01-26 15:15:29.214698+00
RDF2PG, END, 2024-01-26 15:15:31.645525+00
RDF2PG, EXECTIME, d:h:m:s.ms | 0:0:0:2.430
EDGEPARTITIONING, START, 2024-01-26 15:15:31.804989+00
EDGEPARTITIONING, END, 2024-01-26 15:15:31.994668+00
EDGEPARTITIONING, EXECTIME, d:h:m:s.ms | 0:0:0:0.189
DBIMPORT-NODES, START, 2024-01-26 15:15:31.999869+00
DBIMPORT-NODES, END, 2024-01-26 15:15:33.440696+00
DBIMPORT-NODES, EXECTIME, d:h:m:s.ms | 0:0:0:1.440
DBIMPORT-EDGES, START, 2024-01-26 15:15:33.446018+00
DBIMPORT-EDGES, END, 2024-01-26 15:15:35.367843+00
DBIMPORT-EDGES, EXECTIME, d:h:m:s.ms | 0:0:0:1.921
RDF2RAPSQL, END, 2024-01-26 15:15:35.373406+00
RDF2RAPSQL, EXECTIME, d:h:m:s.ms | 0:0:0:6.164
WRITECYPHER, RAPSQLTRANSPILER, cpo2
WRITECYPHER, START, 2024-01-26 15:15:35.382410+00
WRITECYPHER, END, 2024-01-26 15:15:36.276163+00
WRITECYPHER, EXECTIME, d:h:m:s.ms | 0:0:0:0.893
RAPSQLTRIPLES-CNT, START, 2024-01-26 15:15:41.285401+00
RAPSQLTRIPLES-CNT, END, 2024-01-26 15:15:41.828604+00
RAPSQLTRIPLES-CNT, EXECTIME, d:h:m:s.ms | 0:0:0:0.543
RUNQUERIES, START, 2024-01-26 15:15:46.837915+00
QUERY-EXEC | loop-1 | a1-q1, START, 2024-01-26 15:15:49.847976+00
QUERY-EXEC | loop-1 | a1-q1, END, 2024-01-26 15:15:50.863621+00
QUERY-EXEC | loop-1 | a1-q1, EXECTIME, d:h:m:s.ms | 0:0:0:1.15
