Process, Parameter, Value
MEASUREMENT, START, 2024-01-26 12:04:27.427298+00
MEASUREMENT, SCRIPT, /tmp/benchmark/main.sh
MEASUREMENT, BASEDIR, /tmp/benchmark
MEASUREMENT, CWD, /tmp/benchmark
MEASUREMENT, INPUT, 250000
MEASUREMENT, PID, 11031
SP2B, START, 2024-01-26 12:04:27.436840+00
SP2B, DIR, /tmp/benchmark/sp2b/bin
SP2B, TRIPLES, 250128
SP2B, FILESIZE, 26673KB
SP2B, END, 2024-01-26 12:04:27.963482+00
SP2B, EXECTIME, d:h:m:s.ms | 0:0:0:0.526
RDF2RAPSQL, RAPSQLMODEL, yars
RDF2RAPSQL, START, 2024-01-26 12:04:27.974594+00
RDF2RAPSQL, INSTANCE, /tmp/benchmark/data/sp250k21y11/sp250k21y11.n3
RDF2RAPSQL, PID, 11089
RDF2PG, START, 2024-01-26 12:04:27.980035+00
RDF2PG, END, 2024-01-26 12:04:30.211013+00
RDF2PG, EXECTIME, d:h:m:s.ms | 0:0:0:2.230
EDGEPARTITIONING, START, 2024-01-26 12:04:30.362484+00
EDGEPARTITIONING, END, 2024-01-26 12:04:30.551383+00
EDGEPARTITIONING, EXECTIME, d:h:m:s.ms | 0:0:0:0.188
DBIMPORT-NODES, START, 2024-01-26 12:04:30.556531+00
DBIMPORT-NODES, END, 2024-01-26 12:04:31.618423+00
DBIMPORT-NODES, EXECTIME, d:h:m:s.ms | 0:0:0:1.61
DBIMPORT-EDGES, START, 2024-01-26 12:04:31.623814+00
DBIMPORT-EDGES, END, 2024-01-26 12:04:33.240732+00
DBIMPORT-EDGES, EXECTIME, d:h:m:s.ms | 0:0:0:1.616
RDF2RAPSQL, END, 2024-01-26 12:04:33.246483+00
RDF2RAPSQL, EXECTIME, d:h:m:s.ms | 0:0:0:5.271
WRITECYPHER, RAPSQLTRANSPILER, cpo1
WRITECYPHER, START, 2024-01-26 12:04:33.255255+00
WRITECYPHER, END, 2024-01-26 12:04:34.132700+00
WRITECYPHER, EXECTIME, d:h:m:s.ms | 0:0:0:0.877
RAPSQLTRIPLES-CNT, START, 2024-01-26 12:04:39.141990+00
RAPSQLTRIPLES-CNT, END, 2024-01-26 12:04:39.696313+00
RAPSQLTRIPLES-CNT, EXECTIME, d:h:m:s.ms | 0:0:0:0.554
RUNQUERIES, START, 2024-01-26 12:04:44.705566+00
QUERY-EXEC | loop-1 | a1-q1, START, 2024-01-26 12:04:47.715945+00
QUERY-EXEC | loop-1 | a1-q1, END, 2024-01-26 12:04:48.735468+00
QUERY-EXEC | loop-1 | a1-q1, EXECTIME, d:h:m:s.ms | 0:0:0:1.19
QUERY-EXEC | loop-1 | b2-q2, START, 2024-01-26 12:04:51.743035+00
QUERY-EXEC | loop-1 | b2-q2, END, 2024-01-26 12:10:09.995542+00
QUERY-EXEC | loop-1 | b2-q2, EXECTIME, d:h:m:s.ms | 0:0:5:18.252
QUERY-EXEC | loop-1 | c3-q3a, START, 2024-01-26 12:10:13.003332+00
QUERY-EXEC | loop-1 | c3-q3a, END, 2024-01-26 12:10:15.913195+00
QUERY-EXEC | loop-1 | c3-q3a, EXECTIME, d:h:m:s.ms | 0:0:0:2.909
QUERY-EXEC | loop-1 | d4-q3b, START, 2024-01-26 12:10:18.920921+00
QUERY-EXEC | loop-1 | d4-q3b, END, 2024-01-26 12:10:21.705293+00
QUERY-EXEC | loop-1 | d4-q3b, EXECTIME, d:h:m:s.ms | 0:0:0:2.784
QUERY-EXEC | loop-1 | e5-q3c, START, 2024-01-26 12:10:24.712940+00
QUERY-EXEC | loop-1 | e5-q3c, END, 2024-01-26 12:10:27.499347+00
QUERY-EXEC | loop-1 | e5-q3c, EXECTIME, d:h:m:s.ms | 0:0:0:2.786
QUERY-EXEC | loop-1 | f6-q4, START, 2024-01-26 12:10:30.507039+00
QUERY-EXEC | loop-1 | f6-q4, END, 2024-01-26 12:40:30.562151+00
QUERY-EXEC | loop-1 | f6-q4, EXECTIME, d:h:m:s.ms | 0:0:30:0.55
QUERY-EXEC | loop-1 | g7-q5a, START, 2024-01-26 12:40:33.569860+00
QUERY-EXEC | loop-1 | g7-q5a, END, 2024-01-26 13:10:33.632881+00
QUERY-EXEC | loop-1 | g7-q5a, EXECTIME, d:h:m:s.ms | 0:0:30:0.63
QUERY-EXEC | loop-1 | h8-q5b, START, 2024-01-26 13:10:36.640544+00
QUERY-EXEC | loop-1 | h8-q5b, END, 2024-01-26 13:14:59.504935+00
QUERY-EXEC | loop-1 | h8-q5b, EXECTIME, d:h:m:s.ms | 0:0:4:22.864
QUERY-EXEC | loop-1 | i9-q6, START, 2024-01-26 13:15:02.512673+00
QUERY-EXEC | loop-1 | i9-q6, END, 2024-01-26 13:15:18.576946+00
QUERY-EXEC | loop-1 | i9-q6, EXECTIME, d:h:m:s.ms | 0:0:0:16.64
QUERY-EXEC | loop-1 | j10-q7, START, 2024-01-26 13:15:21.584575+00
QUERY-EXEC | loop-1 | j10-q7, END, 2024-01-26 13:16:31.644701+00
QUERY-EXEC | loop-1 | j10-q7, EXECTIME, d:h:m:s.ms | 0:0:1:10.60
QUERY-EXEC | loop-1 | k11-q8, START, 2024-01-26 13:16:34.652340+00
QUERY-EXEC | loop-1 | k11-q8, END, 2024-01-26 13:16:35.104755+00
