Process, Parameter, Value
MEASUREMENT, START, 2024-01-24 13:07:31.142595+00
MEASUREMENT, SCRIPT, /tmp/benchmark/main.sh
MEASUREMENT, BASEDIR, /tmp/benchmark
MEASUREMENT, CWD, /tmp/benchmark
MEASUREMENT, INPUT, 50000
MEASUREMENT, PID, 10955
SP2B, START, 2024-01-24 13:07:31.152171+00
SP2B, DIR, /tmp/benchmark/sp2b/bin
SP2B, TRIPLES, 50168
SP2B, FILESIZE, 5225KB
SP2B, END, 2024-01-24 13:07:31.294815+00
RDF2RAPSQL, RAPSQLMODEL, rdfid
RDF2RAPSQL, START, 2024-01-24 13:07:31.304432+00
RDF2RAPSQL, INSTANCE, /tmp/benchmark/data/sp50k8r3/sp50k8r3.n3
RDF2RAPSQL, PID, 11011
RDF2PG, START, 2024-01-24 13:07:31.309855+00
RDF2PG, END, 2024-01-24 13:07:32.342042+00
RDF2PG, EXECTIME, d:h:m:s.ms | 0:0:0:1.32
EDGEPARTITIONING, START, 2024-01-24 13:07:32.490515+00
EDGEPARTITIONING, END, 2024-01-24 13:07:32.631562+00
EDGEPARTITIONING, EXECTIME, d:h:m:s.ms | 0:0:0:0.141
DBIMPORT-NODES, START, 2024-01-24 13:07:32.636672+00
DBIMPORT-NODES, END, 2024-01-24 13:07:32.812084+00
DBIMPORT-NODES, EXECTIME, d:h:m:s.ms | 0:0:0:0.175
DBIMPORT-EDGES, START, 2024-01-24 13:07:32.817351+00
DBIMPORT-EDGES, END, 2024-01-24 13:07:33.546143+00
DBIMPORT-EDGES, EXECTIME, d:h:m:s.ms | 0:0:0:0.728
RDF2RAPSQL, END, 2024-01-24 13:07:33.551766+00
RDF2RAPSQL, EXECTIME, d:h:m:s.ms | 0:0:0:2.247
WRITECYPHER, START, 2024-01-24 13:07:33.559364+00
WRITECYPHER, END, 2024-01-24 13:07:34.420405+00
WRITECYPHER, EXECTIME, d:h:m:s.ms | 0:0:0:0.861
RAPSQLTRIPLES-CNT, START, 2024-01-24 13:07:39.429629+00
RAPSQLTRIPLES-CNT, END, 2024-01-24 13:07:39.882924+00
RAPSQLTRIPLES-CNT, EXECTIME, d:h:m:s.ms | 0:0:0:0.453
RUNQUERIES, START, 2024-01-24 13:07:44.892040+00
QUERY-EXEC | loop-1 | a1-q1, START, 2024-01-24 13:07:47.902159+00
QUERY-EXEC | loop-1 | a1-q1, END, 2024-01-24 13:07:47.972865+00
QUERY-EXEC | loop-1 | a1-q1, EXECTIME, d:h:m:s.ms | 0:0:0:0.70
QUERY-EXEC | loop-1 | b2-q2, START, 2024-01-24 13:07:50.980283+00
QUERY-EXEC | loop-1 | b2-q2, END, 2024-01-24 13:07:52.296989+00
QUERY-EXEC | loop-1 | b2-q2, EXECTIME, d:h:m:s.ms | 0:0:0:1.316
QUERY-EXEC | loop-1 | c3-q3a, START, 2024-01-24 13:07:55.304347+00
QUERY-EXEC | loop-1 | c3-q3a, END, 2024-01-24 13:07:56.495179+00
QUERY-EXEC | loop-1 | c3-q3a, EXECTIME, d:h:m:s.ms | 0:0:0:1.190
QUERY-EXEC | loop-1 | d4-q3b, START, 2024-01-24 13:07:59.502520+00
QUERY-EXEC | loop-1 | d4-q3b, END, 2024-01-24 13:08:00.673397+00
QUERY-EXEC | loop-1 | d4-q3b, EXECTIME, d:h:m:s.ms | 0:0:0:1.170
QUERY-EXEC | loop-1 | e5-q3c, START, 2024-01-24 13:08:03.680780+00
QUERY-EXEC | loop-1 | e5-q3c, END, 2024-01-24 13:08:04.854849+00
