q1,q2,q3a,q3b,q3c,q4,q5a,q5b,q6,q7,q8,q9,q10,q11,q12a,q12b,q12c
69.481,3600,248.793,228.728,228.751,3600,3600,413.274,3600,3600,769.43,867.176,162.879,36.574,190.412,3600,16.064
74.874,3600,241,223.372,224.197,3600,3600,429.227,3600,3600,748.205,866.527,159.478,35.159,182.836,3600,16.06
73.218,3600,246.412,229.599,229.679,3600,3600,427.88,3600,3600,711.563,879.459,160.377,34.83,1014.56,3600,16.071
75.906,3600,247.446,229.692,229.133,3600,3600,410.029,3600,3600,782.939,735.722,162.456,35.101,183.731,3600,16.014
72.468,3600,247.815,229.893,230.225,3600,3600,428.004,3600,3600,764.785,820.682,163.043,35.163,1025.89,3600,16.053
75.64,3600,247.437,229.117,228.974,3600,3600,428.849,3600,3600,799.23,851.024,161.788,34.968,1705.51,3600,16.076
78.557,3600,247.435,230.638,229.725,3600,3600,414.74,3600,3600,740.688,872.367,159.738,34.691,1136.6,3600,16.027
74.513,3600,247.394,229.991,230.441,3600,3600,428.241,3600,3600,740.48,831.237,158.39,33.777,3600,3600,16.068
76.468,3600,247.25,229.686,229.796,3600,3600,425.366,3600,3600,735.376,843.901,154.752,33.821,3600,3600,15.628
72.648,3600,240.396,223.708,223.355,3600,3600,409.899,3600,3600,705.889,861.471,160.448,37.36,3600,3600,16.083
