Process, Parameter, Value
MEASUREMENT, START, 2024-01-27 13:24:13.958452+00
MEASUREMENT, SCRIPT, /tmp/benchmark/main.sh
MEASUREMENT, BASEDIR, /tmp/benchmark
MEASUREMENT, CWD, /tmp/benchmark
MEASUREMENT, INPUT, 125000000
MEASUREMENT, PID, 11005
SP2B, START, 2024-01-27 13:24:13.968232+00
SP2B, DIR, /tmp/benchmark/sp2b/bin
SP2B, TRIPLES, 125000176
SP2B, FILESIZE, 13658339KB
SP2B, END, 2024-01-27 13:33:29.472537+00
SP2B, EXECTIME, d:h:m:s.ms | 0:0:9:15.504
RDF2RAPSQL, RAPSQLMODEL, yars
RDF2RAPSQL, START, 2024-01-27 13:33:29.483628+00
RDF2RAPSQL, INSTANCE, /tmp/benchmark/data/sp125my2/sp125my2.n3
RDF2RAPSQL, PID, 11106
RDF2PG, START, 2024-01-27 13:33:29.489219+00
RDF2PG, END, 2024-01-27 13:45:07.274874+00
RDF2PG, EXECTIME, d:h:m:s.ms | 0:0:11:37.785
EDGEPARTITIONING, START, 2024-01-27 13:45:07.475131+00
EDGEPARTITIONING, END, 2024-01-27 13:45:28.929926+00
EDGEPARTITIONING, EXECTIME, d:h:m:s.ms | 0:0:0:21.454
DBIMPORT-NODES, START, 2024-01-27 13:45:28.935123+00
DBIMPORT-NODES, END, 2024-01-27 13:54:04.874932+00
DBIMPORT-NODES, EXECTIME, d:h:m:s.ms | 0:0:8:35.939
DBIMPORT-EDGES, START, 2024-01-27 13:54:04.880362+00
DBIMPORT-EDGES, END, 2024-01-27 14:02:56.278453+00
DBIMPORT-EDGES, EXECTIME, d:h:m:s.ms | 0:0:8:51.398
RDF2RAPSQL, END, 2024-01-27 14:02:56.284285+00
RDF2RAPSQL, EXECTIME, d:h:m:s.ms | 0:0:29:26.800
WRITECYPHER, RAPSQLTRANSPILER, cpo2
WRITECYPHER, START, 2024-01-27 14:02:56.293094+00
WRITECYPHER, END, 2024-01-27 14:02:57.195016+00
WRITECYPHER, EXECTIME, d:h:m:s.ms | 0:0:0:0.901
RAPSQLTRIPLES-CNT, START, 2024-01-27 14:03:02.204334+00
RAPSQLTRIPLES-CNT, END, 2024-01-27 14:04:03.459713+00
RAPSQLTRIPLES-CNT, EXECTIME, d:h:m:s.ms | 0:0:1:1.255
RUNQUERIES, START, 2024-01-27 14:04:08.469158+00
QUERY-EXEC | loop-1 | a1-q1, START, 2024-01-27 14:04:11.479538+00
QUERY-EXEC | loop-1 | a1-q1, END, 2024-01-27 14:05:21.010753+00
QUERY-EXEC | loop-1 | a1-q1, EXECTIME, d:h:m:s.ms | 0:0:1:9.531
QUERY-EXEC | loop-1 | b2-q2, START, 2024-01-27 14:05:24.018562+00
QUERY-EXEC | loop-1 | b2-q2, END, 2024-01-27 14:35:52.145964+00
QUERY-EXEC | loop-1 | b2-q2, EXECTIME, d:h:m:s.ms | 0:0:30:28.127
QUERY-EXEC | loop-1 | c3-q3a, START, 2024-01-27 14:35:55.161092+00
QUERY-EXEC | loop-1 | c3-q3a, END, 2024-01-27 14:40:09.385854+00
QUERY-EXEC | loop-1 | c3-q3a, EXECTIME, d:h:m:s.ms | 0:0:4:14.224
QUERY-EXEC | loop-1 | d4-q3b, START, 2024-01-27 14:40:12.393659+00
QUERY-EXEC | loop-1 | d4-q3b, END, 2024-01-27 14:44:01.205710+00
QUERY-EXEC | loop-1 | d4-q3b, EXECTIME, d:h:m:s.ms | 0:0:3:48.812
QUERY-EXEC | loop-1 | e5-q3c, START, 2024-01-27 14:44:04.213478+00
QUERY-EXEC | loop-1 | e5-q3c, END, 2024-01-27 14:47:53.011018+00
QUERY-EXEC | loop-1 | e5-q3c, EXECTIME, d:h:m:s.ms | 0:0:3:48.797
QUERY-EXEC | loop-1 | f6-q4, START, 2024-01-27 14:47:56.018851+00
QUERY-EXEC | loop-1 | f6-q4, END, 2024-01-27 15:18:30.474867+00
QUERY-EXEC | loop-1 | f6-q4, EXECTIME, d:h:m:s.ms | 0:0:30:34.456
QUERY-EXEC | loop-1 | g7-q5a, START, 2024-01-27 15:18:33.482856+00
QUERY-EXEC | loop-1 | g7-q5a, END, 2024-01-27 15:48:51.945645+00
QUERY-EXEC | loop-1 | g7-q5a, EXECTIME, d:h:m:s.ms | 0:0:30:18.462
QUERY-EXEC | loop-1 | h8-q5b, START, 2024-01-27 15:48:54.953648+00
QUERY-EXEC | loop-1 | h8-q5b, END, 2024-01-27 15:55:55.333006+00
QUERY-EXEC | loop-1 | h8-q5b, EXECTIME, d:h:m:s.ms | 0:0:7:0.379
QUERY-EXEC | loop-1 | i9-q6, START, 2024-01-27 15:55:58.340975+00
QUERY-EXEC | loop-1 | i9-q6, END, 2024-01-27 16:01:44.472876+00
QUERY-EXEC | loop-1 | i9-q6, EXECTIME, d:h:m:s.ms | 0:0:5:46.131
QUERY-EXEC | loop-1 | j10-q7, START, 2024-01-27 16:01:47.480674+00
QUERY-EXEC | loop-1 | j10-q7, END, 2024-01-27 16:03:26.164989+00
QUERY-EXEC | loop-1 | j10-q7, EXECTIME, d:h:m:s.ms | 0:0:1:38.684
QUERY-EXEC | loop-1 | k11-q8, START, 2024-01-27 16:03:29.172773+00
QUERY-EXEC | loop-1 | k11-q8, END, 2024-01-27 16:16:18.649047+00
QUERY-EXEC | loop-1 | k11-q8, EXECTIME, d:h:m:s.ms | 0:0:12:49.476
QUERY-EXEC | loop-1 | l12-q9, START, 2024-01-27 16:16:21.656931+00
QUERY-EXEC | loop-1 | l12-q9, END, 2024-01-27 16:30:48.909298+00
QUERY-EXEC | loop-1 | l12-q9, EXECTIME, d:h:m:s.ms | 0:0:14:27.252
QUERY-EXEC | loop-1 | m13-q10, START, 2024-01-27 16:30:51.917002+00
QUERY-EXEC | loop-1 | m13-q10, END, 2024-01-27 16:33:34.844054+00
QUERY-EXEC | loop-1 | m13-q10, EXECTIME, d:h:m:s.ms | 0:0:2:42.927
QUERY-EXEC | loop-1 | n14-q11, START, 2024-01-27 16:33:37.851727+00
QUERY-EXEC | loop-1 | n14-q11, END, 2024-01-27 16:34:14.473850+00
QUERY-EXEC | loop-1 | n14-q11, EXECTIME, d:h:m:s.ms | 0:0:0:36.622
QUERY-EXEC | loop-1 | o15-q12a, START, 2024-01-27 16:34:17.481491+00
QUERY-EXEC | loop-1 | o15-q12a, END, 2024-01-27 16:37:27.937245+00
QUERY-EXEC | loop-1 | o15-q12a, EXECTIME, d:h:m:s.ms | 0:0:3:10.455
QUERY-EXEC | loop-1 | p16-q12b, START, 2024-01-27 16:37:30.944870+00
QUERY-EXEC | loop-1 | p16-q12b, END, 2024-01-27 17:07:43.222755+00
QUERY-EXEC | loop-1 | p16-q12b, EXECTIME, d:h:m:s.ms | 0:0:30:12.277
QUERY-EXEC | loop-1 | q17-q12c, START, 2024-01-27 17:07:46.230580+00
QUERY-EXEC | loop-1 | q17-q12c, END, 2024-01-27 17:08:02.340537+00
QUERY-EXEC | loop-1 | q17-q12c, EXECTIME, d:h:m:s.ms | 0:0:0:16.109
QUERY-PENALTY | loop-1 | p16-q12b.sql, PENALTY-TIME, 3600000.000 ms
QUERY-PENALTY | loop-1 | b2-q2.sql, PENALTY-TIME, 3600000.000 ms
QUERY-PENALTY | loop-1 | i9-q6.sql, PENALTY-TIME, 3600000.000 ms
QUERY-PENALTY | loop-1 | g7-q5a.sql, PENALTY-TIME, 3600000.000 ms
QUERY-PENALTY | loop-1 | f6-q4.sql, PENALTY-TIME, 3600000.000 ms
QUERY-PENALTY | loop-1 | j10-q7.sql, PENALTY-TIME, 3600000.000 ms
QUERY-EXEC | loop-2 | a1-q1, START, 2024-01-27 17:08:05.683680+00
QUERY-EXEC | loop-2 | a1-q1, END, 2024-01-27 17:09:20.601937+00
QUERY-EXEC | loop-2 | a1-q1, EXECTIME, d:h:m:s.ms | 0:0:1:14.918
QUERY-EXEC | loop-2 | c3-q3a, START, 2024-01-27 17:09:23.610072+00
QUERY-EXEC | loop-2 | c3-q3a, END, 2024-01-27 17:13:29.815252+00
QUERY-EXEC | loop-2 | c3-q3a, EXECTIME, d:h:m:s.ms | 0:0:4:6.205
QUERY-EXEC | loop-2 | d4-q3b, START, 2024-01-27 17:13:32.822942+00
QUERY-EXEC | loop-2 | d4-q3b, END, 2024-01-27 17:17:16.275269+00
