Process, Parameter, Value
MEASUREMENT, START, 2024-01-26 01:10:47.417667+00
MEASUREMENT, SCRIPT, /tmp/benchmark/main.sh
MEASUREMENT, BASEDIR, /tmp/benchmark
MEASUREMENT, CWD, /tmp/benchmark
MEASUREMENT, INPUT, 250000
MEASUREMENT, PID, 10957
SP2B, START, 2024-01-26 01:10:47.427362+00
SP2B, DIR, /tmp/benchmark/sp2b/bin
SP2B, TRIPLES, 250128
SP2B, FILESIZE, 26673KB
SP2B, END, 2024-01-26 01:10:47.950242+00
SP2B, EXECTIME, d:h:m:s.ms | 0:0:0:0.522
RDF2RAPSQL, RAPSQLMODEL, yars
RDF2RAPSQL, START, 2024-01-26 01:10:47.961170+00
RDF2RAPSQL, INSTANCE, /tmp/benchmark/data/sp250k31y2/sp250k31y2.n3
RDF2RAPSQL, PID, 11015
RDF2PG, START, 2024-01-26 01:10:47.966644+00
RDF2PG, END, 2024-01-26 01:10:50.207799+00
RDF2PG, EXECTIME, d:h:m:s.ms | 0:0:0:2.241
EDGEPARTITIONING, START, 2024-01-26 01:10:50.409142+00
EDGEPARTITIONING, END, 2024-01-26 01:10:50.597515+00
EDGEPARTITIONING, EXECTIME, d:h:m:s.ms | 0:0:0:0.188
DBIMPORT-NODES, START, 2024-01-26 01:10:50.602657+00
DBIMPORT-NODES, END, 2024-01-26 01:10:51.667903+00
DBIMPORT-NODES, EXECTIME, d:h:m:s.ms | 0:0:0:1.65
DBIMPORT-EDGES, START, 2024-01-26 01:10:51.673254+00
DBIMPORT-EDGES, END, 2024-01-26 01:10:53.137159+00
DBIMPORT-EDGES, EXECTIME, d:h:m:s.ms | 0:0:0:1.463
RDF2RAPSQL, END, 2024-01-26 01:10:53.142799+00
RDF2RAPSQL, EXECTIME, d:h:m:s.ms | 0:0:0:5.181
WRITECYPHER, RAPSQLTRANSPILER, cpo2
WRITECYPHER, START, 2024-01-26 01:10:53.151542+00
WRITECYPHER, END, 2024-01-26 01:10:54.029065+00
WRITECYPHER, EXECTIME, d:h:m:s.ms | 0:0:0:0.877
RAPSQLTRIPLES-CNT, START, 2024-01-26 01:10:59.038214+00
RAPSQLTRIPLES-CNT, END, 2024-01-26 01:10:59.584126+00
RAPSQLTRIPLES-CNT, EXECTIME, d:h:m:s.ms | 0:0:0:0.545
RUNQUERIES, START, 2024-01-26 01:11:04.593218+00
QUERY-EXEC | loop-1 | a1-q1, START, 2024-01-26 01:11:07.603417+00
QUERY-EXEC | loop-1 | a1-q1, END, 2024-01-26 01:11:08.621280+00
QUERY-EXEC | loop-1 | a1-q1, EXECTIME, d:h:m:s.ms | 0:0:0:1.17
QUERY-EXEC | loop-1 | b2-q2, START, 2024-01-26 01:11:11.628989+00
QUERY-EXEC | loop-1 | b2-q2, END, 2024-01-26 01:16:23.645162+00
QUERY-EXEC | loop-1 | b2-q2, EXECTIME, d:h:m:s.ms | 0:0:5:12.16
QUERY-EXEC | loop-1 | c3-q3a, START, 2024-01-26 01:16:26.652743+00
QUERY-EXEC | loop-1 | c3-q3a, END, 2024-01-26 01:16:30.772003+00
QUERY-EXEC | loop-1 | c3-q3a, EXECTIME, d:h:m:s.ms | 0:0:0:4.119
QUERY-EXEC | loop-1 | d4-q3b, START, 2024-01-26 01:16:33.779494+00
QUERY-EXEC | loop-1 | d4-q3b, END, 2024-01-26 01:16:37.803276+00
QUERY-EXEC | loop-1 | d4-q3b, EXECTIME, d:h:m:s.ms | 0:0:0:4.23
QUERY-EXEC | loop-1 | e5-q3c, START, 2024-01-26 01:16:40.810590+00
QUERY-EXEC | loop-1 | e5-q3c, END, 2024-01-26 01:16:44.829078+00
QUERY-EXEC | loop-1 | e5-q3c, EXECTIME, d:h:m:s.ms | 0:0:0:4.18
QUERY-EXEC | loop-1 | f6-q4, START, 2024-01-26 01:16:47.836576+00
QUERY-EXEC | loop-1 | f6-q4, END, 2024-01-26 01:46:47.895686+00
QUERY-EXEC | loop-1 | f6-q4, EXECTIME, d:h:m:s.ms | 0:0:30:0.59
QUERY-EXEC | loop-1 | g7-q5a, START, 2024-01-26 01:46:50.903130+00
QUERY-EXEC | loop-1 | g7-q5a, END, 2024-01-26 02:10:16.587167+00
QUERY-EXEC | loop-1 | g7-q5a, EXECTIME, d:h:m:s.ms | 0:0:23:25.684
QUERY-EXEC | loop-1 | h8-q5b, START, 2024-01-26 02:10:19.594887+00
QUERY-EXEC | loop-1 | h8-q5b, END, 2024-01-26 02:10:20.495568+00
QUERY-EXEC | loop-1 | h8-q5b, EXECTIME, d:h:m:s.ms | 0:0:0:0.900
