Process, Parameter, Value
MEASUREMENT, START, 2024-01-26 18:25:22.522458+00
MEASUREMENT, SCRIPT, /tmp/benchmark/main.sh
MEASUREMENT, BASEDIR, /tmp/benchmark
MEASUREMENT, CWD, /tmp/benchmark
MEASUREMENT, INPUT, 125000000
MEASUREMENT, PID, 11051
SP2B, START, 2024-01-26 18:25:22.532213+00
SP2B, DIR, /tmp/benchmark/sp2b/bin
SP2B, TRIPLES, 125000176
SP2B, FILESIZE, 13658339KB
SP2B, END, 2024-01-26 18:34:41.152592+00
SP2B, EXECTIME, d:h:m:s.ms | 0:0:9:18.620
RDF2RAPSQL, RAPSQLMODEL, rdfid
RDF2RAPSQL, START, 2024-01-26 18:34:41.163796+00
RDF2RAPSQL, INSTANCE, /tmp/benchmark/data/sp125mr2/sp125mr2.n3
RDF2RAPSQL, PID, 11141
RDF2PG, START, 2024-01-26 18:34:41.169359+00
RDF2PG, END, 2024-01-26 18:46:40.337810+00
RDF2PG, EXECTIME, d:h:m:s.ms | 0:0:11:59.168
EDGEPARTITIONING, START, 2024-01-26 18:46:40.483155+00
EDGEPARTITIONING, END, 2024-01-26 18:47:02.125042+00
EDGEPARTITIONING, EXECTIME, d:h:m:s.ms | 0:0:0:21.641
DBIMPORT-NODES, START, 2024-01-26 18:47:02.130271+00
DBIMPORT-NODES, END, 2024-01-26 18:55:54.954124+00
DBIMPORT-NODES, EXECTIME, d:h:m:s.ms | 0:0:8:52.823
DBIMPORT-EDGES, START, 2024-01-26 18:55:54.959434+00
DBIMPORT-EDGES, END, 2024-01-26 19:05:11.649909+00
DBIMPORT-EDGES, EXECTIME, d:h:m:s.ms | 0:0:9:16.690
RDF2RAPSQL, END, 2024-01-26 19:05:11.655633+00
RDF2RAPSQL, EXECTIME, d:h:m:s.ms | 0:0:30:30.491
WRITECYPHER, RAPSQLTRANSPILER, cpo2
WRITECYPHER, START, 2024-01-26 19:05:11.664638+00
WRITECYPHER, END, 2024-01-26 19:05:12.551089+00
WRITECYPHER, EXECTIME, d:h:m:s.ms | 0:0:0:0.886
RAPSQLTRIPLES-CNT, START, 2024-01-26 19:05:17.560252+00
RAPSQLTRIPLES-CNT, END, 2024-01-26 19:06:18.914480+00
RAPSQLTRIPLES-CNT, EXECTIME, d:h:m:s.ms | 0:0:1:1.354
RUNQUERIES, START, 2024-01-26 19:06:23.923659+00
QUERY-EXEC | loop-1 | a1-q1, START, 2024-01-26 19:06:26.933901+00
QUERY-EXEC | loop-1 | a1-q1, END, 2024-01-26 19:07:30.192355+00
QUERY-EXEC | loop-1 | a1-q1, EXECTIME, d:h:m:s.ms | 0:0:1:3.258
QUERY-EXEC | loop-1 | b2-q2, START, 2024-01-26 19:07:33.200274+00
QUERY-EXEC | loop-1 | b2-q2, END, 2024-01-26 19:38:08.892779+00
QUERY-EXEC | loop-1 | b2-q2, EXECTIME, d:h:m:s.ms | 0:0:30:35.692
QUERY-EXEC | loop-1 | c3-q3a, START, 2024-01-26 19:38:11.906319+00
QUERY-EXEC | loop-1 | c3-q3a, END, 2024-01-26 19:42:25.702865+00
QUERY-EXEC | loop-1 | c3-q3a, EXECTIME, d:h:m:s.ms | 0:0:4:13.796
QUERY-EXEC | loop-1 | d4-q3b, START, 2024-01-26 19:42:28.710606+00
QUERY-EXEC | loop-1 | d4-q3b, END, 2024-01-26 19:46:18.191150+00
QUERY-EXEC | loop-1 | d4-q3b, EXECTIME, d:h:m:s.ms | 0:0:3:49.480
QUERY-EXEC | loop-1 | e5-q3c, START, 2024-01-26 19:46:21.198813+00
QUERY-EXEC | loop-1 | e5-q3c, END, 2024-01-26 19:50:11.829120+00
QUERY-EXEC | loop-1 | e5-q3c, EXECTIME, d:h:m:s.ms | 0:0:3:50.630
QUERY-EXEC | loop-1 | f6-q4, START, 2024-01-26 19:50:14.836901+00
QUERY-EXEC | loop-1 | f6-q4, END, 2024-01-26 20:20:47.834575+00
QUERY-EXEC | loop-1 | f6-q4, EXECTIME, d:h:m:s.ms | 0:0:30:32.997
QUERY-EXEC | loop-1 | g7-q5a, START, 2024-01-26 20:20:50.842355+00
QUERY-EXEC | loop-1 | g7-q5a, END, 2024-01-26 20:51:08.890786+00
QUERY-EXEC | loop-1 | g7-q5a, EXECTIME, d:h:m:s.ms | 0:0:30:18.48
QUERY-EXEC | loop-1 | h8-q5b, START, 2024-01-26 20:51:11.898512+00
QUERY-EXEC | loop-1 | h8-q5b, END, 2024-01-26 20:58:09.498977+00
QUERY-EXEC | loop-1 | h8-q5b, EXECTIME, d:h:m:s.ms | 0:0:6:57.600
QUERY-EXEC | loop-1 | i9-q6, START, 2024-01-26 20:58:12.506674+00
QUERY-EXEC | loop-1 | i9-q6, END, 2024-01-26 21:28:51.909142+00
QUERY-EXEC | loop-1 | i9-q6, EXECTIME, d:h:m:s.ms | 0:0:30:39.402
QUERY-EXEC | loop-1 | j10-q7, START, 2024-01-26 21:28:54.916846+00
QUERY-EXEC | loop-1 | j10-q7, END, 2024-01-26 21:30:33.265999+00
QUERY-EXEC | loop-1 | j10-q7, EXECTIME, d:h:m:s.ms | 0:0:1:38.349
QUERY-EXEC | loop-1 | k11-q8, START, 2024-01-26 21:30:36.273623+00
QUERY-EXEC | loop-1 | k11-q8, END, 2024-01-26 21:43:44.671069+00
QUERY-EXEC | loop-1 | k11-q8, EXECTIME, d:h:m:s.ms | 0:0:13:8.397
QUERY-EXEC | loop-1 | l12-q9, START, 2024-01-26 21:43:47.678824+00
QUERY-EXEC | loop-1 | l12-q9, END, 2024-01-26 21:58:28.326512+00
QUERY-EXEC | loop-1 | l12-q9, EXECTIME, d:h:m:s.ms | 0:0:14:40.647
QUERY-EXEC | loop-1 | m13-q10, START, 2024-01-26 21:58:31.334292+00
QUERY-EXEC | loop-1 | m13-q10, END, 2024-01-26 22:01:09.163965+00
QUERY-EXEC | loop-1 | m13-q10, EXECTIME, d:h:m:s.ms | 0:0:2:37.829
QUERY-EXEC | loop-1 | n14-q11, START, 2024-01-26 22:01:12.171774+00
QUERY-EXEC | loop-1 | n14-q11, END, 2024-01-26 22:01:42.309841+00
QUERY-EXEC | loop-1 | n14-q11, EXECTIME, d:h:m:s.ms | 0:0:0:30.138
QUERY-EXEC | loop-1 | o15-q12a, START, 2024-01-26 22:01:45.317544+00
QUERY-EXEC | loop-1 | o15-q12a, END, 2024-01-26 22:31:51.166292+00
QUERY-EXEC | loop-1 | o15-q12a, EXECTIME, d:h:m:s.ms | 0:0:30:5.848
QUERY-EXEC | loop-1 | p16-q12b, START, 2024-01-26 22:31:54.174076+00
QUERY-EXEC | loop-1 | p16-q12b, END, 2024-01-26 23:02:07.119075+00
QUERY-EXEC | loop-1 | p16-q12b, EXECTIME, d:h:m:s.ms | 0:0:30:12.944
QUERY-EXEC | loop-1 | q17-q12c, START, 2024-01-26 23:02:10.126898+00
QUERY-EXEC | loop-1 | q17-q12c, END, 2024-01-26 23:02:27.615519+00
QUERY-EXEC | loop-1 | q17-q12c, EXECTIME, d:h:m:s.ms | 0:0:0:17.488
QUERY-PENALTY | loop-1 | p16-q12b.sql, PENALTY-TIME, 3600000.000 ms
QUERY-PENALTY | loop-1 | b2-q2.sql, PENALTY-TIME, 3600000.000 ms
