q1,q2,q3a,q3b,q3c,q4,q5a,q5b,q6,q7,q8,q9,q10,q11,q12a,q12b,q12c
134.898,3600,495.365,461.51,461.75,3600,3600,1241.07,3600,3600,3600,3600,306.71,63.353,3600,1088.31,52.82
248.081,3600,498.925,461.74,461.581,3600,3600,1223.65,3600,3600,3600,3600,318.651,63.897,3600,1079.62,52.753
257.983,3600,497.369,462.65,461.805,3600,3600,1222.43,3600,3600,3600,3600,313.381,62.994,3600,1075.48,52.882
256.586,3600,497.463,463.709,463.638,3600,3600,1220.42,3600,3600,3600,3600,309.105,63.424,3600,1110.65,52.781
255.496,3600,497.047,462.365,462.215,3600,3600,1215.3,3600,3600,3600,3600,309.994,62.571,3600,1100.69,52.856
253.382,3600,498.531,464.276,462.366,3600,3600,1243.33,3600,3600,3600,3600,439.821,64.128,3600,1108.09,52.885
254.879,3600,498.025,463.954,462.498,3600,3600,1213.93,3600,3600,3600,3600,314.711,62.873,3600,1151.57,52.811
251.289,3600,496.987,462.299,462.27,3600,3600,1212.22,3600,3600,3600,3600,309.376,62.013,3600,1150.82,52.755
254.648,3600,496.629,462.228,462.929,3600,3600,1212,3600,3600,3600,3600,320.983,62.49,3600,1128.28,52.742
245.645,3600,499.744,461.996,461.886,3600,3600,1211.66,3600,3600,3600,3600,308.16,62.844,3600,1095.03,52.904
