Process, Parameter, Value
MEASUREMENT, START, 2024-01-27 11:13:13.279022+00
MEASUREMENT, SCRIPT, /tmp/benchmark/main.sh
MEASUREMENT, BASEDIR, /tmp/benchmark
MEASUREMENT, CWD, /tmp/benchmark
MEASUREMENT, INPUT, 250000000
MEASUREMENT, PID, 10993
SP2B, START, 2024-01-27 11:13:13.288622+00
SP2B, DIR, /tmp/benchmark/sp2b/bin
SP2B, TRIPLES, 250000638
SP2B, FILESIZE, 27108719KB
SP2B, END, 2024-01-27 11:33:32.299260+00
SP2B, EXECTIME, d:h:m:s.ms | 0:0:20:19.10
RDF2RAPSQL, RAPSQLMODEL, yars
RDF2RAPSQL, START, 2024-01-27 11:33:32.310359+00
RDF2RAPSQL, INSTANCE, /tmp/benchmark/data/sp250my2/sp250my2.n3
RDF2RAPSQL, PID, 11122
RDF2PG, START, 2024-01-27 11:33:32.315766+00
RDF2PG, END, 2024-01-27 11:55:24.712194+00
RDF2PG, EXECTIME, d:h:m:s.ms | 0:0:21:52.396
EDGEPARTITIONING, START, 2024-01-27 11:55:24.839201+00
EDGEPARTITIONING, END, 2024-01-27 11:56:08.098188+00
EDGEPARTITIONING, EXECTIME, d:h:m:s.ms | 0:0:0:43.258
DBIMPORT-NODES, START, 2024-01-27 11:56:08.103373+00
DBIMPORT-NODES, END, 2024-01-27 12:11:30.578401+00
DBIMPORT-NODES, EXECTIME, d:h:m:s.ms | 0:0:15:22.475
DBIMPORT-EDGES, START, 2024-01-27 12:11:30.583924+00
DBIMPORT-EDGES, END, 2024-01-27 12:27:24.193862+00
DBIMPORT-EDGES, EXECTIME, d:h:m:s.ms | 0:0:15:53.609
RDF2RAPSQL, END, 2024-01-27 12:27:24.199586+00
RDF2RAPSQL, EXECTIME, d:h:m:s.ms | 0:0:53:51.889
WRITECYPHER, RAPSQLTRANSPILER, cpo2
WRITECYPHER, START, 2024-01-27 12:27:24.208444+00
WRITECYPHER, END, 2024-01-27 12:27:25.110854+00
WRITECYPHER, EXECTIME, d:h:m:s.ms | 0:0:0:0.902
RAPSQLTRIPLES-CNT, START, 2024-01-27 12:27:30.120008+00
RAPSQLTRIPLES-CNT, END, 2024-01-27 12:33:01.217935+00
RAPSQLTRIPLES-CNT, EXECTIME, d:h:m:s.ms | 0:0:5:31.97
RUNQUERIES, START, 2024-01-27 12:33:06.227125+00
QUERY-EXEC | loop-1 | a1-q1, START, 2024-01-27 12:33:09.237241+00
QUERY-EXEC | loop-1 | a1-q1, END, 2024-01-27 12:35:20.584555+00
QUERY-EXEC | loop-1 | a1-q1, EXECTIME, d:h:m:s.ms | 0:0:2:11.347
QUERY-EXEC | loop-1 | b2-q2, START, 2024-01-27 12:35:23.592214+00
QUERY-EXEC | loop-1 | b2-q2, END, 2024-01-27 13:05:40.647619+00
QUERY-EXEC | loop-1 | b2-q2, EXECTIME, d:h:m:s.ms | 0:0:30:17.55
QUERY-EXEC | loop-1 | c3-q3a, START, 2024-01-27 13:05:43.680182+00
QUERY-EXEC | loop-1 | c3-q3a, END, 2024-01-27 13:14:06.789124+00
QUERY-EXEC | loop-1 | c3-q3a, EXECTIME, d:h:m:s.ms | 0:0:8:23.108
QUERY-EXEC | loop-1 | d4-q3b, START, 2024-01-27 13:14:09.797185+00
QUERY-EXEC | loop-1 | d4-q3b, END, 2024-01-27 13:21:48.637876+00
QUERY-EXEC | loop-1 | d4-q3b, EXECTIME, d:h:m:s.ms | 0:0:7:38.840
QUERY-EXEC | loop-1 | e5-q3c, START, 2024-01-27 13:21:51.645573+00
QUERY-EXEC | loop-1 | e5-q3c, END, 2024-01-27 13:29:30.116425+00
QUERY-EXEC | loop-1 | e5-q3c, EXECTIME, d:h:m:s.ms | 0:0:7:38.470
QUERY-EXEC | loop-1 | f6-q4, START, 2024-01-27 13:29:33.124081+00
QUERY-EXEC | loop-1 | f6-q4, END, 2024-01-27 14:00:01.184073+00
QUERY-EXEC | loop-1 | f6-q4, EXECTIME, d:h:m:s.ms | 0:0:30:28.59
QUERY-EXEC | loop-1 | g7-q5a, START, 2024-01-27 14:00:04.192065+00
QUERY-EXEC | loop-1 | g7-q5a, END, 2024-01-27 14:30:27.123566+00
QUERY-EXEC | loop-1 | g7-q5a, EXECTIME, d:h:m:s.ms | 0:0:30:22.931
QUERY-EXEC | loop-1 | h8-q5b, START, 2024-01-27 14:30:30.131403+00
QUERY-EXEC | loop-1 | h8-q5b, END, 2024-01-27 14:51:31.707203+00
QUERY-EXEC | loop-1 | h8-q5b, EXECTIME, d:h:m:s.ms | 0:0:21:1.575
QUERY-EXEC | loop-1 | i9-q6, START, 2024-01-27 14:51:34.718563+00
QUERY-EXEC | loop-1 | i9-q6, END, 2024-01-27 15:08:25.328164+00
QUERY-EXEC | loop-1 | i9-q6, EXECTIME, d:h:m:s.ms | 0:0:16:50.609
QUERY-EXEC | loop-1 | j10-q7, START, 2024-01-27 15:08:28.335859+00
QUERY-EXEC | loop-1 | j10-q7, END, 2024-01-27 15:11:37.920622+00
QUERY-EXEC | loop-1 | j10-q7, EXECTIME, d:h:m:s.ms | 0:0:3:9.584
QUERY-EXEC | loop-1 | k11-q8, START, 2024-01-27 15:11:40.928418+00
QUERY-EXEC | loop-1 | k11-q8, END, 2024-01-27 15:42:13.310248+00
