Process, Parameter, Value
MEASUREMENT, START, 2024-01-26 15:12:59.457198+00
MEASUREMENT, SCRIPT, /tmp/benchmark/main.sh
MEASUREMENT, BASEDIR, /tmp/benchmark
MEASUREMENT, CWD, /tmp/benchmark
MEASUREMENT, INPUT, 250000
MEASUREMENT, PID, 10964
SP2B, START, 2024-01-26 15:12:59.466828+00
SP2B, DIR, /tmp/benchmark/sp2b/bin
SP2B, TRIPLES, 250128
SP2B, FILESIZE, 26673KB
SP2B, END, 2024-01-26 15:12:59.998207+00
SP2B, EXECTIME, d:h:m:s.ms | 0:0:0:0.531
RDF2RAPSQL, RAPSQLMODEL, rdfid
RDF2RAPSQL, START, 2024-01-26 15:13:00.009389+00
RDF2RAPSQL, INSTANCE, /tmp/benchmark/data/sp250k62r11/sp250k62r11.n3
RDF2RAPSQL, PID, 11022
RDF2PG, START, 2024-01-26 15:13:00.015031+00
RDF2PG, END, 2024-01-26 15:13:02.411461+00
RDF2PG, EXECTIME, d:h:m:s.ms | 0:0:0:2.396
EDGEPARTITIONING, START, 2024-01-26 15:13:02.554579+00
EDGEPARTITIONING, END, 2024-01-26 15:13:02.743405+00
EDGEPARTITIONING, EXECTIME, d:h:m:s.ms | 0:0:0:0.188
DBIMPORT-NODES, START, 2024-01-26 15:13:02.748582+00
DBIMPORT-NODES, END, 2024-01-26 15:13:03.679791+00
DBIMPORT-NODES, EXECTIME, d:h:m:s.ms | 0:0:0:0.931
DBIMPORT-EDGES, START, 2024-01-26 15:13:03.685328+00
DBIMPORT-EDGES, END, 2024-01-26 15:13:04.950136+00
DBIMPORT-EDGES, EXECTIME, d:h:m:s.ms | 0:0:0:1.264
RDF2RAPSQL, END, 2024-01-26 15:13:04.955647+00
RDF2RAPSQL, EXECTIME, d:h:m:s.ms | 0:0:0:4.946
WRITECYPHER, RAPSQLTRANSPILER, cpo1
WRITECYPHER, START, 2024-01-26 15:13:04.964450+00
WRITECYPHER, END, 2024-01-26 15:13:05.831796+00
WRITECYPHER, EXECTIME, d:h:m:s.ms | 0:0:0:0.867
RAPSQLTRIPLES-CNT, START, 2024-01-26 15:13:10.841043+00
RAPSQLTRIPLES-CNT, END, 2024-01-26 15:13:11.381961+00
RAPSQLTRIPLES-CNT, EXECTIME, d:h:m:s.ms | 0:0:0:0.540
RUNQUERIES, START, 2024-01-26 15:13:16.391210+00
