Process, Parameter, Value
MEASUREMENT, START, 2024-01-24 20:47:08.228629+00
MEASUREMENT, SCRIPT, /tmp/benchmark/main.sh
MEASUREMENT, BASEDIR, /tmp/benchmark
MEASUREMENT, CWD, /tmp/benchmark
MEASUREMENT, INPUT, 250000
MEASUREMENT, PID, 10961
SP2B, START, 2024-01-24 20:47:08.238273+00
SP2B, DIR, /tmp/benchmark/sp2b/bin
SP2B, TRIPLES, 250128
SP2B, FILESIZE, 26673KB
SP2B, END, 2024-01-24 20:47:08.762093+00
SP2B, EXECTIME, d:h:m:s.ms | 0:0:0:0.523
RDF2RAPSQL, RAPSQLMODEL, yars
RDF2RAPSQL, START, 2024-01-24 20:47:08.772863+00
RDF2RAPSQL, INSTANCE, /tmp/benchmark/data/sp250k2y1/sp250k2y1.n3
RDF2RAPSQL, PID, 11019
RDF2PG, START, 2024-01-24 20:47:08.778226+00
RDF2PG, END, 2024-01-24 20:47:11.149063+00
RDF2PG, EXECTIME, d:h:m:s.ms | 0:0:0:2.370
EDGEPARTITIONING, START, 2024-01-24 20:47:11.293922+00
EDGEPARTITIONING, END, 2024-01-24 20:47:11.479479+00
EDGEPARTITIONING, EXECTIME, d:h:m:s.ms | 0:0:0:0.185
DBIMPORT-NODES, START, 2024-01-24 20:47:11.484537+00
DBIMPORT-NODES, END, 2024-01-24 20:47:12.633051+00
DBIMPORT-NODES, EXECTIME, d:h:m:s.ms | 0:0:0:1.148
DBIMPORT-EDGES, START, 2024-01-24 20:47:12.638433+00
DBIMPORT-EDGES, END, 2024-01-24 20:47:14.292852+00
DBIMPORT-EDGES, EXECTIME, d:h:m:s.ms | 0:0:0:1.654
RDF2RAPSQL, END, 2024-01-24 20:47:14.298429+00
RDF2RAPSQL, EXECTIME, d:h:m:s.ms | 0:0:0:5.525
WRITECYPHER, START, 2024-01-24 20:47:14.305921+00
WRITECYPHER, END, 2024-01-24 20:47:15.209765+00
WRITECYPHER, EXECTIME, d:h:m:s.ms | 0:0:0:0.903
