Process, Parameter, Value
MEASUREMENT, START, 2024-01-24 12:48:25.013425+00
MEASUREMENT, SCRIPT, /tmp/benchmark/main.sh
MEASUREMENT, BASEDIR, /tmp/benchmark
MEASUREMENT, CWD, /tmp/benchmark
MEASUREMENT, INPUT, 50000
MEASUREMENT, PID, 10946
SP2B, START, 2024-01-24 12:48:25.022952+00
SP2B, DIR, /tmp/benchmark/sp2b/bin
SP2B, TRIPLES, 50168
SP2B, FILESIZE, 5225KB
SP2B, END, 2024-01-24 12:48:25.166150+00
RDF2RAPSQL, RAPSQLMODEL, rdfid
RDF2RAPSQL, START, 2024-01-24 12:48:25.175816+00
RDF2RAPSQL, INSTANCE, /tmp/benchmark/data/sp50k6r1/sp50k6r1.n3
RDF2RAPSQL, PID, 11002
RDF2PG, START, 2024-01-24 12:48:25.181392+00
RDF2PG, END, 2024-01-24 12:48:26.287775+00
RDF2PG, EXECTIME, d:h:m:s.ms | 0:0:0:1.106
EDGEPARTITIONING, START, 2024-01-24 12:48:26.433196+00
EDGEPARTITIONING, END, 2024-01-24 12:48:26.574174+00
EDGEPARTITIONING, EXECTIME, d:h:m:s.ms | 0:0:0:0.140
DBIMPORT-NODES, START, 2024-01-24 12:48:26.579254+00
DBIMPORT-NODES, END, 2024-01-24 12:48:26.762877+00
DBIMPORT-NODES, EXECTIME, d:h:m:s.ms | 0:0:0:0.183
DBIMPORT-EDGES, START, 2024-01-24 12:48:26.768106+00
DBIMPORT-EDGES, END, 2024-01-24 12:48:27.465779+00
DBIMPORT-EDGES, EXECTIME, d:h:m:s.ms | 0:0:0:0.697
RDF2RAPSQL, END, 2024-01-24 12:48:27.471399+00
RDF2RAPSQL, EXECTIME, d:h:m:s.ms | 0:0:0:2.295
WRITECYPHER, START, 2024-01-24 12:48:27.479022+00
WRITECYPHER, END, 2024-01-24 12:48:28.331823+00
WRITECYPHER, EXECTIME, d:h:m:s.ms | 0:0:0:0.852
RAPSQLTRIPLES-CNT, START, 2024-01-24 12:48:33.341084+00
RAPSQLTRIPLES-CNT, END, 2024-01-24 12:48:33.808160+00
RAPSQLTRIPLES-CNT, EXECTIME, d:h:m:s.ms | 0:0:0:0.467
RUNQUERIES, START, 2024-01-24 12:48:38.817096+00
QUERY-EXEC | loop-1 | a1-q1, START, 2024-01-24 12:48:41.827309+00
QUERY-EXEC | loop-1 | a1-q1, END, 2024-01-24 12:48:41.897868+00
