Process, Parameter, Value
MEASUREMENT, START, 2024-01-26 14:49:30.666722+00
MEASUREMENT, SCRIPT, /tmp/benchmark/main.sh
MEASUREMENT, BASEDIR, /tmp/benchmark
MEASUREMENT, CWD, /tmp/benchmark
MEASUREMENT, INPUT, 250000
MEASUREMENT, PID, 11226
SP2B, START, 2024-01-26 14:49:30.676443+00
SP2B, DIR, /tmp/benchmark/sp2b/bin
SP2B, TRIPLES, 250128
SP2B, FILESIZE, 26673KB
SP2B, END, 2024-01-26 14:49:31.201033+00
SP2B, EXECTIME, d:h:m:s.ms | 0:0:0:0.524
RDF2RAPSQL, RAPSQLMODEL, rdfid
RDF2RAPSQL, START, 2024-01-26 14:49:31.212005+00
RDF2RAPSQL, INSTANCE, /tmp/benchmark/data/sp250k71r21/sp250k71r21.n3
RDF2RAPSQL, PID, 11284
RDF2PG, START, 2024-01-26 14:49:31.217516+00
RDF2PG, END, 2024-01-26 14:49:33.573075+00
RDF2PG, EXECTIME, d:h:m:s.ms | 0:0:0:2.355
EDGEPARTITIONING, START, 2024-01-26 14:49:33.714087+00
EDGEPARTITIONING, END, 2024-01-26 14:49:33.900551+00
EDGEPARTITIONING, EXECTIME, d:h:m:s.ms | 0:0:0:0.186
DBIMPORT-NODES, START, 2024-01-26 14:49:33.905735+00
DBIMPORT-NODES, END, 2024-01-26 14:49:34.910616+00
DBIMPORT-NODES, EXECTIME, d:h:m:s.ms | 0:0:0:1.4
DBIMPORT-EDGES, START, 2024-01-26 14:49:34.916061+00
DBIMPORT-EDGES, END, 2024-01-26 14:49:36.373512+00
DBIMPORT-EDGES, EXECTIME, d:h:m:s.ms | 0:0:0:1.457
RDF2RAPSQL, END, 2024-01-26 14:49:36.379173+00
RDF2RAPSQL, EXECTIME, d:h:m:s.ms | 0:0:0:5.167
WRITECYPHER, RAPSQLTRANSPILER, cpo2
WRITECYPHER, START, 2024-01-26 14:49:36.388038+00
WRITECYPHER, END, 2024-01-26 14:49:37.235272+00
WRITECYPHER, EXECTIME, d:h:m:s.ms | 0:0:0:0.847
RAPSQLTRIPLES-CNT, START, 2024-01-26 14:49:42.243952+00
RAPSQLTRIPLES-CNT, END, 2024-01-26 14:49:42.786591+00
RAPSQLTRIPLES-CNT, EXECTIME, d:h:m:s.ms | 0:0:0:0.542
RUNQUERIES, START, 2024-01-26 14:49:47.795417+00
QUERY-EXEC | loop-1 | a1-q1, START, 2024-01-26 14:49:50.805150+00
QUERY-EXEC | loop-1 | a1-q1, END, 2024-01-26 14:49:51.797204+00
QUERY-EXEC | loop-1 | a1-q1, EXECTIME, d:h:m:s.ms | 0:0:0:0.992
QUERY-EXEC | loop-1 | b2-q2, START, 2024-01-26 14:49:54.804578+00
QUERY-EXEC | loop-1 | b2-q2, END, 2024-01-26 14:54:47.556579+00
QUERY-EXEC | loop-1 | b2-q2, EXECTIME, d:h:m:s.ms | 0:0:4:52.752
QUERY-EXEC | loop-1 | c3-q3a, START, 2024-01-26 14:54:50.563931+00
QUERY-EXEC | loop-1 | c3-q3a, END, 2024-01-26 14:54:53.144558+00
QUERY-EXEC | loop-1 | c3-q3a, EXECTIME, d:h:m:s.ms | 0:0:0:2.580
QUERY-EXEC | loop-1 | d4-q3b, START, 2024-01-26 14:54:56.151876+00
QUERY-EXEC | loop-1 | d4-q3b, END, 2024-01-26 14:54:58.635035+00
QUERY-EXEC | loop-1 | d4-q3b, EXECTIME, d:h:m:s.ms | 0:0:0:2.483
QUERY-EXEC | loop-1 | e5-q3c, START, 2024-01-26 14:55:01.642522+00
QUERY-EXEC | loop-1 | e5-q3c, END, 2024-01-26 14:55:04.122132+00
QUERY-EXEC | loop-1 | e5-q3c, EXECTIME, d:h:m:s.ms | 0:0:0:2.479
QUERY-EXEC | loop-1 | f6-q4, START, 2024-01-26 14:55:07.129395+00
QUERY-EXEC | loop-1 | f6-q4, END, 2024-01-26 15:25:07.185409+00
QUERY-EXEC | loop-1 | f6-q4, EXECTIME, d:h:m:s.ms | 0:0:30:0.56
QUERY-EXEC | loop-1 | g7-q5a, START, 2024-01-26 15:25:10.192855+00
QUERY-EXEC | loop-1 | g7-q5a, END, 2024-01-26 15:34:48.483363+00
QUERY-EXEC | loop-1 | g7-q5a, EXECTIME, d:h:m:s.ms | 0:0:9:38.290
QUERY-EXEC | loop-1 | h8-q5b, START, 2024-01-26 15:34:51.490797+00
QUERY-EXEC | loop-1 | h8-q5b, END, 2024-01-26 15:34:52.263260+00
QUERY-EXEC | loop-1 | h8-q5b, EXECTIME, d:h:m:s.ms | 0:0:0:0.772
QUERY-EXEC | loop-1 | i9-q6, START, 2024-01-26 15:34:55.270932+00
QUERY-EXEC | loop-1 | i9-q6, END, 2024-01-26 16:04:55.327602+00
QUERY-EXEC | loop-1 | i9-q6, EXECTIME, d:h:m:s.ms | 0:0:30:0.56
QUERY-EXEC | loop-1 | j10-q7, START, 2024-01-26 16:04:58.335061+00
QUERY-EXEC | loop-1 | j10-q7, END, 2024-01-26 16:05:59.864792+00
QUERY-EXEC | loop-1 | j10-q7, EXECTIME, d:h:m:s.ms | 0:0:1:1.529
QUERY-EXEC | loop-1 | k11-q8, START, 2024-01-26 16:06:02.872137+00
QUERY-EXEC | loop-1 | k11-q8, END, 2024-01-26 16:06:03.316032+00
QUERY-EXEC | loop-1 | k11-q8, EXECTIME, d:h:m:s.ms | 0:0:0:0.443
QUERY-EXEC | loop-1 | l12-q9, START, 2024-01-26 16:06:06.323355+00
QUERY-EXEC | loop-1 | l12-q9, END, 2024-01-26 16:06:07.502709+00
QUERY-EXEC | loop-1 | l12-q9, EXECTIME, d:h:m:s.ms | 0:0:0:1.179
QUERY-EXEC | loop-1 | m13-q10, START, 2024-01-26 16:06:10.510027+00
QUERY-EXEC | loop-1 | m13-q10, END, 2024-01-26 16:06:11.032518+00
QUERY-EXEC | loop-1 | m13-q10, EXECTIME, d:h:m:s.ms | 0:0:0:0.522
QUERY-EXEC | loop-1 | n14-q11, START, 2024-01-26 16:06:14.039778+00
QUERY-EXEC | loop-1 | n14-q11, END, 2024-01-26 16:06:14.153931+00
QUERY-EXEC | loop-1 | n14-q11, EXECTIME, d:h:m:s.ms | 0:0:0:0.114
QUERY-EXEC | loop-1 | o15-q12a, START, 2024-01-26 16:06:17.161148+00
QUERY-EXEC | loop-1 | o15-q12a, END, 2024-01-26 16:06:43.286614+00
QUERY-EXEC | loop-1 | o15-q12a, EXECTIME, d:h:m:s.ms | 0:0:0:26.125
QUERY-EXEC | loop-1 | p16-q12b, START, 2024-01-26 16:06:46.294002+00
QUERY-EXEC | loop-1 | p16-q12b, END, 2024-01-26 16:06:46.617187+00
QUERY-EXEC | loop-1 | p16-q12b, EXECTIME, d:h:m:s.ms | 0:0:0:0.323
QUERY-EXEC | loop-1 | q17-q12c, START, 2024-01-26 16:06:49.624473+00
QUERY-EXEC | loop-1 | q17-q12c, END, 2024-01-26 16:06:49.697171+00
