Process, Parameter, Value
MEASUREMENT, START, 2024-01-24 23:43:47.454697+00
MEASUREMENT, SCRIPT, /tmp/benchmark/main.sh
MEASUREMENT, BASEDIR, /tmp/benchmark
MEASUREMENT, CWD, /tmp/benchmark
MEASUREMENT, INPUT, 250000
MEASUREMENT, PID, 10977
SP2B, START, 2024-01-24 23:43:47.464331+00
SP2B, DIR, /tmp/benchmark/sp2b/bin
SP2B, TRIPLES, 250128
SP2B, FILESIZE, 26673KB
SP2B, END, 2024-01-24 23:43:47.987301+00
SP2B, EXECTIME, d:h:m:s.ms | 0:0:0:0.522
RDF2RAPSQL, RAPSQLMODEL, rdfid
RDF2RAPSQL, START, 2024-01-24 23:43:47.998461+00
RDF2RAPSQL, INSTANCE, /tmp/benchmark/data/sp250k8r3/sp250k8r3.n3
RDF2RAPSQL, PID, 11035
RDF2PG, START, 2024-01-24 23:43:48.004176+00
RDF2PG, END, 2024-01-24 23:43:50.236639+00
RDF2PG, EXECTIME, d:h:m:s.ms | 0:0:0:2.232
EDGEPARTITIONING, START, 2024-01-24 23:43:50.364043+00
EDGEPARTITIONING, END, 2024-01-24 23:43:50.552851+00
EDGEPARTITIONING, EXECTIME, d:h:m:s.ms | 0:0:0:0.188
DBIMPORT-NODES, START, 2024-01-24 23:43:50.558015+00
DBIMPORT-NODES, END, 2024-01-24 23:43:51.630543+00
DBIMPORT-NODES, EXECTIME, d:h:m:s.ms | 0:0:0:1.72
DBIMPORT-EDGES, START, 2024-01-24 23:43:51.635916+00
DBIMPORT-EDGES, END, 2024-01-24 23:43:53.201491+00
DBIMPORT-EDGES, EXECTIME, d:h:m:s.ms | 0:0:0:1.565
RDF2RAPSQL, END, 2024-01-24 23:43:53.207173+00
RDF2RAPSQL, EXECTIME, d:h:m:s.ms | 0:0:0:5.208
WRITECYPHER, START, 2024-01-24 23:43:53.214787+00
WRITECYPHER, END, 2024-01-24 23:43:54.053828+00
WRITECYPHER, EXECTIME, d:h:m:s.ms | 0:0:0:0.839
RAPSQLTRIPLES-CNT, START, 2024-01-24 23:43:59.063317+00
RAPSQLTRIPLES-CNT, END, 2024-01-24 23:43:59.615604+00
RAPSQLTRIPLES-CNT, EXECTIME, d:h:m:s.ms | 0:0:0:0.552
RUNQUERIES, START, 2024-01-24 23:44:04.624657+00
QUERY-EXEC | loop-1 | a1-q1, START, 2024-01-24 23:44:07.634847+00
QUERY-EXEC | loop-1 | a1-q1, END, 2024-01-24 23:44:08.634884+00
QUERY-EXEC | loop-1 | a1-q1, EXECTIME, d:h:m:s.ms | 0:0:0:1.0
QUERY-EXEC | loop-1 | b2-q2, START, 2024-01-24 23:44:11.642502+00
QUERY-EXEC | loop-1 | b2-q2, END, 2024-01-24 23:49:00.734453+00
QUERY-EXEC | loop-1 | b2-q2, EXECTIME, d:h:m:s.ms | 0:0:4:49.91
QUERY-EXEC | loop-1 | c3-q3a, START, 2024-01-24 23:49:03.742059+00
QUERY-EXEC | loop-1 | c3-q3a, END, 2024-01-24 23:49:06.339462+00
QUERY-EXEC | loop-1 | c3-q3a, EXECTIME, d:h:m:s.ms | 0:0:0:2.597
QUERY-EXEC | loop-1 | d4-q3b, START, 2024-01-24 23:49:09.347109+00
QUERY-EXEC | loop-1 | d4-q3b, END, 2024-01-24 23:49:11.847338+00
QUERY-EXEC | loop-1 | d4-q3b, EXECTIME, d:h:m:s.ms | 0:0:0:2.500
QUERY-EXEC | loop-1 | e5-q3c, START, 2024-01-24 23:49:14.854842+00
QUERY-EXEC | loop-1 | e5-q3c, END, 2024-01-24 23:49:17.362815+00
QUERY-EXEC | loop-1 | e5-q3c, EXECTIME, d:h:m:s.ms | 0:0:0:2.507
QUERY-EXEC | loop-1 | f6-q4, START, 2024-01-24 23:49:20.370492+00
QUERY-EXEC | loop-1 | f6-q4, END, 2024-01-25 00:19:20.427248+00
QUERY-EXEC | loop-1 | f6-q4, EXECTIME, d:h:m:s.ms | 0:0:30:0.56
QUERY-EXEC | loop-1 | g7-q5a, START, 2024-01-25 00:19:23.434854+00
QUERY-EXEC | loop-1 | g7-q5a, END, 2024-01-25 00:49:23.503237+00
QUERY-EXEC | loop-1 | g7-q5a, EXECTIME, d:h:m:s.ms | 0:0:30:0.68
QUERY-EXEC | loop-1 | h8-q5b, START, 2024-01-25 00:49:26.511133+00
