Process, Parameter, Value
MEASUREMENT, START, 2024-01-24 12:35:01.367433+00
MEASUREMENT, SCRIPT, /tmp/benchmark/main.sh
MEASUREMENT, BASEDIR, /tmp/benchmark
MEASUREMENT, CWD, /tmp/benchmark
MEASUREMENT, INPUT, 50000
MEASUREMENT, PID, 11023
SP2B, START, 2024-01-24 12:35:01.376886+00
SP2B, DIR, /tmp/benchmark/sp2b/bin
SP2B, TRIPLES, 50168
SP2B, FILESIZE, 5225KB
SP2B, END, 2024-01-24 12:35:01.519126+00
RDF2RAPSQL, RAPSQLMODEL, rdfid
RDF2RAPSQL, START, 2024-01-24 12:35:01.528592+00
RDF2RAPSQL, INSTANCE, /tmp/benchmark/data/sp50k5rp/sp50k5rp.n3
RDF2RAPSQL, PID, 11079
RDF2PG, START, 2024-01-24 12:35:01.534074+00
RDF2PG, END, 2024-01-24 12:35:02.566861+00
RDF2PG, EXECTIME, d:h:m:s.ms | 0:0:0:1.32
EDGEPARTITIONING, START, 2024-01-24 12:35:02.723415+00
EDGEPARTITIONING, END, 2024-01-24 12:35:02.865855+00
EDGEPARTITIONING, EXECTIME, d:h:m:s.ms | 0:0:0:0.142
DBIMPORT-NODES, START, 2024-01-24 12:35:02.870974+00
DBIMPORT-NODES, END, 2024-01-24 12:35:03.038079+00
DBIMPORT-NODES, EXECTIME, d:h:m:s.ms | 0:0:0:0.167
DBIMPORT-EDGES, START, 2024-01-24 12:35:03.043230+00
DBIMPORT-EDGES, END, 2024-01-24 12:35:03.493287+00
DBIMPORT-EDGES, EXECTIME, d:h:m:s.ms | 0:0:0:0.450
RDF2RAPSQL, END, 2024-01-24 12:35:03.498907+00
RDF2RAPSQL, EXECTIME, d:h:m:s.ms | 0:0:0:1.970
WRITECYPHER, START, 2024-01-24 12:35:03.506473+00
WRITECYPHER, END, 2024-01-24 12:35:04.398136+00
WRITECYPHER, EXECTIME, d:h:m:s.ms | 0:0:0:0.891
RAPSQLTRIPLES-CNT, START, 2024-01-24 12:35:09.407204+00
RAPSQLTRIPLES-CNT, END, 2024-01-24 12:35:09.862674+00
RAPSQLTRIPLES-CNT, EXECTIME, d:h:m:s.ms | 0:0:0:0.455
RUNQUERIES, START, 2024-01-24 12:35:14.871778+00
QUERY-EXEC | loop-1 | a1-q1, START, 2024-01-24 12:35:17.881876+00
QUERY-EXEC | loop-1 | a1-q1, END, 2024-01-24 12:35:17.952997+00
QUERY-EXEC | loop-1 | a1-q1, EXECTIME, d:h:m:s.ms | 0:0:0:0.71
QUERY-EXEC | loop-1 | b2-q2, START, 2024-01-24 12:35:20.960453+00
QUERY-EXEC | loop-1 | b2-q2, END, 2024-01-24 12:35:22.222825+00
QUERY-EXEC | loop-1 | b2-q2, EXECTIME, d:h:m:s.ms | 0:0:0:1.262
QUERY-EXEC | loop-1 | c3-q3a, START, 2024-01-24 12:35:25.230411+00
QUERY-EXEC | loop-1 | c3-q3a, END, 2024-01-24 12:35:26.430669+00
QUERY-EXEC | loop-1 | c3-q3a, EXECTIME, d:h:m:s.ms | 0:0:0:1.200
QUERY-EXEC | loop-1 | d4-q3b, START, 2024-01-24 12:35:29.438244+00
QUERY-EXEC | loop-1 | d4-q3b, END, 2024-01-24 12:35:30.613801+00
QUERY-EXEC | loop-1 | d4-q3b, EXECTIME, d:h:m:s.ms | 0:0:0:1.175
QUERY-EXEC | loop-1 | e5-q3c, START, 2024-01-24 12:35:33.621304+00
QUERY-EXEC | loop-1 | e5-q3c, END, 2024-01-24 12:35:34.795945+00
QUERY-EXEC | loop-1 | e5-q3c, EXECTIME, d:h:m:s.ms | 0:0:0:1.174
QUERY-EXEC | loop-1 | f6-q4, START, 2024-01-24 12:35:37.803461+00
QUERY-EXEC | loop-1 | f6-q4, END, 2024-01-24 12:56:48.905097+00
QUERY-EXEC | loop-1 | f6-q4, EXECTIME, d:h:m:s.ms | 0:0:21:11.101
QUERY-EXEC | loop-1 | g7-q5a, START, 2024-01-24 12:56:51.912699+00
QUERY-EXEC | loop-1 | g7-q5a, END, 2024-01-24 12:59:12.359168+00
QUERY-EXEC | loop-1 | g7-q5a, EXECTIME, d:h:m:s.ms | 0:0:2:20.446
QUERY-EXEC | loop-1 | h8-q5b, START, 2024-01-24 12:59:15.366724+00
QUERY-EXEC | loop-1 | h8-q5b, END, 2024-01-24 13:29:15.412081+00
QUERY-EXEC | loop-1 | h8-q5b, EXECTIME, d:h:m:s.ms | 0:0:30:0.45
QUERY-EXEC | loop-1 | i9-q6, START, 2024-01-24 13:29:18.419771+00
QUERY-EXEC | loop-1 | i9-q6, END, 2024-01-24 13:29:39.644392+00
QUERY-EXEC | loop-1 | i9-q6, EXECTIME, d:h:m:s.ms | 0:0:0:21.224
QUERY-EXEC | loop-1 | j10-q7, START, 2024-01-24 13:29:42.652089+00
QUERY-EXEC | loop-1 | j10-q7, END, 2024-01-24 13:29:50.773785+00
QUERY-EXEC | loop-1 | j10-q7, EXECTIME, d:h:m:s.ms | 0:0:0:8.121
QUERY-EXEC | loop-1 | k11-q8, START, 2024-01-24 13:29:53.781358+00
QUERY-EXEC | loop-1 | k11-q8, END, 2024-01-24 13:29:53.926645+00
QUERY-EXEC | loop-1 | k11-q8, EXECTIME, d:h:m:s.ms | 0:0:0:0.145
QUERY-EXEC | loop-1 | l12-q9, START, 2024-01-24 13:29:56.934162+00
QUERY-EXEC | loop-1 | l12-q9, END, 2024-01-24 13:29:57.063358+00
QUERY-EXEC | loop-1 | l12-q9, EXECTIME, d:h:m:s.ms | 0:0:0:0.129
QUERY-EXEC | loop-1 | m13-q10, START, 2024-01-24 13:30:00.070877+00
QUERY-EXEC | loop-1 | m13-q10, END, 2024-01-24 13:30:00.189291+00
QUERY-EXEC | loop-1 | m13-q10, EXECTIME, d:h:m:s.ms | 0:0:0:0.118
QUERY-EXEC | loop-1 | n14-q11, START, 2024-01-24 13:30:03.196932+00
QUERY-EXEC | loop-1 | n14-q11, END, 2024-01-24 13:30:03.264958+00
QUERY-EXEC | loop-1 | n14-q11, EXECTIME, d:h:m:s.ms | 0:0:0:0.68
QUERY-EXEC | loop-1 | o15-q12a, START, 2024-01-24 13:30:06.272411+00
QUERY-EXEC | loop-1 | o15-q12a, END, 2024-01-24 13:30:47.066266+00
QUERY-EXEC | loop-1 | o15-q12a, EXECTIME, d:h:m:s.ms | 0:0:0:40.793
QUERY-EXEC | loop-1 | p16-q12b, START, 2024-01-24 13:30:50.073851+00
QUERY-EXEC | loop-1 | p16-q12b, END, 2024-01-24 13:30:50.259657+00
QUERY-EXEC | loop-1 | p16-q12b, EXECTIME, d:h:m:s.ms | 0:0:0:0.185
QUERY-EXEC | loop-1 | q17-q12c, START, 2024-01-24 13:30:53.267164+00
QUERY-EXEC | loop-1 | q17-q12c, END, 2024-01-24 13:30:53.327608+00
QUERY-EXEC | loop-1 | q17-q12c, EXECTIME, d:h:m:s.ms | 0:0:0:0.60
QUERY-PENALTY | loop-1 | f6-q4.sql, PENALTY-TIME, 3600000.000 ms
QUERY-PENALTY | loop-1 | h8-q5b.sql, PENALTY-TIME, 3600000.000 ms
RUNQUERIES, END, 2024-01-24 13:30:53.376447+00
RUNQUERIES, EXECTIME, d:h:m:s.ms | 0:0:55:38.504
CALCPERFORMANCE, START, 2024-01-24 13:30:53.384144+00
CALCPERFORMANCE, END, 2024-01-24 13:30:53.398480+00
CALCPERFORMANCE, EXECTIME, d:h:m:s.ms | 0:0:0:0.14
MEASUREMENT, END, 2024-01-24 13:30:53.405850+00
MEASUREMENT, EXECTIME, d:h:m:s.ms | 0:0:55:52.38
