Process, Parameter, Value
MEASUREMENT, START, 2024-01-26 23:18:44.058143+00
MEASUREMENT, SCRIPT, /tmp/benchmark/main.sh
MEASUREMENT, BASEDIR, /tmp/benchmark
MEASUREMENT, CWD, /tmp/benchmark
MEASUREMENT, INPUT, 250000000
MEASUREMENT, PID, 11075
SP2B, START, 2024-01-26 23:18:44.067643+00
SP2B, DIR, /tmp/benchmark/sp2b/bin
SP2B, TRIPLES, 250000638
SP2B, FILESIZE, 27108719KB
SP2B, END, 2024-01-26 23:39:06.246805+00
SP2B, EXECTIME, d:h:m:s.ms | 0:0:20:22.179
RDF2RAPSQL, RAPSQLMODEL, rdfid
RDF2RAPSQL, START, 2024-01-26 23:39:06.257948+00
RDF2RAPSQL, INSTANCE, /tmp/benchmark/data/sp250mr1/sp250mr1.n3
RDF2RAPSQL, PID, 11202
RDF2PG, START, 2024-01-26 23:39:06.263384+00
RDF2PG, END, 2024-01-27 00:02:38.190252+00
RDF2PG, EXECTIME, d:h:m:s.ms | 0:0:23:31.926
EDGEPARTITIONING, START, 2024-01-27 00:02:38.315790+00
EDGEPARTITIONING, END, 2024-01-27 00:03:21.316320+00
EDGEPARTITIONING, EXECTIME, d:h:m:s.ms | 0:0:0:43.0
DBIMPORT-NODES, START, 2024-01-27 00:03:21.321397+00
DBIMPORT-NODES, END, 2024-01-27 00:18:58.983720+00
DBIMPORT-NODES, EXECTIME, d:h:m:s.ms | 0:0:15:37.662
DBIMPORT-EDGES, START, 2024-01-27 00:18:58.989096+00
DBIMPORT-EDGES, END, 2024-01-27 00:34:52.982075+00
DBIMPORT-EDGES, EXECTIME, d:h:m:s.ms | 0:0:15:53.992
RDF2RAPSQL, END, 2024-01-27 00:34:52.987692+00
RDF2RAPSQL, EXECTIME, d:h:m:s.ms | 0:0:55:46.729
WRITECYPHER, RAPSQLTRANSPILER, cpo1
WRITECYPHER, START, 2024-01-27 00:34:52.996469+00
WRITECYPHER, END, 2024-01-27 00:34:53.876818+00
WRITECYPHER, EXECTIME, d:h:m:s.ms | 0:0:0:0.880
RAPSQLTRIPLES-CNT, START, 2024-01-27 00:34:58.885903+00
RAPSQLTRIPLES-CNT, END, 2024-01-27 00:39:25.943600+00
RAPSQLTRIPLES-CNT, EXECTIME, d:h:m:s.ms | 0:0:4:27.57
RUNQUERIES, START, 2024-01-27 00:39:30.952742+00
QUERY-EXEC | loop-1 | a1-q1, START, 2024-01-27 00:39:33.962692+00
QUERY-EXEC | loop-1 | a1-q1, END, 2024-01-27 00:41:49.078890+00
QUERY-EXEC | loop-1 | a1-q1, EXECTIME, d:h:m:s.ms | 0:0:2:15.116
QUERY-EXEC | loop-1 | b2-q2, START, 2024-01-27 00:41:52.086585+00
QUERY-EXEC | loop-1 | b2-q2, END, 2024-01-27 01:12:09.071555+00
QUERY-EXEC | loop-1 | b2-q2, EXECTIME, d:h:m:s.ms | 0:0:30:16.984
QUERY-EXEC | loop-1 | c3-q3a, START, 2024-01-27 01:12:12.168739+00
QUERY-EXEC | loop-1 | c3-q3a, END, 2024-01-27 01:20:39.956072+00
QUERY-EXEC | loop-1 | c3-q3a, EXECTIME, d:h:m:s.ms | 0:0:8:27.787
QUERY-EXEC | loop-1 | d4-q3b, START, 2024-01-27 01:20:42.963824+00
QUERY-EXEC | loop-1 | d4-q3b, END, 2024-01-27 01:28:24.753947+00
QUERY-EXEC | loop-1 | d4-q3b, EXECTIME, d:h:m:s.ms | 0:0:7:41.790
QUERY-EXEC | loop-1 | e5-q3c, START, 2024-01-27 01:28:27.761696+00
QUERY-EXEC | loop-1 | e5-q3c, END, 2024-01-27 01:36:08.372046+00
QUERY-EXEC | loop-1 | e5-q3c, EXECTIME, d:h:m:s.ms | 0:0:7:40.610
QUERY-EXEC | loop-1 | f6-q4, START, 2024-01-27 01:36:11.379678+00
QUERY-EXEC | loop-1 | f6-q4, END, 2024-01-27 02:06:41.386316+00
QUERY-EXEC | loop-1 | f6-q4, EXECTIME, d:h:m:s.ms | 0:0:30:30.6
QUERY-EXEC | loop-1 | g7-q5a, START, 2024-01-27 02:06:44.394230+00
QUERY-EXEC | loop-1 | g7-q5a, END, 2024-01-27 02:37:11.136253+00
QUERY-EXEC | loop-1 | g7-q5a, EXECTIME, d:h:m:s.ms | 0:0:30:26.742
QUERY-EXEC | loop-1 | h8-q5b, START, 2024-01-27 02:37:14.146701+00
QUERY-EXEC | loop-1 | h8-q5b, END, 2024-01-27 02:53:48.500633+00
QUERY-EXEC | loop-1 | h8-q5b, EXECTIME, d:h:m:s.ms | 0:0:16:34.353
QUERY-EXEC | loop-1 | i9-q6, START, 2024-01-27 02:53:51.509011+00
QUERY-EXEC | loop-1 | i9-q6, END, 2024-01-27 03:24:18.884492+00
QUERY-EXEC | loop-1 | i9-q6, EXECTIME, d:h:m:s.ms | 0:0:30:27.375
QUERY-EXEC | loop-1 | j10-q7, START, 2024-01-27 03:24:21.892371+00
QUERY-EXEC | loop-1 | j10-q7, END, 2024-01-27 03:47:26.031290+00
QUERY-EXEC | loop-1 | j10-q7, EXECTIME, d:h:m:s.ms | 0:0:23:4.138
QUERY-EXEC | loop-1 | k11-q8, START, 2024-01-27 03:47:29.039120+00
QUERY-EXEC | loop-1 | k11-q8, END, 2024-01-27 04:03:02.581693+00
