q1,q2,q3a,q3b,q3c,q4,q5a,q5b,q6,q7,q8,q9,q10,q11,q12a,q12b,q12c
135.068,3600,498.562,461.681,460.565,3600,3600,983.673,3600,3600,933.495,3600,307.576,62.144,3600,734.763,53.692
258.5,3600,496.866,462.3,461.354,3600,3600,967.624,3600,3600,977.665,3600,312.137,62.263,3600,789.566,54.065
245.85,3600,518.379,461.185,462.286,3600,3600,967.281,3600,3600,983.321,3600,310.427,63.243,3600,645.53,54.014
257.105,3600,498.067,460.636,461.675,3600,3600,967.292,3600,3600,929.315,3600,308.623,63.322,3600,648.397,53.924
258.511,3600,500.633,460.879,463.158,3600,3600,966.022,3600,3600,974.172,3600,308.184,63.381,3600,672.434,53.9
258.212,3600,499.156,461.852,461.399,3600,3600,967.053,3600,3600,969.867,3600,309.152,63.56,3600,756.252,53.935
258.64,3600,499.116,460.761,463.689,3600,3600,966.071,3600,3600,927.146,3600,308.662,63.431,3600,614.533,53.923
258.092,3600,501.844,460.94,461.551,3600,3600,964.645,3600,3600,970.595,3600,311.854,62.966,3600,657.864,53.979
251.551,3600,497.604,461.221,460.932,3600,3600,986.632,3600,3600,927.838,3600,307.6,60.384,3600,650.406,53.939
256.96,3600,499.131,460.806,462.329,3600,3600,964.418,3600,3600,973.932,3600,311.758,62.676,3600,643.273,53.98
