Process, Parameter, Value
MEASUREMENT, START, 2024-01-26 06:54:33.169026+00
MEASUREMENT, SCRIPT, /tmp/benchmark/main.sh
MEASUREMENT, BASEDIR, /tmp/benchmark
MEASUREMENT, CWD, /tmp/benchmark
MEASUREMENT, INPUT, 250000
MEASUREMENT, PID, 10917
SP2B, START, 2024-01-26 06:54:33.178759+00
SP2B, DIR, /tmp/benchmark/sp2b/bin
SP2B, TRIPLES, 250128
SP2B, FILESIZE, 26673KB
SP2B, END, 2024-01-26 06:54:33.705944+00
SP2B, EXECTIME, d:h:m:s.ms | 0:0:0:0.527
RDF2RAPSQL, RAPSQLMODEL, rdfid
RDF2RAPSQL, START, 2024-01-26 06:54:33.716966+00
RDF2RAPSQL, INSTANCE, /tmp/benchmark/data/sp250k62r1/sp250k62r1.n3
RDF2RAPSQL, PID, 10975
RDF2PG, START, 2024-01-26 06:54:33.722457+00
RDF2PG, END, 2024-01-26 06:54:36.191793+00
RDF2PG, EXECTIME, d:h:m:s.ms | 0:0:0:2.469
EDGEPARTITIONING, START, 2024-01-26 06:54:36.356529+00
EDGEPARTITIONING, END, 2024-01-26 06:54:36.542809+00
EDGEPARTITIONING, EXECTIME, d:h:m:s.ms | 0:0:0:0.186
DBIMPORT-NODES, START, 2024-01-26 06:54:36.548004+00
DBIMPORT-NODES, END, 2024-01-26 06:54:37.966116+00
DBIMPORT-NODES, EXECTIME, d:h:m:s.ms | 0:0:0:1.418
DBIMPORT-EDGES, START, 2024-01-26 06:54:37.971498+00
DBIMPORT-EDGES, END, 2024-01-26 06:54:40.206296+00
DBIMPORT-EDGES, EXECTIME, d:h:m:s.ms | 0:0:0:2.234
RDF2RAPSQL, END, 2024-01-26 06:54:40.211863+00
RDF2RAPSQL, EXECTIME, d:h:m:s.ms | 0:0:0:6.494
WRITECYPHER, RAPSQLTRANSPILER, cpo1
WRITECYPHER, START, 2024-01-26 06:54:40.220870+00
WRITECYPHER, END, 2024-01-26 06:54:41.096004+00
WRITECYPHER, EXECTIME, d:h:m:s.ms | 0:0:0:0.875
RAPSQLTRIPLES-CNT, START, 2024-01-26 06:54:46.105052+00
RAPSQLTRIPLES-CNT, END, 2024-01-26 06:54:46.645202+00
RAPSQLTRIPLES-CNT, EXECTIME, d:h:m:s.ms | 0:0:0:0.540
RUNQUERIES, START, 2024-01-26 06:54:51.654320+00
QUERY-EXEC | loop-1 | a1-q1, START, 2024-01-26 06:54:54.664436+00
QUERY-EXEC | loop-1 | a1-q1, END, 2024-01-26 06:54:55.647882+00
QUERY-EXEC | loop-1 | a1-q1, EXECTIME, d:h:m:s.ms | 0:0:0:0.983
QUERY-EXEC | loop-1 | b2-q2, START, 2024-01-26 06:54:58.655420+00
QUERY-EXEC | loop-1 | b2-q2, END, 2024-01-26 06:59:51.779590+00
QUERY-EXEC | loop-1 | b2-q2, EXECTIME, d:h:m:s.ms | 0:0:4:53.124
QUERY-EXEC | loop-1 | c3-q3a, START, 2024-01-26 06:59:54.787303+00
QUERY-EXEC | loop-1 | c3-q3a, END, 2024-01-26 06:59:57.351113+00
QUERY-EXEC | loop-1 | c3-q3a, EXECTIME, d:h:m:s.ms | 0:0:0:2.563
QUERY-EXEC | loop-1 | d4-q3b, START, 2024-01-26 07:00:00.358700+00
QUERY-EXEC | loop-1 | d4-q3b, END, 2024-01-26 07:00:02.825786+00
QUERY-EXEC | loop-1 | d4-q3b, EXECTIME, d:h:m:s.ms | 0:0:0:2.467
QUERY-EXEC | loop-1 | e5-q3c, START, 2024-01-26 07:00:05.833231+00
QUERY-EXEC | loop-1 | e5-q3c, END, 2024-01-26 07:00:08.305715+00
