Process, Parameter, Value
MEASUREMENT, START, 2024-01-24 12:49:38.959793+00
MEASUREMENT, SCRIPT, /tmp/benchmark/main.sh
MEASUREMENT, BASEDIR, /tmp/benchmark
MEASUREMENT, CWD, /tmp/benchmark
MEASUREMENT, INPUT, 50000
MEASUREMENT, PID, 10973
SP2B, START, 2024-01-24 12:49:38.969381+00
SP2B, DIR, /tmp/benchmark/sp2b/bin
SP2B, TRIPLES, 50168
SP2B, FILESIZE, 5225KB
SP2B, END, 2024-01-24 12:49:39.111815+00
RDF2RAPSQL, RAPSQLMODEL, rdfid
RDF2RAPSQL, START, 2024-01-24 12:49:39.121252+00
RDF2RAPSQL, INSTANCE, /tmp/benchmark/data/sp50k7r2/sp50k7r2.n3
RDF2RAPSQL, PID, 11029
RDF2PG, START, 2024-01-24 12:49:39.126648+00
RDF2PG, END, 2024-01-24 12:49:40.174482+00
RDF2PG, EXECTIME, d:h:m:s.ms | 0:0:0:1.47
EDGEPARTITIONING, START, 2024-01-24 12:49:40.375204+00
EDGEPARTITIONING, END, 2024-01-24 12:49:40.515016+00
EDGEPARTITIONING, EXECTIME, d:h:m:s.ms | 0:0:0:0.139
DBIMPORT-NODES, START, 2024-01-24 12:49:40.520050+00
DBIMPORT-NODES, END, 2024-01-24 12:49:40.799818+00
DBIMPORT-NODES, EXECTIME, d:h:m:s.ms | 0:0:0:0.279
DBIMPORT-EDGES, START, 2024-01-24 12:49:40.805074+00
DBIMPORT-EDGES, END, 2024-01-24 12:49:41.489178+00
DBIMPORT-EDGES, EXECTIME, d:h:m:s.ms | 0:0:0:0.684
RDF2RAPSQL, END, 2024-01-24 12:49:41.494811+00
RDF2RAPSQL, EXECTIME, d:h:m:s.ms | 0:0:0:2.373
WRITECYPHER, START, 2024-01-24 12:49:41.502524+00
WRITECYPHER, END, 2024-01-24 12:49:42.358448+00
WRITECYPHER, EXECTIME, d:h:m:s.ms | 0:0:0:0.855
RAPSQLTRIPLES-CNT, START, 2024-01-24 12:49:47.367744+00
RAPSQLTRIPLES-CNT, END, 2024-01-24 12:49:47.838149+00
RAPSQLTRIPLES-CNT, EXECTIME, d:h:m:s.ms | 0:0:0:0.470
RUNQUERIES, START, 2024-01-24 12:49:52.847105+00
QUERY-EXEC | loop-1 | a1-q1, START, 2024-01-24 12:49:55.857227+00
QUERY-EXEC | loop-1 | a1-q1, END, 2024-01-24 12:49:55.929186+00
QUERY-EXEC | loop-1 | a1-q1, EXECTIME, d:h:m:s.ms | 0:0:0:0.71
QUERY-EXEC | loop-1 | b2-q2, START, 2024-01-24 12:49:58.936626+00
QUERY-EXEC | loop-1 | b2-q2, END, 2024-01-24 12:50:00.195176+00
