Process, Parameter, Value
MEASUREMENT, START, 2024-01-25 00:03:17.360363+00
MEASUREMENT, SCRIPT, /tmp/benchmark/main.sh
MEASUREMENT, BASEDIR, /tmp/benchmark
MEASUREMENT, CWD, /tmp/benchmark
MEASUREMENT, INPUT, 250000
MEASUREMENT, PID, 11114
SP2B, START, 2024-01-25 00:03:17.370133+00
SP2B, DIR, /tmp/benchmark/sp2b/bin
SP2B, TRIPLES, 250128
SP2B, FILESIZE, 26673KB
SP2B, END, 2024-01-25 00:03:17.893627+00
SP2B, EXECTIME, d:h:m:s.ms | 0:0:0:0.523
RDF2RAPSQL, RAPSQLMODEL, rdfid
RDF2RAPSQL, START, 2024-01-25 00:03:17.904695+00
RDF2RAPSQL, INSTANCE, /tmp/benchmark/data/sp250k7r2/sp250k7r2.n3
RDF2RAPSQL, PID, 11174
RDF2PG, START, 2024-01-25 00:03:17.910210+00
RDF2PG, END, 2024-01-25 00:03:20.281298+00
RDF2PG, EXECTIME, d:h:m:s.ms | 0:0:0:2.371
EDGEPARTITIONING, START, 2024-01-25 00:03:20.432904+00
EDGEPARTITIONING, END, 2024-01-25 00:03:20.620424+00
EDGEPARTITIONING, EXECTIME, d:h:m:s.ms | 0:0:0:0.187
DBIMPORT-NODES, START, 2024-01-25 00:03:20.625575+00
DBIMPORT-NODES, END, 2024-01-25 00:03:21.917564+00
DBIMPORT-NODES, EXECTIME, d:h:m:s.ms | 0:0:0:1.291
DBIMPORT-EDGES, START, 2024-01-25 00:03:21.923043+00
DBIMPORT-EDGES, END, 2024-01-25 00:03:23.820776+00
DBIMPORT-EDGES, EXECTIME, d:h:m:s.ms | 0:0:0:1.897
RDF2RAPSQL, END, 2024-01-25 00:03:23.826510+00
RDF2RAPSQL, EXECTIME, d:h:m:s.ms | 0:0:0:5.921
WRITECYPHER, START, 2024-01-25 00:03:23.834134+00
WRITECYPHER, END, 2024-01-25 00:03:24.692584+00
WRITECYPHER, EXECTIME, d:h:m:s.ms | 0:0:0:0.858
RAPSQLTRIPLES-CNT, START, 2024-01-25 00:03:29.701912+00
RAPSQLTRIPLES-CNT, END, 2024-01-25 00:03:30.257797+00
RAPSQLTRIPLES-CNT, EXECTIME, d:h:m:s.ms | 0:0:0:0.555
RUNQUERIES, START, 2024-01-25 00:03:35.266884+00
QUERY-EXEC | loop-1 | a1-q1, START, 2024-01-25 00:03:38.276885+00
QUERY-EXEC | loop-1 | a1-q1, END, 2024-01-25 00:03:39.282094+00
QUERY-EXEC | loop-1 | a1-q1, EXECTIME, d:h:m:s.ms | 0:0:0:1.5
QUERY-EXEC | loop-1 | b2-q2, START, 2024-01-25 00:03:42.289935+00
QUERY-EXEC | loop-1 | b2-q2, END, 2024-01-25 00:08:35.076716+00
QUERY-EXEC | loop-1 | b2-q2, EXECTIME, d:h:m:s.ms | 0:0:4:52.786
QUERY-EXEC | loop-1 | c3-q3a, START, 2024-01-25 00:08:38.084637+00
QUERY-EXEC | loop-1 | c3-q3a, END, 2024-01-25 00:08:40.706996+00
QUERY-EXEC | loop-1 | c3-q3a, EXECTIME, d:h:m:s.ms | 0:0:0:2.622
QUERY-EXEC | loop-1 | d4-q3b, START, 2024-01-25 00:08:43.714672+00
QUERY-EXEC | loop-1 | d4-q3b, END, 2024-01-25 00:08:46.245446+00
QUERY-EXEC | loop-1 | d4-q3b, EXECTIME, d:h:m:s.ms | 0:0:0:2.530
QUERY-EXEC | loop-1 | e5-q3c, START, 2024-01-25 00:08:49.252945+00
QUERY-EXEC | loop-1 | e5-q3c, END, 2024-01-25 00:08:51.782945+00
QUERY-EXEC | loop-1 | e5-q3c, EXECTIME, d:h:m:s.ms | 0:0:0:2.530
QUERY-EXEC | loop-1 | f6-q4, START, 2024-01-25 00:08:54.790605+00
QUERY-EXEC | loop-1 | f6-q4, END, 2024-01-25 00:38:54.848751+00
QUERY-EXEC | loop-1 | f6-q4, EXECTIME, d:h:m:s.ms | 0:0:30:0.58
QUERY-EXEC | loop-1 | g7-q5a, START, 2024-01-25 00:38:57.856500+00
QUERY-EXEC | loop-1 | g7-q5a, END, 2024-01-25 00:48:41.659925+00
QUERY-EXEC | loop-1 | g7-q5a, EXECTIME, d:h:m:s.ms | 0:0:9:43.803
QUERY-EXEC | loop-1 | h8-q5b, START, 2024-01-25 00:48:44.667458+00
QUERY-EXEC | loop-1 | h8-q5b, END, 2024-01-25 00:48:45.463742+00
QUERY-EXEC | loop-1 | h8-q5b, EXECTIME, d:h:m:s.ms | 0:0:0:0.796
QUERY-EXEC | loop-1 | i9-q6, START, 2024-01-25 00:48:48.471210+00
QUERY-EXEC | loop-1 | i9-q6, END, 2024-01-25 01:19:04.125298+00
QUERY-EXEC | loop-1 | i9-q6, EXECTIME, d:h:m:s.ms | 0:0:30:15.654
QUERY-EXEC | loop-1 | j10-q7, START, 2024-01-25 01:19:07.133060+00
QUERY-EXEC | loop-1 | j10-q7, END, 2024-01-25 01:49:07.358722+00
QUERY-EXEC | loop-1 | j10-q7, EXECTIME, d:h:m:s.ms | 0:0:30:0.225
QUERY-EXEC | loop-1 | k11-q8, START, 2024-01-25 01:49:10.366613+00
QUERY-EXEC | loop-1 | k11-q8, END, 2024-01-25 01:49:10.837112+00
QUERY-EXEC | loop-1 | k11-q8, EXECTIME, d:h:m:s.ms | 0:0:0:0.470
QUERY-EXEC | loop-1 | l12-q9, START, 2024-01-25 01:49:13.844771+00
QUERY-EXEC | loop-1 | l12-q9, END, 2024-01-25 01:49:15.030899+00
QUERY-EXEC | loop-1 | l12-q9, EXECTIME, d:h:m:s.ms | 0:0:0:1.186
QUERY-EXEC | loop-1 | m13-q10, START, 2024-01-25 01:49:18.038631+00
QUERY-EXEC | loop-1 | m13-q10, END, 2024-01-25 01:49:18.592356+00
QUERY-EXEC | loop-1 | m13-q10, EXECTIME, d:h:m:s.ms | 0:0:0:0.553
QUERY-EXEC | loop-1 | n14-q11, START, 2024-01-25 01:49:21.600076+00
QUERY-EXEC | loop-1 | n14-q11, END, 2024-01-25 01:49:21.723001+00
QUERY-EXEC | loop-1 | n14-q11, EXECTIME, d:h:m:s.ms | 0:0:0:0.122
QUERY-EXEC | loop-1 | o15-q12a, START, 2024-01-25 01:49:24.730582+00
QUERY-EXEC | loop-1 | o15-q12a, END, 2024-01-25 01:49:52.589168+00
QUERY-EXEC | loop-1 | o15-q12a, EXECTIME, d:h:m:s.ms | 0:0:0:27.858
QUERY-EXEC | loop-1 | p16-q12b, START, 2024-01-25 01:49:55.596790+00
QUERY-EXEC | loop-1 | p16-q12b, END, 2024-01-25 01:49:56.149702+00
QUERY-EXEC | loop-1 | p16-q12b, EXECTIME, d:h:m:s.ms | 0:0:0:0.552
QUERY-EXEC | loop-1 | q17-q12c, START, 2024-01-25 01:49:59.157382+00
QUERY-EXEC | loop-1 | q17-q12c, END, 2024-01-25 01:49:59.234270+00
QUERY-EXEC | loop-1 | q17-q12c, EXECTIME, d:h:m:s.ms | 0:0:0:0.76
QUERY-PENALTY | loop-1 | i9-q6.sql, PENALTY-TIME, 3600000.000 ms
QUERY-PENALTY | loop-1 | f6-q4.sql, PENALTY-TIME, 3600000.000 ms
QUERY-PENALTY | loop-1 | j10-q7.sql, PENALTY-TIME, 3600000.000 ms
RUNQUERIES, END, 2024-01-25 01:49:59.288320+00
RUNQUERIES, EXECTIME, d:h:m:s.ms | 0:1:46:24.21
CALCPERFORMANCE, START, 2024-01-25 01:49:59.296011+00
CALCPERFORMANCE, END, 2024-01-25 01:49:59.313566+00
CALCPERFORMANCE, EXECTIME, d:h:m:s.ms | 0:0:0:0.17
MEASUREMENT, END, 2024-01-25 01:49:59.321094+00
MEASUREMENT, EXECTIME, d:h:m:s.ms | 0:1:46:41.960
