Process, Parameter, Value
MEASUREMENT, START, 2024-01-26 01:13:21.186272+00
MEASUREMENT, SCRIPT, /tmp/benchmark/main.sh
MEASUREMENT, BASEDIR, /tmp/benchmark
MEASUREMENT, CWD, /tmp/benchmark
MEASUREMENT, INPUT, 250000
MEASUREMENT, PID, 10995
SP2B, START, 2024-01-26 01:13:21.195937+00
SP2B, DIR, /tmp/benchmark/sp2b/bin
SP2B, TRIPLES, 250128
SP2B, FILESIZE, 26673KB
SP2B, END, 2024-01-26 01:13:21.720284+00
SP2B, EXECTIME, d:h:m:s.ms | 0:0:0:0.524
RDF2RAPSQL, RAPSQLMODEL, rdfid
RDF2RAPSQL, START, 2024-01-26 01:13:21.731107+00
RDF2RAPSQL, INSTANCE, /tmp/benchmark/data/sp250k71r2/sp250k71r2.n3
RDF2RAPSQL, PID, 11053
RDF2PG, START, 2024-01-26 01:13:21.736543+00
RDF2PG, END, 2024-01-26 01:13:24.125815+00
RDF2PG, EXECTIME, d:h:m:s.ms | 0:0:0:2.389
EDGEPARTITIONING, START, 2024-01-26 01:13:24.318168+00
EDGEPARTITIONING, END, 2024-01-26 01:13:24.506368+00
EDGEPARTITIONING, EXECTIME, d:h:m:s.ms | 0:0:0:0.188
DBIMPORT-NODES, START, 2024-01-26 01:13:24.511578+00
DBIMPORT-NODES, END, 2024-01-26 01:13:25.749972+00
DBIMPORT-NODES, EXECTIME, d:h:m:s.ms | 0:0:0:1.238
DBIMPORT-EDGES, START, 2024-01-26 01:13:25.755372+00
DBIMPORT-EDGES, END, 2024-01-26 01:13:27.654293+00
DBIMPORT-EDGES, EXECTIME, d:h:m:s.ms | 0:0:0:1.898
RDF2RAPSQL, END, 2024-01-26 01:13:27.659896+00
RDF2RAPSQL, EXECTIME, d:h:m:s.ms | 0:0:0:5.928
WRITECYPHER, RAPSQLTRANSPILER, cpo2
WRITECYPHER, START, 2024-01-26 01:13:27.668717+00
WRITECYPHER, END, 2024-01-26 01:13:28.517721+00
WRITECYPHER, EXECTIME, d:h:m:s.ms | 0:0:0:0.849
RAPSQLTRIPLES-CNT, START, 2024-01-26 01:13:33.527061+00
RAPSQLTRIPLES-CNT, END, 2024-01-26 01:13:34.070405+00
RAPSQLTRIPLES-CNT, EXECTIME, d:h:m:s.ms | 0:0:0:0.543
RUNQUERIES, START, 2024-01-26 01:13:39.079753+00
QUERY-EXEC | loop-1 | a1-q1, START, 2024-01-26 01:13:42.090122+00
QUERY-EXEC | loop-1 | a1-q1, END, 2024-01-26 01:13:43.087321+00
QUERY-EXEC | loop-1 | a1-q1, EXECTIME, d:h:m:s.ms | 0:0:0:0.997
QUERY-EXEC | loop-1 | b2-q2, START, 2024-01-26 01:13:46.094930+00
QUERY-EXEC | loop-1 | b2-q2, END, 2024-01-26 01:18:37.188776+00
QUERY-EXEC | loop-1 | b2-q2, EXECTIME, d:h:m:s.ms | 0:0:4:51.93
QUERY-EXEC | loop-1 | c3-q3a, START, 2024-01-26 01:18:40.196576+00
QUERY-EXEC | loop-1 | c3-q3a, END, 2024-01-26 01:18:42.784868+00
QUERY-EXEC | loop-1 | c3-q3a, EXECTIME, d:h:m:s.ms | 0:0:0:2.588
QUERY-EXEC | loop-1 | d4-q3b, START, 2024-01-26 01:18:45.792533+00
QUERY-EXEC | loop-1 | d4-q3b, END, 2024-01-26 01:18:48.303681+00
QUERY-EXEC | loop-1 | d4-q3b, EXECTIME, d:h:m:s.ms | 0:0:0:2.511
QUERY-EXEC | loop-1 | e5-q3c, START, 2024-01-26 01:18:51.311217+00
QUERY-EXEC | loop-1 | e5-q3c, END, 2024-01-26 01:18:53.802268+00
QUERY-EXEC | loop-1 | e5-q3c, EXECTIME, d:h:m:s.ms | 0:0:0:2.491
QUERY-EXEC | loop-1 | f6-q4, START, 2024-01-26 01:18:56.809839+00
QUERY-EXEC | loop-1 | f6-q4, END, 2024-01-26 01:48:56.865573+00
QUERY-EXEC | loop-1 | f6-q4, EXECTIME, d:h:m:s.ms | 0:0:30:0.55
QUERY-EXEC | loop-1 | g7-q5a, START, 2024-01-26 01:48:59.873243+00
QUERY-EXEC | loop-1 | g7-q5a, END, 2024-01-26 01:58:40.269347+00
QUERY-EXEC | loop-1 | g7-q5a, EXECTIME, d:h:m:s.ms | 0:0:9:40.396
QUERY-EXEC | loop-1 | h8-q5b, START, 2024-01-26 01:58:43.277028+00
QUERY-EXEC | loop-1 | h8-q5b, END, 2024-01-26 01:58:44.071119+00
QUERY-EXEC | loop-1 | h8-q5b, EXECTIME, d:h:m:s.ms | 0:0:0:0.794
QUERY-EXEC | loop-1 | i9-q6, START, 2024-01-26 01:58:47.079014+00
QUERY-EXEC | loop-1 | i9-q6, END, 2024-01-26 02:29:02.088237+00
QUERY-EXEC | loop-1 | i9-q6, EXECTIME, d:h:m:s.ms | 0:0:30:15.9
QUERY-EXEC | loop-1 | j10-q7, START, 2024-01-26 02:29:05.096099+00
QUERY-EXEC | loop-1 | j10-q7, END, 2024-01-26 02:59:05.339753+00
QUERY-EXEC | loop-1 | j10-q7, EXECTIME, d:h:m:s.ms | 0:0:30:0.243
QUERY-EXEC | loop-1 | k11-q8, START, 2024-01-26 02:59:08.347665+00
QUERY-EXEC | loop-1 | k11-q8, END, 2024-01-26 02:59:08.797564+00
QUERY-EXEC | loop-1 | k11-q8, EXECTIME, d:h:m:s.ms | 0:0:0:0.449
QUERY-EXEC | loop-1 | l12-q9, START, 2024-01-26 02:59:11.805319+00
QUERY-EXEC | loop-1 | l12-q9, END, 2024-01-26 02:59:12.973000+00
QUERY-EXEC | loop-1 | l12-q9, EXECTIME, d:h:m:s.ms | 0:0:0:1.167
QUERY-EXEC | loop-1 | m13-q10, START, 2024-01-26 02:59:15.980791+00
QUERY-EXEC | loop-1 | m13-q10, END, 2024-01-26 02:59:16.526114+00
QUERY-EXEC | loop-1 | m13-q10, EXECTIME, d:h:m:s.ms | 0:0:0:0.545
QUERY-EXEC | loop-1 | n14-q11, START, 2024-01-26 02:59:19.533860+00
QUERY-EXEC | loop-1 | n14-q11, END, 2024-01-26 02:59:19.648849+00
QUERY-EXEC | loop-1 | n14-q11, EXECTIME, d:h:m:s.ms | 0:0:0:0.114
QUERY-EXEC | loop-1 | o15-q12a, START, 2024-01-26 02:59:22.656413+00
QUERY-EXEC | loop-1 | o15-q12a, END, 2024-01-26 02:59:49.722214+00
QUERY-EXEC | loop-1 | o15-q12a, EXECTIME, d:h:m:s.ms | 0:0:0:27.65
QUERY-EXEC | loop-1 | p16-q12b, START, 2024-01-26 02:59:52.729911+00
QUERY-EXEC | loop-1 | p16-q12b, END, 2024-01-26 02:59:53.266526+00
QUERY-EXEC | loop-1 | p16-q12b, EXECTIME, d:h:m:s.ms | 0:0:0:0.536
QUERY-EXEC | loop-1 | q17-q12c, START, 2024-01-26 02:59:56.274431+00
QUERY-EXEC | loop-1 | q17-q12c, END, 2024-01-26 02:59:56.348481+00
QUERY-EXEC | loop-1 | q17-q12c, EXECTIME, d:h:m:s.ms | 0:0:0:0.74
QUERY-PENALTY | loop-1 | i9-q6.sql, PENALTY-TIME, 3600000.000 ms
QUERY-PENALTY | loop-1 | f6-q4.sql, PENALTY-TIME, 3600000.000 ms
QUERY-PENALTY | loop-1 | j10-q7.sql, PENALTY-TIME, 3600000.000 ms
RUNQUERIES, END, 2024-01-26 02:59:56.402302+00
RUNQUERIES, EXECTIME, d:h:m:s.ms | 0:1:46:17.322
CALCPERFORMANCE, START, 2024-01-26 02:59:56.409842+00
CALCPERFORMANCE, END, 2024-01-26 02:59:56.424606+00
CALCPERFORMANCE, EXECTIME, d:h:m:s.ms | 0:0:0:0.14
MEASUREMENT, END, 2024-01-26 02:59:56.432132+00
MEASUREMENT, EXECTIME, d:h:m:s.ms | 0:1:46:35.245
