Process, Parameter, Value
MEASUREMENT, START, 2024-01-26 12:07:00.425663+00
MEASUREMENT, SCRIPT, /tmp/benchmark/main.sh
MEASUREMENT, BASEDIR, /tmp/benchmark
MEASUREMENT, CWD, /tmp/benchmark
MEASUREMENT, INPUT, 250000
MEASUREMENT, PID, 10987
SP2B, START, 2024-01-26 12:07:00.435502+00
SP2B, DIR, /tmp/benchmark/sp2b/bin
SP2B, TRIPLES, 250128
SP2B, FILESIZE, 26673KB
SP2B, END, 2024-01-26 12:07:00.966350+00
SP2B, EXECTIME, d:h:m:s.ms | 0:0:0:0.530
RDF2RAPSQL, RAPSQLMODEL, rdfid
RDF2RAPSQL, START, 2024-01-26 12:07:00.977411+00
RDF2RAPSQL, INSTANCE, /tmp/benchmark/data/sp250k61r11/sp250k61r11.n3
RDF2RAPSQL, PID, 11045
RDF2PG, START, 2024-01-26 12:07:00.982972+00
RDF2PG, END, 2024-01-26 12:07:03.425607+00
RDF2PG, EXECTIME, d:h:m:s.ms | 0:0:0:2.442
EDGEPARTITIONING, START, 2024-01-26 12:07:03.572995+00
EDGEPARTITIONING, END, 2024-01-26 12:07:03.763666+00
EDGEPARTITIONING, EXECTIME, d:h:m:s.ms | 0:0:0:0.190
DBIMPORT-NODES, START, 2024-01-26 12:07:03.768912+00
DBIMPORT-NODES, END, 2024-01-26 12:07:04.537242+00
DBIMPORT-NODES, EXECTIME, d:h:m:s.ms | 0:0:0:0.768
DBIMPORT-EDGES, START, 2024-01-26 12:07:04.542624+00
DBIMPORT-EDGES, END, 2024-01-26 12:07:05.804336+00
DBIMPORT-EDGES, EXECTIME, d:h:m:s.ms | 0:0:0:1.261
RDF2RAPSQL, END, 2024-01-26 12:07:05.810029+00
RDF2RAPSQL, EXECTIME, d:h:m:s.ms | 0:0:0:4.832
WRITECYPHER, RAPSQLTRANSPILER, cpo1
WRITECYPHER, START, 2024-01-26 12:07:05.818855+00
WRITECYPHER, END, 2024-01-26 12:07:06.685928+00
WRITECYPHER, EXECTIME, d:h:m:s.ms | 0:0:0:0.867
RAPSQLTRIPLES-CNT, START, 2024-01-26 12:07:11.695162+00
RAPSQLTRIPLES-CNT, END, 2024-01-26 12:07:12.248408+00
RAPSQLTRIPLES-CNT, EXECTIME, d:h:m:s.ms | 0:0:0:0.553
RUNQUERIES, START, 2024-01-26 12:07:17.257602+00
QUERY-EXEC | loop-1 | a1-q1, START, 2024-01-26 12:07:20.267820+00
QUERY-EXEC | loop-1 | a1-q1, END, 2024-01-26 12:07:21.272580+00
QUERY-EXEC | loop-1 | a1-q1, EXECTIME, d:h:m:s.ms | 0:0:0:1.4
QUERY-EXEC | loop-1 | b2-q2, START, 2024-01-26 12:07:24.280285+00
QUERY-EXEC | loop-1 | b2-q2, END, 2024-01-26 12:12:18.920835+00
QUERY-EXEC | loop-1 | b2-q2, EXECTIME, d:h:m:s.ms | 0:0:4:54.640
QUERY-EXEC | loop-1 | c3-q3a, START, 2024-01-26 12:12:21.928463+00
QUERY-EXEC | loop-1 | c3-q3a, END, 2024-01-26 12:12:24.565301+00
QUERY-EXEC | loop-1 | c3-q3a, EXECTIME, d:h:m:s.ms | 0:0:0:2.636
QUERY-EXEC | loop-1 | d4-q3b, START, 2024-01-26 12:12:27.572874+00
QUERY-EXEC | loop-1 | d4-q3b, END, 2024-01-26 12:12:30.090549+00
QUERY-EXEC | loop-1 | d4-q3b, EXECTIME, d:h:m:s.ms | 0:0:0:2.517
QUERY-EXEC | loop-1 | e5-q3c, START, 2024-01-26 12:12:33.098088+00
QUERY-EXEC | loop-1 | e5-q3c, END, 2024-01-26 12:12:35.643873+00
QUERY-EXEC | loop-1 | e5-q3c, EXECTIME, d:h:m:s.ms | 0:0:0:2.545
QUERY-EXEC | loop-1 | f6-q4, START, 2024-01-26 12:12:38.651570+00
QUERY-EXEC | loop-1 | f6-q4, END, 2024-01-26 12:42:38.706685+00
QUERY-EXEC | loop-1 | f6-q4, EXECTIME, d:h:m:s.ms | 0:0:30:0.55
QUERY-EXEC | loop-1 | g7-q5a, START, 2024-01-26 12:42:41.714274+00
