Process, Parameter, Value
MEASUREMENT, START, 2024-01-24 12:18:32.608588+00
MEASUREMENT, SCRIPT, /tmp/benchmark/main.sh
MEASUREMENT, BASEDIR, /tmp/benchmark
MEASUREMENT, CWD, /tmp/benchmark
MEASUREMENT, INPUT, 50000
MEASUREMENT, PID, 10932
SP2B, START, 2024-01-24 12:18:32.618498+00
SP2B, DIR, /tmp/benchmark/sp2b/bin
SP2B, TRIPLES, 50168
SP2B, FILESIZE, 5225KB
SP2B, END, 2024-01-24 12:18:32.762660+00
RDF2RAPSQL, RAPSQLMODEL, yars
RDF2RAPSQL, START, 2024-01-24 12:18:32.772416+00
RDF2RAPSQL, INSTANCE, /tmp/benchmark/data/sp50k1yp/sp50k1yp.n3
RDF2RAPSQL, PID, 10988
RDF2PG, START, 2024-01-24 12:18:32.777847+00
RDF2PG, END, 2024-01-24 12:18:33.781751+00
RDF2PG, EXECTIME, d:h:m:s.ms | 0:0:0:1.3
EDGEPARTITIONING, START, 2024-01-24 12:18:33.912836+00
EDGEPARTITIONING, END, 2024-01-24 12:18:34.054822+00
EDGEPARTITIONING, EXECTIME, d:h:m:s.ms | 0:0:0:0.141
DBIMPORT-NODES, START, 2024-01-24 12:18:34.059931+00
DBIMPORT-NODES, END, 2024-01-24 12:18:34.229543+00
DBIMPORT-NODES, EXECTIME, d:h:m:s.ms | 0:0:0:0.169
DBIMPORT-EDGES, START, 2024-01-24 12:18:34.234928+00
DBIMPORT-EDGES, END, 2024-01-24 12:18:34.818327+00
DBIMPORT-EDGES, EXECTIME, d:h:m:s.ms | 0:0:0:0.583
RDF2RAPSQL, END, 2024-01-24 12:18:34.824027+00
RDF2RAPSQL, EXECTIME, d:h:m:s.ms | 0:0:0:2.51
WRITECYPHER, START, 2024-01-24 12:18:34.831659+00
WRITECYPHER, END, 2024-01-24 12:18:35.718140+00
WRITECYPHER, EXECTIME, d:h:m:s.ms | 0:0:0:0.886
RAPSQLTRIPLES-CNT, START, 2024-01-24 12:18:40.727339+00
RAPSQLTRIPLES-CNT, END, 2024-01-24 12:18:41.181003+00
RAPSQLTRIPLES-CNT, EXECTIME, d:h:m:s.ms | 0:0:0:0.453
RUNQUERIES, START, 2024-01-24 12:18:46.190351+00
QUERY-EXEC | loop-1 | a1-q1, START, 2024-01-24 12:18:49.200678+00
QUERY-EXEC | loop-1 | a1-q1, END, 2024-01-24 12:18:49.271381+00
QUERY-EXEC | loop-1 | a1-q1, EXECTIME, d:h:m:s.ms | 0:0:0:0.70
QUERY-EXEC | loop-1 | b2-q2, START, 2024-01-24 12:18:52.279009+00
QUERY-EXEC | loop-1 | b2-q2, END, 2024-01-24 12:18:53.592771+00
QUERY-EXEC | loop-1 | b2-q2, EXECTIME, d:h:m:s.ms | 0:0:0:1.313
QUERY-EXEC | loop-1 | c3-q3a, START, 2024-01-24 12:18:56.600419+00
QUERY-EXEC | loop-1 | c3-q3a, END, 2024-01-24 12:18:57.942981+00
QUERY-EXEC | loop-1 | c3-q3a, EXECTIME, d:h:m:s.ms | 0:0:0:1.342
QUERY-EXEC | loop-1 | d4-q3b, START, 2024-01-24 12:19:00.950652+00
QUERY-EXEC | loop-1 | d4-q3b, END, 2024-01-24 12:19:02.272693+00
QUERY-EXEC | loop-1 | d4-q3b, EXECTIME, d:h:m:s.ms | 0:0:0:1.322
QUERY-EXEC | loop-1 | e5-q3c, START, 2024-01-24 12:19:05.280356+00
QUERY-EXEC | loop-1 | e5-q3c, END, 2024-01-24 12:19:06.585825+00
QUERY-EXEC | loop-1 | e5-q3c, EXECTIME, d:h:m:s.ms | 0:0:0:1.305
QUERY-EXEC | loop-1 | f6-q4, START, 2024-01-24 12:19:09.593495+00
QUERY-EXEC | loop-1 | f6-q4, END, 2024-01-24 12:49:19.967320+00
QUERY-EXEC | loop-1 | f6-q4, EXECTIME, d:h:m:s.ms | 0:0:30:10.373
QUERY-EXEC | loop-1 | g7-q5a, START, 2024-01-24 12:49:22.975022+00
QUERY-EXEC | loop-1 | g7-q5a, END, 2024-01-24 12:51:50.388517+00
QUERY-EXEC | loop-1 | g7-q5a, EXECTIME, d:h:m:s.ms | 0:0:2:27.413
QUERY-EXEC | loop-1 | h8-q5b, START, 2024-01-24 12:51:53.396145+00
QUERY-EXEC | loop-1 | h8-q5b, END, 2024-01-24 13:21:53.441452+00
