Process, Parameter, Value
MEASUREMENT, START, 2024-01-26 06:56:23.970161+00
MEASUREMENT, SCRIPT, /tmp/benchmark/main.sh
MEASUREMENT, BASEDIR, /tmp/benchmark
MEASUREMENT, CWD, /tmp/benchmark
MEASUREMENT, INPUT, 250000
MEASUREMENT, PID, 10933
SP2B, START, 2024-01-26 06:56:23.979659+00
SP2B, DIR, /tmp/benchmark/sp2b/bin
SP2B, TRIPLES, 250128
SP2B, FILESIZE, 26673KB
SP2B, END, 2024-01-26 06:56:24.506996+00
SP2B, EXECTIME, d:h:m:s.ms | 0:0:0:0.527
RDF2RAPSQL, RAPSQLMODEL, yars
RDF2RAPSQL, START, 2024-01-26 06:56:24.517840+00
RDF2RAPSQL, INSTANCE, /tmp/benchmark/data/sp250k22y1/sp250k22y1.n3
RDF2RAPSQL, PID, 10991
RDF2PG, START, 2024-01-26 06:56:24.523357+00
RDF2PG, END, 2024-01-26 06:56:26.763488+00
RDF2PG, EXECTIME, d:h:m:s.ms | 0:0:0:2.240
EDGEPARTITIONING, START, 2024-01-26 06:56:26.962284+00
EDGEPARTITIONING, END, 2024-01-26 06:56:27.146953+00
EDGEPARTITIONING, EXECTIME, d:h:m:s.ms | 0:0:0:0.184
DBIMPORT-NODES, START, 2024-01-26 06:56:27.151984+00
DBIMPORT-NODES, END, 2024-01-26 06:56:27.831024+00
DBIMPORT-NODES, EXECTIME, d:h:m:s.ms | 0:0:0:0.679
DBIMPORT-EDGES, START, 2024-01-26 06:56:27.836207+00
DBIMPORT-EDGES, END, 2024-01-26 06:56:28.712383+00
DBIMPORT-EDGES, EXECTIME, d:h:m:s.ms | 0:0:0:0.876
RDF2RAPSQL, END, 2024-01-26 06:56:28.717941+00
RDF2RAPSQL, EXECTIME, d:h:m:s.ms | 0:0:0:4.200
WRITECYPHER, RAPSQLTRANSPILER, cpo1
WRITECYPHER, START, 2024-01-26 06:56:28.726580+00
WRITECYPHER, END, 2024-01-26 06:56:29.618215+00
WRITECYPHER, EXECTIME, d:h:m:s.ms | 0:0:0:0.891
RAPSQLTRIPLES-CNT, START, 2024-01-26 06:56:34.627359+00
RAPSQLTRIPLES-CNT, END, 2024-01-26 06:56:35.170131+00
RAPSQLTRIPLES-CNT, EXECTIME, d:h:m:s.ms | 0:0:0:0.542
RUNQUERIES, START, 2024-01-26 06:56:40.179340+00
QUERY-EXEC | loop-1 | a1-q1, START, 2024-01-26 06:56:43.189751+00
QUERY-EXEC | loop-1 | a1-q1, END, 2024-01-26 06:56:44.178450+00
QUERY-EXEC | loop-1 | a1-q1, EXECTIME, d:h:m:s.ms | 0:0:0:0.988
QUERY-EXEC | loop-1 | b2-q2, START, 2024-01-26 06:56:47.185957+00
QUERY-EXEC | loop-1 | b2-q2, END, 2024-01-26 07:02:01.899966+00
QUERY-EXEC | loop-1 | b2-q2, EXECTIME, d:h:m:s.ms | 0:0:5:14.714
QUERY-EXEC | loop-1 | c3-q3a, START, 2024-01-26 07:02:04.907468+00
QUERY-EXEC | loop-1 | c3-q3a, END, 2024-01-26 07:02:07.779871+00
QUERY-EXEC | loop-1 | c3-q3a, EXECTIME, d:h:m:s.ms | 0:0:0:2.872
QUERY-EXEC | loop-1 | d4-q3b, START, 2024-01-26 07:02:10.787316+00
QUERY-EXEC | loop-1 | d4-q3b, END, 2024-01-26 07:02:13.553537+00
QUERY-EXEC | loop-1 | d4-q3b, EXECTIME, d:h:m:s.ms | 0:0:0:2.766
QUERY-EXEC | loop-1 | e5-q3c, START, 2024-01-26 07:02:16.561062+00
QUERY-EXEC | loop-1 | e5-q3c, END, 2024-01-26 07:02:19.324666+00
QUERY-EXEC | loop-1 | e5-q3c, EXECTIME, d:h:m:s.ms | 0:0:0:2.763
QUERY-EXEC | loop-1 | f6-q4, START, 2024-01-26 07:02:22.332097+00
QUERY-EXEC | loop-1 | f6-q4, END, 2024-01-26 07:32:22.387495+00
QUERY-EXEC | loop-1 | f6-q4, EXECTIME, d:h:m:s.ms | 0:0:30:0.55
QUERY-EXEC | loop-1 | g7-q5a, START, 2024-01-26 07:32:25.394930+00
QUERY-EXEC | loop-1 | g7-q5a, END, 2024-01-26 08:02:25.459174+00
QUERY-EXEC | loop-1 | g7-q5a, EXECTIME, d:h:m:s.ms | 0:0:30:0.64
QUERY-EXEC | loop-1 | h8-q5b, START, 2024-01-26 08:02:28.466718+00
QUERY-EXEC | loop-1 | h8-q5b, END, 2024-01-26 08:06:49.313600+00
QUERY-EXEC | loop-1 | h8-q5b, EXECTIME, d:h:m:s.ms | 0:0:4:20.846
QUERY-EXEC | loop-1 | i9-q6, START, 2024-01-26 08:06:52.321131+00
QUERY-EXEC | loop-1 | i9-q6, END, 2024-01-26 08:37:08.886714+00
QUERY-EXEC | loop-1 | i9-q6, EXECTIME, d:h:m:s.ms | 0:0:30:16.565
QUERY-EXEC | loop-1 | j10-q7, START, 2024-01-26 08:37:11.894373+00
