Process, Parameter, Value
MEASUREMENT, START, 2024-01-26 12:05:24.773535+00
MEASUREMENT, SCRIPT, /tmp/benchmark/main.sh
MEASUREMENT, BASEDIR, /tmp/benchmark
MEASUREMENT, CWD, /tmp/benchmark
MEASUREMENT, INPUT, 250000
MEASUREMENT, PID, 10995
SP2B, START, 2024-01-26 12:05:24.783290+00
SP2B, DIR, /tmp/benchmark/sp2b/bin
SP2B, TRIPLES, 250128
SP2B, FILESIZE, 26673KB
SP2B, END, 2024-01-26 12:05:25.307557+00
SP2B, EXECTIME, d:h:m:s.ms | 0:0:0:0.524
RDF2RAPSQL, RAPSQLMODEL, yars
RDF2RAPSQL, START, 2024-01-26 12:05:25.318538+00
RDF2RAPSQL, INSTANCE, /tmp/benchmark/data/sp250k31y21/sp250k31y21.n3
RDF2RAPSQL, PID, 11053
RDF2PG, START, 2024-01-26 12:05:25.323921+00
RDF2PG, END, 2024-01-26 12:05:27.895513+00
RDF2PG, EXECTIME, d:h:m:s.ms | 0:0:0:2.571
EDGEPARTITIONING, START, 2024-01-26 12:05:28.024053+00
EDGEPARTITIONING, END, 2024-01-26 12:05:28.208667+00
EDGEPARTITIONING, EXECTIME, d:h:m:s.ms | 0:0:0:0.184
DBIMPORT-NODES, START, 2024-01-26 12:05:28.213767+00
DBIMPORT-NODES, END, 2024-01-26 12:05:29.327741+00
DBIMPORT-NODES, EXECTIME, d:h:m:s.ms | 0:0:0:1.113
DBIMPORT-EDGES, START, 2024-01-26 12:05:29.333056+00
DBIMPORT-EDGES, END, 2024-01-26 12:05:30.531248+00
DBIMPORT-EDGES, EXECTIME, d:h:m:s.ms | 0:0:0:1.198
RDF2RAPSQL, END, 2024-01-26 12:05:30.536868+00
RDF2RAPSQL, EXECTIME, d:h:m:s.ms | 0:0:0:5.218
WRITECYPHER, RAPSQLTRANSPILER, cpo2
WRITECYPHER, START, 2024-01-26 12:05:30.545634+00
WRITECYPHER, END, 2024-01-26 12:05:31.424696+00
WRITECYPHER, EXECTIME, d:h:m:s.ms | 0:0:0:0.879
RAPSQLTRIPLES-CNT, START, 2024-01-26 12:05:36.433872+00
RAPSQLTRIPLES-CNT, END, 2024-01-26 12:05:36.977862+00
RAPSQLTRIPLES-CNT, EXECTIME, d:h:m:s.ms | 0:0:0:0.543
RUNQUERIES, START, 2024-01-26 12:05:41.987039+00
QUERY-EXEC | loop-1 | a1-q1, START, 2024-01-26 12:05:44.997152+00
QUERY-EXEC | loop-1 | a1-q1, END, 2024-01-26 12:05:46.000400+00
QUERY-EXEC | loop-1 | a1-q1, EXECTIME, d:h:m:s.ms | 0:0:0:1.3
QUERY-EXEC | loop-1 | b2-q2, START, 2024-01-26 12:05:49.007944+00
QUERY-EXEC | loop-1 | b2-q2, END, 2024-01-26 12:11:05.288893+00
QUERY-EXEC | loop-1 | b2-q2, EXECTIME, d:h:m:s.ms | 0:0:5:16.280
QUERY-EXEC | loop-1 | c3-q3a, START, 2024-01-26 12:11:08.296504+00
QUERY-EXEC | loop-1 | c3-q3a, END, 2024-01-26 12:11:11.201307+00
QUERY-EXEC | loop-1 | c3-q3a, EXECTIME, d:h:m:s.ms | 0:0:0:2.904
QUERY-EXEC | loop-1 | d4-q3b, START, 2024-01-26 12:11:14.208989+00
QUERY-EXEC | loop-1 | d4-q3b, END, 2024-01-26 12:11:17.008197+00
QUERY-EXEC | loop-1 | d4-q3b, EXECTIME, d:h:m:s.ms | 0:0:0:2.799
QUERY-EXEC | loop-1 | e5-q3c, START, 2024-01-26 12:11:20.015804+00
QUERY-EXEC | loop-1 | e5-q3c, END, 2024-01-26 12:11:22.813961+00
QUERY-EXEC | loop-1 | e5-q3c, EXECTIME, d:h:m:s.ms | 0:0:0:2.798
QUERY-EXEC | loop-1 | f6-q4, START, 2024-01-26 12:11:25.821442+00
QUERY-EXEC | loop-1 | f6-q4, END, 2024-01-26 12:41:25.877705+00
QUERY-EXEC | loop-1 | f6-q4, EXECTIME, d:h:m:s.ms | 0:0:30:0.56
QUERY-EXEC | loop-1 | g7-q5a, START, 2024-01-26 12:41:28.885345+00
QUERY-EXEC | loop-1 | g7-q5a, END, 2024-01-26 13:05:44.637828+00
QUERY-EXEC | loop-1 | g7-q5a, EXECTIME, d:h:m:s.ms | 0:0:24:15.752
QUERY-EXEC | loop-1 | h8-q5b, START, 2024-01-26 13:05:47.645462+00
QUERY-EXEC | loop-1 | h8-q5b, END, 2024-01-26 13:05:48.548978+00
QUERY-EXEC | loop-1 | h8-q5b, EXECTIME, d:h:m:s.ms | 0:0:0:0.903
QUERY-EXEC | loop-1 | i9-q6, START, 2024-01-26 13:05:51.556581+00
QUERY-EXEC | loop-1 | i9-q6, END, 2024-01-26 13:06:07.598123+00
QUERY-EXEC | loop-1 | i9-q6, EXECTIME, d:h:m:s.ms | 0:0:0:16.41
QUERY-EXEC | loop-1 | j10-q7, START, 2024-01-26 13:06:10.605602+00
QUERY-EXEC | loop-1 | j10-q7, END, 2024-01-26 13:07:20.310444+00
QUERY-EXEC | loop-1 | j10-q7, EXECTIME, d:h:m:s.ms | 0:0:1:9.704
QUERY-EXEC | loop-1 | k11-q8, START, 2024-01-26 13:07:23.318029+00
QUERY-EXEC | loop-1 | k11-q8, END, 2024-01-26 13:07:23.768681+00
QUERY-EXEC | loop-1 | k11-q8, EXECTIME, d:h:m:s.ms | 0:0:0:0.450
QUERY-EXEC | loop-1 | l12-q9, START, 2024-01-26 13:07:26.776307+00
QUERY-EXEC | loop-1 | l12-q9, END, 2024-01-26 13:07:27.957663+00
QUERY-EXEC | loop-1 | l12-q9, EXECTIME, d:h:m:s.ms | 0:0:0:1.181
QUERY-EXEC | loop-1 | m13-q10, START, 2024-01-26 13:07:30.965304+00
QUERY-EXEC | loop-1 | m13-q10, END, 2024-01-26 13:07:31.515772+00
QUERY-EXEC | loop-1 | m13-q10, EXECTIME, d:h:m:s.ms | 0:0:0:0.550
QUERY-EXEC | loop-1 | n14-q11, START, 2024-01-26 13:07:34.523322+00
QUERY-EXEC | loop-1 | n14-q11, END, 2024-01-26 13:07:34.654126+00
QUERY-EXEC | loop-1 | n14-q11, EXECTIME, d:h:m:s.ms | 0:0:0:0.130
QUERY-EXEC | loop-1 | o15-q12a, START, 2024-01-26 13:07:37.661636+00
QUERY-EXEC | loop-1 | o15-q12a, END, 2024-01-26 13:08:05.727681+00
QUERY-EXEC | loop-1 | o15-q12a, EXECTIME, d:h:m:s.ms | 0:0:0:28.66
QUERY-EXEC | loop-1 | p16-q12b, START, 2024-01-26 13:08:08.735258+00
QUERY-EXEC | loop-1 | p16-q12b, END, 2024-01-26 13:08:09.262419+00
QUERY-EXEC | loop-1 | p16-q12b, EXECTIME, d:h:m:s.ms | 0:0:0:0.527
QUERY-EXEC | loop-1 | q17-q12c, START, 2024-01-26 13:08:12.269924+00
QUERY-EXEC | loop-1 | q17-q12c, END, 2024-01-26 13:08:12.340641+00
QUERY-EXEC | loop-1 | q17-q12c, EXECTIME, d:h:m:s.ms | 0:0:0:0.70
QUERY-PENALTY | loop-1 | f6-q4.sql, PENALTY-TIME, 3600000.000 ms
RUNQUERIES, END, 2024-01-26 13:08:12.391361+00
RUNQUERIES, EXECTIME, d:h:m:s.ms | 0:1:2:30.404
CALCPERFORMANCE, START, 2024-01-26 13:08:12.398810+00
CALCPERFORMANCE, END, 2024-01-26 13:08:12.413288+00
CALCPERFORMANCE, EXECTIME, d:h:m:s.ms | 0:0:0:0.14
MEASUREMENT, END, 2024-01-26 13:08:12.420808+00
MEASUREMENT, EXECTIME, d:h:m:s.ms | 0:1:2:47.647
