Process, Parameter, Value
MEASUREMENT, START, 2024-01-26 06:55:49.291855+00
MEASUREMENT, SCRIPT, /tmp/benchmark/main.sh
MEASUREMENT, BASEDIR, /tmp/benchmark
MEASUREMENT, CWD, /tmp/benchmark
MEASUREMENT, INPUT, 250000
MEASUREMENT, PID, 10941
SP2B, START, 2024-01-26 06:55:49.301418+00
SP2B, DIR, /tmp/benchmark/sp2b/bin
SP2B, TRIPLES, 250128
SP2B, FILESIZE, 26673KB
SP2B, END, 2024-01-26 06:55:49.832413+00
SP2B, EXECTIME, d:h:m:s.ms | 0:0:0:0.530
RDF2RAPSQL, RAPSQLMODEL, yars
RDF2RAPSQL, START, 2024-01-26 06:55:49.843374+00
RDF2RAPSQL, INSTANCE, /tmp/benchmark/data/sp250k32y2/sp250k32y2.n3
RDF2RAPSQL, PID, 10999
RDF2PG, START, 2024-01-26 06:55:49.848742+00
RDF2PG, END, 2024-01-26 06:55:52.106861+00
RDF2PG, EXECTIME, d:h:m:s.ms | 0:0:0:2.258
EDGEPARTITIONING, START, 2024-01-26 06:55:52.236971+00
EDGEPARTITIONING, END, 2024-01-26 06:55:52.425033+00
EDGEPARTITIONING, EXECTIME, d:h:m:s.ms | 0:0:0:0.188
DBIMPORT-NODES, START, 2024-01-26 06:55:52.430163+00
DBIMPORT-NODES, END, 2024-01-26 06:55:53.367281+00
DBIMPORT-NODES, EXECTIME, d:h:m:s.ms | 0:0:0:0.937
DBIMPORT-EDGES, START, 2024-01-26 06:55:53.372480+00
DBIMPORT-EDGES, END, 2024-01-26 06:55:54.678776+00
DBIMPORT-EDGES, EXECTIME, d:h:m:s.ms | 0:0:0:1.306
RDF2RAPSQL, END, 2024-01-26 06:55:54.684326+00
RDF2RAPSQL, EXECTIME, d:h:m:s.ms | 0:0:0:4.840
WRITECYPHER, RAPSQLTRANSPILER, cpo2
WRITECYPHER, START, 2024-01-26 06:55:54.693077+00
WRITECYPHER, END, 2024-01-26 06:55:55.564876+00
WRITECYPHER, EXECTIME, d:h:m:s.ms | 0:0:0:0.871
RAPSQLTRIPLES-CNT, START, 2024-01-26 06:56:00.574091+00
RAPSQLTRIPLES-CNT, END, 2024-01-26 06:56:01.115264+00
RAPSQLTRIPLES-CNT, EXECTIME, d:h:m:s.ms | 0:0:0:0.541
RUNQUERIES, START, 2024-01-26 06:56:06.124407+00
QUERY-EXEC | loop-1 | a1-q1, START, 2024-01-26 06:56:09.134479+00
QUERY-EXEC | loop-1 | a1-q1, END, 2024-01-26 06:56:10.131083+00
QUERY-EXEC | loop-1 | a1-q1, EXECTIME, d:h:m:s.ms | 0:0:0:0.996
QUERY-EXEC | loop-1 | b2-q2, START, 2024-01-26 06:56:13.138563+00
QUERY-EXEC | loop-1 | b2-q2, END, 2024-01-26 07:01:31.787712+00
QUERY-EXEC | loop-1 | b2-q2, EXECTIME, d:h:m:s.ms | 0:0:5:18.649
QUERY-EXEC | loop-1 | c3-q3a, START, 2024-01-26 07:01:34.795399+00
QUERY-EXEC | loop-1 | c3-q3a, END, 2024-01-26 07:01:37.709568+00
QUERY-EXEC | loop-1 | c3-q3a, EXECTIME, d:h:m:s.ms | 0:0:0:2.914
QUERY-EXEC | loop-1 | d4-q3b, START, 2024-01-26 07:01:40.717240+00
QUERY-EXEC | loop-1 | d4-q3b, END, 2024-01-26 07:01:43.540505+00
QUERY-EXEC | loop-1 | d4-q3b, EXECTIME, d:h:m:s.ms | 0:0:0:2.823
QUERY-EXEC | loop-1 | e5-q3c, START, 2024-01-26 07:01:46.548093+00
QUERY-EXEC | loop-1 | e5-q3c, END, 2024-01-26 07:01:49.370066+00
QUERY-EXEC | loop-1 | e5-q3c, EXECTIME, d:h:m:s.ms | 0:0:0:2.821
QUERY-EXEC | loop-1 | f6-q4, START, 2024-01-26 07:01:52.377753+00
QUERY-EXEC | loop-1 | f6-q4, END, 2024-01-26 07:31:52.433414+00
QUERY-EXEC | loop-1 | f6-q4, EXECTIME, d:h:m:s.ms | 0:0:30:0.55
QUERY-EXEC | loop-1 | g7-q5a, START, 2024-01-26 07:31:55.440961+00
QUERY-EXEC | loop-1 | g7-q5a, END, 2024-01-26 07:57:03.525025+00
QUERY-EXEC | loop-1 | g7-q5a, EXECTIME, d:h:m:s.ms | 0:0:25:8.84
QUERY-EXEC | loop-1 | h8-q5b, START, 2024-01-26 07:57:06.532536+00
QUERY-EXEC | loop-1 | h8-q5b, END, 2024-01-26 07:57:07.441192+00
QUERY-EXEC | loop-1 | h8-q5b, EXECTIME, d:h:m:s.ms | 0:0:0:0.908
QUERY-EXEC | loop-1 | i9-q6, START, 2024-01-26 07:57:10.448752+00
QUERY-EXEC | loop-1 | i9-q6, END, 2024-01-26 08:27:26.565677+00
QUERY-EXEC | loop-1 | i9-q6, EXECTIME, d:h:m:s.ms | 0:0:30:16.116
QUERY-EXEC | loop-1 | j10-q7, START, 2024-01-26 08:27:29.573786+00
QUERY-EXEC | loop-1 | j10-q7, END, 2024-01-26 08:57:29.759853+00
QUERY-EXEC | loop-1 | j10-q7, EXECTIME, d:h:m:s.ms | 0:0:30:0.186
QUERY-EXEC | loop-1 | k11-q8, START, 2024-01-26 08:57:32.767557+00
QUERY-EXEC | loop-1 | k11-q8, END, 2024-01-26 08:57:33.224441+00
QUERY-EXEC | loop-1 | k11-q8, EXECTIME, d:h:m:s.ms | 0:0:0:0.456
QUERY-EXEC | loop-1 | l12-q9, START, 2024-01-26 08:57:36.232077+00
QUERY-EXEC | loop-1 | l12-q9, END, 2024-01-26 08:57:37.413236+00
QUERY-EXEC | loop-1 | l12-q9, EXECTIME, d:h:m:s.ms | 0:0:0:1.181
QUERY-EXEC | loop-1 | m13-q10, START, 2024-01-26 08:57:40.420849+00
QUERY-EXEC | loop-1 | m13-q10, END, 2024-01-26 08:57:40.946491+00
QUERY-EXEC | loop-1 | m13-q10, EXECTIME, d:h:m:s.ms | 0:0:0:0.525
QUERY-EXEC | loop-1 | n14-q11, START, 2024-01-26 08:57:43.954188+00
QUERY-EXEC | loop-1 | n14-q11, END, 2024-01-26 08:57:44.083213+00
QUERY-EXEC | loop-1 | n14-q11, EXECTIME, d:h:m:s.ms | 0:0:0:0.129
QUERY-EXEC | loop-1 | o15-q12a, START, 2024-01-26 08:57:47.090829+00
QUERY-EXEC | loop-1 | o15-q12a, END, 2024-01-26 08:58:13.509729+00
QUERY-EXEC | loop-1 | o15-q12a, EXECTIME, d:h:m:s.ms | 0:0:0:26.418
QUERY-EXEC | loop-1 | p16-q12b, START, 2024-01-26 08:58:16.517451+00
QUERY-EXEC | loop-1 | p16-q12b, END, 2024-01-26 08:58:16.853268+00
QUERY-EXEC | loop-1 | p16-q12b, EXECTIME, d:h:m:s.ms | 0:0:0:0.335
QUERY-EXEC | loop-1 | q17-q12c, START, 2024-01-26 08:58:19.860860+00
QUERY-EXEC | loop-1 | q17-q12c, END, 2024-01-26 08:58:19.931028+00
QUERY-EXEC | loop-1 | q17-q12c, EXECTIME, d:h:m:s.ms | 0:0:0:0.70
QUERY-PENALTY | loop-1 | i9-q6.sql, PENALTY-TIME, 3600000.000 ms
QUERY-PENALTY | loop-1 | f6-q4.sql, PENALTY-TIME, 3600000.000 ms
QUERY-PENALTY | loop-1 | j10-q7.sql, PENALTY-TIME, 3600000.000 ms
RUNQUERIES, END, 2024-01-26 08:58:19.984454+00
RUNQUERIES, EXECTIME, d:h:m:s.ms | 0:2:2:13.860
CALCPERFORMANCE, START, 2024-01-26 08:58:19.991836+00
CALCPERFORMANCE, END, 2024-01-26 08:58:20.006087+00
CALCPERFORMANCE, EXECTIME, d:h:m:s.ms | 0:0:0:0.14
MEASUREMENT, END, 2024-01-26 08:58:20.013521+00
MEASUREMENT, EXECTIME, d:h:m:s.ms | 0:2:2:30.721
